time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity
thr_vel0,122038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,158952;0;0;0;0;0;0;0;0;0;0;0;0;-3,86313;0,753742;0,0339895;-0,08;0;0;-0,08;0;0;-0,964529;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,182959;0;0;0;0;0;0;0;0;0;0;0;0;-3,86313;0,753742;0,129126;-0,158664;-0,0826174;0,08;-0,16;-0,08;0,08;-0,964529;-1,33361;2,7043;0;0;0;0;0;0;0;0;-0,0164269;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,221372;0;0;0;0;0;0;0;0;0;0;0;0;-3,81333;0,404368;0,118555;-0,234962;-0,167311;0;-0,24;-0,16;0;-0,340819;-2,09418;-0,275227;0;0;0;0;0;0;0;0;-0,0307823;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,261191;0;0;0;0;0;0;0;0;0;0;0;0;-3,80024;0,377114;0,118555;-0,149584;-0,246626;-0,08;-0,16;-0,24;-0,08;0,368392;-2,09418;-0,275227;0;0;0;0;0;0;0;0;-0,0428012;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,283892;0;0;0;0;0;0;0;0;0;0;0;0;-3,79866;0,377114;0,118555;-0,0730806;-0,163277;-0,16;-0,08;-0,16;-0,16;0,368392;0,24832;-0,275227;0;0;0;0;0;0;0;0;-0,0428012;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,322281;0;0;0;0;0;0;0;0;0;0;0;0;-3,78682;0,378528;0,0921958;0,00342305;-0,0799267;-0,24;2,77556e-17;-0,08;-0,24;0,368392;0,24832;-0,989936;0;0;0;0;0;0;0;0;-0,0428012;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,348841;0;0;0;0;0;0;0;0;0;0;0;0;-3,78682;0,378528;0,0921958;0,0837596;-0,107186;-0,32;0,08;-0,11002;-0,32;0,157128;-0,11002;-1,8943;0;0;0;0;0;0;0;0;-0,0346141;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,387058;0;0;0;0;0;0;0;0;0;0;0;0;-3,78079;0,364533;0,0921958;0,15976;-0,106162;-0,4;0,157128;-0,11002;-0,4;0,157128;-0,11002;-1,8943;0;0;0;0;0;0;0;0;-0,0243481;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,416578;0;0;0;0;0;0;0;0;0;0;0;0;-3,78979;0,281014;0,0115708;0,0775554;-0,189847;-0,48;0,0771285;-0,19002;-0,48;-0,360062;-3,67105;-3,03524;0;0;0;0;0;0;0;0;-0,00224778;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,453459;0;0;0;0;0;0;0;0;0;0;0;0;-3,77348;0,318055;0,0410485;0,15618;-0,111362;-0,4;0,157128;-0,11002;-0,4;0,44256;1,75165;1,38618;0;0;0;0;0;0;0;0;0,00856673;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,480554;0;0;0;0;0;0;0;0;0;0;0;0;-3,77348;0,269479;0,0410485;0,234209;-0,193607;-0,32;0,237128;-0,19002;-0,32;0,249982;-1,79287;1,38618;0;0;0;0;0;0;0;0;0,0152182;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,517295;0;0;0;0;0;0;0;0;0;0;0;0;-3,7719;0,269479;0,0871981;0,244051;-0,275393;-0,24;0,249982;-0,27002;-0,24;0,249982;-0,340711;1,38618;0;0;0;0;0;0;0;0;0,0217496;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,55067;0;0;0;0;0;0;0;0;0;0;0;0;-3,7667;0,269479;0,169764;0,242513;-0,346067;-0,16;0,249982;-0,340711;-0,16;0,249982;-0,340711;2,47336;0;0;0;0;0;0;0;0;0,0217496;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,586376;0;0;0;0;0;0;0;0;0;0;0;0;-3,75632;0,297667;0,169764;0,324411;-0,267612;-0,08;0,329982;-0,260711;-0,08;0,466643;1,21936;1,16608;0;0;0;0;0;0;0;0;0,0210896;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,614716;0;0;0;0;0;0;0;0;0;0;0;0;-3,75632;0,309608;0,169764;0,40608;-0,189317;2,77556e-17;0,409982;-0,180711;2,77556e-17;0,466643;1,21936;1,16608;0;0;0;0;0;0;0;0;0,0210896;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,659373;0;0;0;0;0;0;0;0;0;0;0;0;-3,73809;0,309608;-0,044527;0,480976;-0,276974;-0,08;0,489982;-0,260711;-0,08;0,510417;-2,21694;-5,32417;0;0;0;0;0;0;0;0;0,0334964;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,679986;0;0;0;0;0;0;0;0;0;0;0;0;-3,75826;0,164549;-0,044527;0,387198;-0,366397;-0,16;0,409982;-0,340711;-0,16;-0,711991;-2,21694;-5,32417;0;0;0;0;0;0;0;0;0,0644206;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
