time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
0,126342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,156837;0;0;0;0;0;0;0;0;0;0;0;0;-4,61696;0,151191;-0,281759;-0,0142919;0,0685255;0;0;0,07;0;0;1,38571;0;-nan;0;0;0;0;0;0;0;-0,205615;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,194079;0;0;0;0;0;0;0;0;0;0;0;0;-4,61696;0,354117;-0,281759;0,0350861;0,152542;0,07;0,07;0,14;0,07;0,937959;1,38571;13,0889;-0;0;0;0;0;0;0;0;-0,23757;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,222228;0;0;0;0;0;0;0;0;0;0;0;0;-4,56901;0,354117;-0,238563;0,119594;0,100982;0,14;0,14;0,07;0,14;1,28811;-0,0380324;13,0889;-0;0;0;0;0;0;0;0;-0,23757;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,254453;0;0;0;0;0;0;0;0;0;0;0;0;-4,55594;0,354117;-0,0580966;0,204102;0,0494218;0,21;0,21;0;0,21;1,28811;-0,0380324;5,59915;0;0;0;0;0;0;0;0;-0,23757;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,294955;0;0;0;0;0;0;0;0;0;0;0;0;-4,50328;-0,67331;-0,0580966;0,279013;-0,073837;0,28;0,28;-0,07;0,28;1,30028;-28,1109;4,45433;0;0;0;0;0;0;0;0;0,0137277;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,318186;0;0;0;0;0;0;0;0;0;0;0;0;-4,50328;0,465239;-0,0580966;0,204339;0,0484309;0,35;0,21;0;0,35;0,209103;44,4942;4,45433;0;0;0;0;0;0;0;0;-0,232718;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,353011;0;0;0;0;0;0;0;0;0;0;0;0;-4,49842;0,466148;0,0308579;0,256308;0,132687;0,42;0,28;0,07;0,42;1,22855;4,21431;4,45433;0;0;0;0;0;0;0;0;-0,232718;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,393925;0;0;0;0;0;0;0;0;0;0;0;0;-4,46454;0,497337;0,0308579;0,169664;0,186854;0,49;0,21;0,14;0,49;0,209103;4,21431;3,36705;0;0;0;0;0;0;0;0;-0,245575;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,418905;0;0;0;0;0;0;0;0;0;0;0;0;-4,45565;0,497337;0,0308579;0,254581;0,135972;0,56;0,28;0,07;0,56;0,999151;-2,82431;3,36705;0;0;0;0;0;0;0;0;-0,245575;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
