1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
time ;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;timeTe;xTe;
9,52588;-3,90856;0,0352131;0,092741;-0,0271171;0,123668;-0,00904123;-0,025516;0,124168;-0,00649555;-0,025516;0,124168;-0,00649555;;;
9,53408;-3,90743;0,0352131;0,0903183;0,0449632;0,0884557;-0,075992;0,0443842;0,0890971;-0,075582;0,0443842;0,0890971;-0,075582;;;
9,53496;-3,90743;0,0352131;0,0903183;0,0449632;0,0884557;-0,075992;0,0443842;0,0890971;-0,075582;0,0443842;0,0890971;-0,075582;;;
9,54495;-3,90743;0,0352131;0,0903183;0,0449632;0,0884557;-0,075992;0,0443842;0,0890971;-0,075582;0,0443842;0,0890971;-0,075582;;;
9,55497;-3,90743;0,0352131;0,0903183;0,0449632;0,0884557;-0,075992;0,0443842;0,0890971;-0,075582;0,0443842;0,0890971;-0,075582;;;
9,5612;-3,90665;0,0391933;0,0872288;0,0366521;0,123317;-0,0769668;0,0366606;0,124168;-0,075582;0,0366606;0,124168;-0,075582;;;
9,565;-3,90665;0,0391933;0,0872288;0,0366521;0,123317;-0,0769668;0,0366606;0,124168;-0,075582;0,0366606;0,124168;-0,075582;;;
9,57508;-3,90665;0,0391933;0,0872288;0,0366521;0,123317;-0,0769668;0,0366606;0,124168;-0,075582;0,0366606;0,124168;-0,075582;;;
9,58497;-3,90665;0,0391933;0,0872288;0,0366521;0,123317;-0,0769668;0,0366606;0,124168;-0,075582;0,0366606;0,124168;-0,075582;;;
9,59499;-3,90665;0,0391933;0,0872288;0,0366521;0,123317;-0,0769668;0,0366606;0,124168;-0,075582;0,0366606;0,124168;-0,075582;;;
9,60081;-3,90665;0,0363943;0,0872288;0,0359054;0,0546541;-0,00574759;0,0366606;0,0541677;-0,00558196;0,0366606;-0,0921559;0,26855;;;
9,60496;-3,90665;0,0363943;0,0872288;0,0359054;0,0546541;-0,00574759;0,0366606;0,0541677;-0,00558196;0,0366606;-0,0921559;0,26855;;;
9,615;-3,90665;0,0363943;0,0872288;0,0359054;0,0546541;-0,00574759;0,0366606;0,0541677;-0,00558196;0,0366606;-0,0921559;0,26855;;;
9,62497;-3,90665;0,0363943;0,0872288;0,0359054;0,0546541;-0,00574759;0,0366606;0,0541677;-0,00558196;0,0366606;-0,0921559;0,26855;;;
9,6321;-3,9063;0,0400443;0,0872288;0,00724755;0,125627;0,0620668;0,0109362;0,124168;0,064418;0,0109362;0,162648;0,26855;;;
9,63501;-3,9063;0,0400443;0,0872288;0,00724755;0,125627;0,0620668;0,0109362;0,124168;0,064418;0,0109362;0,162648;0,26855;;;
9,64504;-3,9063;0,0400443;0,0872288;0,00724755;0,125627;0,0620668;0,0109362;0,124168;0,064418;0,0109362;0,162648;0,26855;;;
9,65496;-3,9063;0,0400443;0,0872288;0,00724755;0,125627;0,0620668;0,0109362;0,124168;0,064418;0,0109362;0,162648;0,26855;;;
9,66496;-3,9063;0,0400443;0,0872288;0,00724755;0,125627;0,0620668;0,0109362;0,124168;0,064418;0,0109362;0,162648;0,26855;;;
9,66794;-3,9063;0,0364775;0,0801601;0,0101561;0,0542151;-0,00651718;0,0109362;0,0541677;-0,00558196;0,0109362;-0,0921559;-0,0957482;;;
9,67495;-3,9063;0,0364775;0,0801601;0,0101561;0,0542151;-0,00651718;0,0109362;0,0541677;-0,00558196;0,0109362;-0,0921559;-0,0957482;;;
9,68497;-3,9063;0,0364775;0,0801601;0,0101561;0,0542151;-0,00651718;0,0109362;0,0541677;-0,00558196;0,0109362;-0,0921559;-0,0957482;;;
9,69454;-3,90515;0,0364775;0,0767288;0,0127324;-0,00574657;-0,0752017;0,0109362;-0,00426542;-0,075582;0,0109362;-0,00426542;-0,248149;;;
9,69503;-3,90515;0,0364775;0,0767288;0,0127324;-0,00574657;-0,0752017;0,0109362;-0,00426542;-0,075582;0,0109362;-0,00426542;-0,248149;;;
9,705;-3,90515;0,0364775;0,0767288;0,0127324;-0,00574657;-0,0752017;0,0109362;-0,00426542;-0,075582;0,0109362;-0,00426542;-0,248149;;;
9,715;-3,90515;0,0364775;0,0767288;0,0127324;-0,00574657;-0,0752017;0,0109362;-0,00426542;-0,075582;0,0109362;-0,00426542;-0,248149;;;
9,72496;-3,90515;0,0364775;0,0767288;0,0127324;-0,00574657;-0,0752017;0,0109362;-0,00426542;-0,075582;0,0109362;-0,00426542;-0,248149;;;
9,73055;-3,90496;0,0363641;0,0701293;0,0267355;-0,0771771;-0,143306;0,0223233;-0,0742654;-0,145582;0,0223233;-0,139721;-0,171802;;;
9,73501;-3,90496;0,0363641;0,0701293;0,0267355;-0,0771771;-0,143306;0,0223233;-0,0742654;-0,145582;0,0223233;-0,139721;-0,171802;;;
9,74502;-3,90496;0,0363641;0,0701293;0,0267355;-0,0771771;-0,143306;0,0223233;-0,0742654;-0,145582;0,0223233;-0,139721;-0,171802;;;
9,75497;-3,90496;0,0363641;0,0701293;0,0267355;-0,0771771;-0,143306;0,0223233;-0,0742654;-0,145582;0,0223233;-0,139721;-0,171802;;;
9,76464;-3,90487;0,028927;0,0701293;-0,00290009;-0,0282646;-0,171283;-0,0069143;-0,0241144;-0,171802;-0,0069143;-0,0241144;-0,171802;;;
9,76503;-3,90487;0,028927;0,0701293;-0,00290009;-0,0282646;-0,171283;-0,0069143;-0,0241144;-0,171802;-0,0069143;-0,0241144;-0,171802;;;
9,77497;-3,90487;0,028927;0,0701293;-0,00290009;-0,0282646;-0,171283;-0,0069143;-0,0241144;-0,171802;-0,0069143;-0,0241144;-0,171802;;;
9,78498;-3,90487;0,028927;0,0701293;-0,00290009;-0,0282646;-0,171283;-0,0069143;-0,0241144;-0,171802;-0,0069143;-0,0241144;-0,171802;;;
9,79499;-3,90487;0,028927;0,0701293;-0,00290009;-0,0282646;-0,171283;-0,0069143;-0,0241144;-0,171802;-0,0069143;-0,0241144;-0,171802;;;
9,79642;-3,90487;0,028927;0,0813318;-0,00350881;-0,0267241;-0,101263;-0,00597337;-0,0241144;-0,101802;-0,00597337;-0,0241144;-0,0444962;;;
9,80494;-3,90487;0,028927;0,0813318;-0,00350881;-0,0267241;-0,101263;-0,00597337;-0,0241144;-0,101802;-0,00597337;-0,0241144;-0,0444962;;;
9,81497;-3,90487;0,028927;0,0813318;-0,00350881;-0,0267241;-0,101263;-0,00597337;-0,0241144;-0,101802;-0,00597337;-0,0241144;-0,0444962;;;
9,82494;-3,90487;0,028927;0,0813318;-0,00350881;-0,0267241;-0,101263;-0,00597337;-0,0241144;-0,101802;-0,00597337;-0,0241144;-0,0444962;;;
9,82729;-3,90487;0,0281054;0,0827471;-0,00493432;-0,025015;-0,0312799;-0,00597337;-0,0241144;-0,0318016;-0,00597337;-0,0241144;0,093979;;;
9,83561;-3,90487;0,0281054;0,0827471;-0,00493432;-0,025015;-0,0312799;-0,00597337;-0,0241144;-0,0318016;-0,00597337;-0,0241144;0,093979;;;
9,84502;-3,90487;0,0281054;0,0827471;-0,00493432;-0,025015;-0,0312799;-0,00597337;-0,0241144;-0,0318016;-0,00597337;-0,0241144;0,093979;;;
9,85497;-3,90487;0,0281054;0,0827471;-0,00493432;-0,025015;-0,0312799;-0,00597337;-0,0241144;-0,0318016;-0,00597337;-0,0241144;0,093979;;;
9,8645;-3,90245;0,0298059;0,0817539;0,02321;0,045106;-0,0452352;0,0231101;0,0458856;-0,0444962;0,0231101;0,0534608;-0,0444962;;;
9,86499;-3,90245;0,0298059;0,0817539;0,02321;0,045106;-0,0452352;0,0231101;0,0458856;-0,0444962;0,0231101;0,0534608;-0,0444962;;;
9,87499;-3,90245;0,0298059;0,0817539;0,02321;0,045106;-0,0452352;0,0231101;0,0458856;-0,0444962;0,0231101;0,0534608;-0,0444962;;;
9,88495;-3,90245;0,0298059;0,0817539;0,02321;0,045106;-0,0452352;0,0231101;0,0458856;-0,0444962;0,0231101;0,0534608;-0,0444962;;;
9,89199;-3,90159;0,0277948;0,0817539;0,0359711;-0,0238747;-0,013782;0,0352788;-0,0241144;-0,0150921;0,0352788;-0,0651604;-0,0150921;;;
9,89502;-3,90159;0,0277948;0,0817539;0,0359711;-0,0238747;-0,013782;0,0352788;-0,0241144;-0,0150921;0,0352788;-0,0651604;-0,0150921;;;
9,90503;-3,90159;0,0277948;0,0817539;0,0359711;-0,0238747;-0,013782;0,0352788;-0,0241144;-0,0150921;0,0352788;-0,0651604;-0,0150921;;;
9,91501;-3,90159;0,0277948;0,0817539;0,0359711;-0,0238747;-0,013782;0,0352788;-0,0241144;-0,0150921;0,0352788;-0,0651604;-0,0150921;;;
9,92497;-3,90159;0,0277948;0,0817539;0,0359711;-0,0238747;-0,013782;0,0352788;-0,0241144;-0,0150921;0,0352788;-0,0651604;-0,0150921;;;
