time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
0,131296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,158433;0;0;0;0;0;0;0;0;0;0;0;0;-2,83319;0;-0,114558;0;0;-0,07;0;0;-0,07;0;0;-0,963691;0;0;0;0;0;-0,00499122;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,195634;0;0;0;0;0;0;0;0;0;0;0;0;-2,84484;-0,0385813;-0,173748;-0,0716628;0,0682967;-0,14;-0,07;0,07;-0,14;-0,363809;0,339184;-0,963691;0;0;0;0;0;-0,0240462;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,22376;0;0;0;0;0;0;0;0;0;0;0;0;-2,83539;-0,0617017;-0,173748;0;0;-0,07;0;0;-0,07;0,403006;-0,82212;10,2486;0;0;0;0;0;-0,0176871;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,260307;0;0;0;0;0;0;0;0;0;0;0;0;-2,83559;-0,0617017;-0,173748;-0,00421004;-0,0700854;0;-0,00544893;-0,07;0;-0,00544893;-0,82212;10,2486;0;0;0;0;0;-0,0176871;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,290442;0;0;0;0;0;0;0;0;0;0;0;0;-2,83539;-0,111359;-0,542352;0,0639125;-0,140293;-0,07;0,0645511;-0,14;-0,07;0,294951;-1,35937;-0,987291;0;0;0;0;0;0,00455644;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,324478;0;0;0;0;0;0;0;0;0;0;0;0;-2,83559;-0,163724;-0,542352;-0,0102358;-0,209821;-0,14;-0,00544893;-0,21;-0,14;-0,00544893;-1,35937;-0,987291;0;0;0;0;0;0,0228033;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,355983;0;0;0;0;0;0;0;0;0;0;0;0;-2,83676;-0,163724;-0,517557;-0,0786215;-0,138243;-0,07;-0,0754489;-0,14;-0,07;-0,128819;0,255617;1,60307;0;0;0;0;0;0,0228033;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,392143;0;0;0;0;0;0;0;0;0;0;0;0;-2,83676;0,0261881;-0,256017;-0,125423;-0,0759171;0;-0,128819;-0,07;0;-0,128819;3,05686;1,60307;0;0;0;0;0;-0,0465387;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,421488;0;0;0;0;0;0;0;0;0;0;0;0;-2,83859;0,0261881;0,0329667;-0,128679;-0,00599288;0,07;-0,128819;0;0,07;-0,128819;3,05686;11,7677;0;0;0;0;0;-0,0465387;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,456668;0;0;0;0;0;0;0;0;0;0;0;0;-2,83832;0,0429278;0,0265815;-0,0624382;0,0667915;0;-0,0588186;0,07;0;0,00765839;3,05686;-1,78125;0;0;0;0;0;-0,0529092;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,486654;0;0;0;0;0;0;0;0;0;0;0;0;-2,83832;-0,159234;0,08926;0,00765709;-0,000141143;0,07;0,00765839;0;0,07;0,00765839;-8,87175;2,22858;0;0;0;0;0;0,0184309;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
