time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	gravity																								
0,127777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,155894	0	0	0	0	0	0	0	0	0	-3,87064	0,249203	0	-1,01178	0,528884	0	0	0	0	-0,968007	0,605299	0	0	0	-0,0771571	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								0
0,189722	0	0	0	0	0	0	0	0	0	-3,89786	0,266224	-0,164711	-1,1352	2,05971	-4,05619	0	0	0	-0,968007	2,14337	-4,05619	0	0	-0,0795158	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,220523	0	0	0	0	0	0	0	0	0	-3,90603	0,266224	-0,164711	-0,289847	0,583671	-0,765343	0	0	0	-0,241446	0,605299	-0,765343	0	0	-0,0813729	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,255739	0	0	0	0	0	0	0	0	0	-3,90603	0,265673	-0,188288	0,0309727	-1,00744	-8,5202	0	0	0	-0,0510177	-1,00662	-8,5202	0	0	-0,0813729	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,286378	0	0	0	0	0	0	0	0	0	-3,89148	0,230225	-0,392564	0,0230795	-1,00765	-0,765343	0	0	0	-0,0510177	-1,00662	-0,765343	0	0	-0,0735389	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,324124	0	0	0	0	0	0	0	0	0	-3,88727	0,230225	-0,392564	0,133042	-0,287943	3,12553	0	0	0	0,111526	-0,29694	3,12553	0	0	-0,0735389	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,35202	0	0	0	0	0	0	0	0	0	-3,89148	0,385109	-0,123881	-0,275302	-0,329421	7,11817	0	0	0	-0,310058	-0,29694	7,11817	0	0	-0,110865	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,38759	0	0	0	0	0	0	0	0	0	-3,89323	0,385109	-0,123881	0,11088	-0,312858	7,11817	0	0	0	0,0755854	-0,323205	7,11817	0	0	-0,110865	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,417295	0	0	0	0	0	0	0	0	0	-3,89323	0,373614	-0,18867	0,166892	-0,828408	-9,08231	0	0	0	0,0755854	-0,841664	-9,08231	0	0	-0,109236	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,456725	0	0	0	0	0	0	0	0	0	-3,88277	0,253452	-0,18867	0,100427	-0,316368	-9,08231	0	0	0	0,0755854	-0,323205	-9,08231	0	0	-0,0776423	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,483013	0	0	0	0	0	0	0	0	0	-3,88277	0,243232	-0,146195	0,104019	-0,381913	-11,3596	0	0	0	0,074613	-0,388729	-11,3596	0	0	-0,0762784	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,518365	0	0	0	0	0	0	0	0	0	-3,87982	0,253452	-0,146195	-0,239176	4,03624	-1,64063	0	0	0	0,074613	4,04263	-1,64063	0	0	-0,0776423	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,550955	0	0	0	0	0	0	0	0	0	-3,88982	0,304568	-0,204189	-0,499459	-0,436495	-3,59432	0	0	0	-0,537472	-0,388729	-3,59432	0	0	-0,0920631	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,588022	0	0	0	0	0	0	0	0	0	-3,88685	0,405166	-0,204189	-0,235384	2,70445	-1,64063	0	0	0	0,0798972	2,7135	-1,64063	0	0	-0,116253	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,615644	0	0	0	0	0	0	0	0	0	-3,88685	0,304568	-0,321314	0,455315	-4,06263	-3,59432	0	0	0	0,0798972	-4,08728	-3,59432	0	0	-0,0920631	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,651462	0	0	0	0	0	0	0	0	0	-3,88685	0,246495	-0,49819	0,486804	-5,29183	-4,2963	0	0	0	0,0798972	-5,31358	-4,2963	0	0	-0,0766981	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,682644	0	0	0	0	0	0	0	0	0	-3,88192	0,246495	-0,49819	1,10075	-5,24465	-4,2963	0	0	0	0,69565	-5,31358	-4,2963	0	0	-0,0766981	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,719372	0	0	0	0	0	0	0	0	0	-3,89184	0,101223	-0,486789	-0,0577605	-5,32012	-4,2963	0	0	0	-0,270082	-5,31358	-4,2963	0	0	-0,0399285	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,74782	0	0	0	0	0	0	0	0	0	-3,88192	0,254005	-0,301445	-0,0425389	5,38728	6,51908	0	0	0	0,383607	5,37378	6,51908	0	0	-0,0791601	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,782051	0	0	0	0	0	0	0	0	0	-3,89184	0,101223	-0,301445	-0,0893121	-4,53034	6,51908	0	0	0	-0,270082	-4,52316	6,51908	0	0	-0,0399285	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,817329	0	0	0	0	0	0	0	0	0	-3,90554	0,0990771	0,0104022	0,019985	-0,0122614	6,51908	0	0	0	0,0194987	-0,0130209	6,51908	0	0	-0,0384655	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,845406	0	0	0	0	0	0	0	0	0	-3,90623	0,0990771	0,0241793	-0,0615626	-0,0153997	0,390618	0	0	0	-0,0621092	-0,0130209	0,390618	0	0	-0,0384655	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,881847	0	0	0	0	0	0	0	0	0	-3,90723	0,0986179	0,0254218	0,00203933	-0,0129523	0,390618	0	0	0	0,00154202	-0,0130209	0,390618	0	0	-0,0382896	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,916059	0	0	0	0	0	0	0	0	0	-3,90723	0,0907356	0,0355921	-0,00214137	0,10188	0,0442453	0	0	0	0,00154202	0,101891	0,0442453	0	0	-0,0361484	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,947081	0	0	0	0	0	0	0	0	0	-3,90523	0,0872488	0,0355921	0,00765238	-0,172991	-0,355539	0	0	0	0,00154202	-0,173154	-0,355539	0	0	-0,0353016	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
0,983019	0	0	0	0	0	0	0	0	0	-3,90523	0,085365	0,0293789	0,000459841	-0,0928578	-0,355539	0	0	0	-0,00276281	-0,0928178	-0,355539	0	0	-0,0347092	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,01189	0	0	0	0	0	0	0	0	0	-3,90533	0,0820292	0,0293789	-0,00541979	-0,154035	0,18135	0	0	0	-0,0106293	-0,153764	0,18135	0	0	-0,0338465	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,04774	0	0	0	0	0	0	0	0	0	-3,90533	0,0775905	0,0403749	0,00026514	-0,0928586	0,18135	0	0	0	-0,00276281	-0,0928178	0,18135	0	0	-0,0326124	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,07735	0	0	0	0	0	0	0	0	0	-3,90605	0,0754665	0,0403749	-0,0197893	-0,154475	-0,193723	0	0	0	-0,0247192	-0,153764	-0,193723	0	0	-0,0319847	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,11511	0	0	0	0	0	0	0	0	0	-3,90666	0,0735425	0,0268784	0,0253355	-0,0584655	-0,309057	0	0	0	0,0234925	-0,0592301	-0,309057	0	0	-0,0313153	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,14294	0	0	0	0	0	0	0	0	0	-3,90751	0,067119	0,0152081	-0,0227118	-0,255445	-0,309057	0	0	0	-0,0303232	-0,254654	-0,309057	0	0	-0,0298408	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,17794	0	0	0	0	0	0	0	0	0	-3,90751	0,0731031	0,0152081	-0,0356068	0,169084	-0,125105	0	0	0	-0,0303232	0,170111	-0,125105	0	0	-0,0311509	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,21433	0	0	0	0	0	0	0	0	0	-3,90751	0,0731031	0,0290135	-0,0352252	0,15684	0,368734	0	0	0	-0,0303232	0,157861	0,368734	0	0	-0,0311509	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,24144	0	0	0	0	0	0	0	0	0	-3,90741	0,0731031	0,0388552	0,0017653	0,157992	0,368734	0	0	0	0,00668525	0,157861	0,368734	0	0	-0,0311509	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,2803	0	0	0	0	0	0	0	0	0	-3,90741	0,0788481	0,0388552	0,00155367	0,157994	-0,115173	0	0	0	0,00668525	0,157861	-0,115173	0	0	-0,0324904	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
1,30819	0	0	0	0	0	0	0	0	0	-3,90919	0,076686	0,0388552	0,0116963	-0,156223	-0,115173	0	0	0	0,00668525	-0,156517	-0,115173	0	0	-0,0320432	-900	900	-850	-14	14	-5	0	0	0	0,2	0,2	2460																								
