time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxr3	dyr3	dzr3	dxr4	dyr4	dzr4	dxr5	dyr5	dzr5	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.131354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-nan	-nan	0	-nan	-nan	0	-nan	-nan	0	0	0	0	0	0	0	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.160584	0	0	0	0	0	0	0	0	0	0	0	0	-4.26037	0.210888	-0.600991	-0.417718	0	-0.0343555	-0.01	0	-0.01	-32.4343	-4.57535	0	-5.40571	-0.762559	0	-2.70286	-0.381279	0	0	0	0	0	0	0.0443102	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.197612	0	0	0	0	0	0	0	0	0	0	0	0	-4.27258	0.334843	-0.600991	-0.417718	2.82432	-0.0343555	-0.02	0.01	-0.02	-146.171	-20.5608	0	-24.3618	-3.42679	0	-12.1809	-1.7134	0	0	0	0	0	0	0.0443102	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.225931	0	0	0	0	0	0	0	0	0	0	0	0	-4.27258	0.210888	-0.601995	-0.161339	-4.2414	-0.0343555	-0.03	0	-0.03	-0.329691	-0.0271157	0	-19.2313	-2.70964	0	-9.61565	-1.35482	0	0	0	0	0	0	0.0717512	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.25766	0	0	0	0	0	0	0	0	0	0	0	0	-4.25422	0.250446	-0.534712	-0.161339	6.64696	8.66717	-0.04	0.01	-0.02	0.280938	1.01425	0	-276.421	-38.535	0	188.358	26.7464	0	0	0	0	0	0	0.0638625	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.294254	0	0	0	0	0	0	0	0	0	0	0	0	-4.24143	0.250446	-0.534712	0.349267	4.29077	15.6929	-0.03	0.02	-0.01	0.107635	0.232498	0	-179.381	-24.9387	0	67.4431	9.64476	0	0	0	0	0	0	0.0638625	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.323017	0	0	0	0	0	0	0	0	0	0	0	0	-4.24143	0.250446	-0.534712	0.349267	4.29077	15.6929	-0.02	0.03	3.46945e-18	0.349505	0	0	-38.7769	-5.17711	0	58.4491	8.38083	0	0	0	0	0	0	0.0638625	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.355586	0	0	0	0	0	0	0	0	0	0	0	0	-4.20437	0.206102	-0.746641	0.460192	-1.74139	-5.39385	-0.01	0.02	-0.01	1.28842	-7.36811	0	-49.0132	-7.42478	0	74.0443	8.4862	0	0	0	0	0	0	0.0722147	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.389499	0	0	0	0	0	0	0	0	0	0	0	0	-4.18937	0.149336	-0.746641	0.460192	-7.01272	-5.39385	3.46945e-18	0.01	-0.02	1.59846	-6.50708	0	-39.2984	-6.12237	0	60.0886	7.08699	0	0	0	0	0	0	0.0799263	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.428983	0	0	0	0	0	0	0	0	0	0	0	0	-4.18937	0.149336	0.336065	0.031882	-1.74139	-5.39385	0.01	-3.46945e-18	-0.03	0.225645	16.2857	0	-227.175	-34.0008	0	145.017	24.7009	0	0	0	0	0	0	0.0799263	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.454546	0	0	0	0	0	0	0	0	0	0	0	0	-4.18829	0.3419	0.336065	0.031882	-2.95233	-9.90095	0.02	-0.01	-0.04	0.00230832	2.31117	0	-141.529	-20.6431	0	53.1972	12.1874	0	0	0	0	0	0	0.0321652	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.488856	0	0	0	0	0	0	0	0	0	0	0	0	-4.20788	0.349367	-0.51329	-0.496197	0.217684	-9.90095	0.01	-3.46945e-18	-0.05	-0.724054	-33.226	0	-54.7487	-8.21455	0	81.8329	15.3646	0	0	0	0	0	0	0.0237532	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.521016	0	0	0	0	0	0	0	0	0	0	0	0	-4.14741	0.3419	-0.51329	1.95479	-1.14755	10.8945	0.02	-0.01	-0.04	1.19146	-24.7553	0	-40.4973	-0.860902	0	61.1537	-9.59014	0	0	0	0	0	0	0.0321652	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.559205	0	0	0	0	0	0	0	0	0	0	0	0	-4.21028	0.31246	0.696862	-2.04161	-1.14755	10.8945	0.01	-0.02	-0.03	-0.0746479	37.6291	0	-41.2032	5.88032	0	61.961	-4.993	0	0	0	0	0	0	0.0412021	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.58786	0	0	0	0	0	0	0	0	0	0	0	0	-4.18478	0.233404	0.696862	1.74952	-1.14755	6.98898	0.02	-0.03	-0.02	-0.531156	17.2021	0	-200.354	-3.51579	0	128.685	-0.950631	0	0	0	0	0	0	0.0498991	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.624547	0	0	0	0	0	0	0	0	0	0	0	0	-4.18478	0.0577424	-0.722229	0.44067	-4.78799	-1.99403	0.03	-0.04	-0.03	0.0413674	-2.30179	0	-195.393	17.1329	0	72.0835	8.34876	0	0	0	0	0	0	0.100237	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.655123	0	0	0	0	0	0	0	0	0	0	0	0	-4.17617	0.233404	-0.722229	0.44067	8.30378	-1.99403	0.04	-0.03	-0.04	0.234572	-38.681	0	-38.0991	-0.115241	0	57.6014	-15.4696	0	0	0	0	0	0	0.0498991	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.687533	0	0	0	0	0	0	0	0	0	0	0	0	-4.17617	0.0577424	0.469154	-0.0717488	-4.78799	0.407708	0.03	-0.04	-0.03	0.281454	38.9646	0	-45.5747	6.35583	0	68.3863	-12.0162	0	0	0	0	0	0	0.100237	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.724318	0	0	0	0	0	0	0	0	0	0	0	0	-4.1785	0.0517034	0.482368	-0.24732	6.5797	0.55467	0.02	-0.03	-0.02	-0.071751	37.1674	0	-39.4069	-0.644318	0	59.7751	17.1026	0	0	0	0	0	0	0.132921	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.751789	0	0	0	0	0	0	0	0	0	0	0	0	-4.1785	0.0517034	0.482368	-0.0717488	6.5797	0.407708	0.01	-0.02	-0.01	-0.0336072	0.190971	0	-208.179	18.2238	0	132.468	3.80369	0	0	0	0	0	0	0.132921	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.783596	0	0	0	0	0	0	0	0	0	0	0	0	-4.16353	0.0517034	0.298727	-0.603013	6.5797	0.55467	3.46945e-18	-0.01	3.46945e-18	0.0192094	-0.235661	0	-202.703	22.2179	0	76.0489	-12.6701	0	0	0	0	0	0	0.132921	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.821627	0	0	0	0	0	0	0	0	0	0	0	0	-4.16353	-0.0427281	0.298727	-0.186373	0.975991	0.982064	-0.01	-3.46945e-18	0.01	0.470623	-5.77361	0	-43.7117	4.09289	0	65.7305	-8.09849	0	0	0	0	0	0	0.145812	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.850505	0	0	0	0	0	0	0	0	0	0	0	0	-4.17005	-0.0436825	0.336076	-0.186373	-0.0330559	0.982064	-0.02	-0.01	0.02	-0.171421	0.982064	0	-36.5866	3.58674	0	54.9539	-6.66233	0	0	0	0	0	0	0.149141	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.886606	0	0	0	0	0	0	0	0	0	0	0	0	-4.17005	-0.0427281	0.336076	0.0196932	0.975991	0.872044	-0.01	-3.46945e-18	0.03	-0.225754	1.29333	0	-47.2012	4.30061	0	70.8326	-5.38371	0	0	0	0	0	0	0.145812	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.91729	0	0	0	0	0	0	0	0	0	0	0	0	-4.16398	-0.0216149	0.340044	0.167974	-0.0330559	0.867987	3.46945e-18	-0.01	0.04	0.0933256	0.0610758	0	-211.711	16.913	0	134.671	-10.2482	0	0	0	0	0	0	0.149141	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.95206	0	0	0	0	0	0	0	0	0	0	0	0	-4.16398	-0.0216149	0.313425	0.167974	-0.543572	-1.24031	0.01	-0.02	0.03	0.00639701	-0.0238939	0	-181.171	14.4807	0	67.9857	-5.63935	0	0	0	0	0	0	0.150592	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.984161	0	0	0	0	0	0	0	0	0	0	0	0	-4.15879	-0.0432598	0.327442	0.169439	-0.622158	0.867987	0.02	-0.03	0.04	0.14945	-0.362445	0	-39.9235	3.18051	0	59.9932	-4.85353	0	0	0	0	0	0	0.154063	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.01984	0	0	0	0	0	0	0	0	0	0	0	0	-4.16327	-0.0432598	0.306812	-0.151649	-0.622158	-0.578267	0.01	-0.04	0.03	0.0220988	-0.205989	0	-43.2347	3.35845	0	64.8436	-5.39305	0	0	0	0	0	0	0.154063	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.04731	0	0	0	0	0	0	0	0	0	0	0	0	-4.16033	0.00250274	0.306812	0.107071	-1.91929	-0.578267	0.02	-0.05	0.02	-0.0433496	-0.578267	0	-39.1925	3.4036	0	58.7724	-5.02067	0	0	0	0	0	0	0.144465	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
