time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxr3	dyr3	dzr3	dxr4	dyr4	dzr4	dxr5	dyr5	dzr5	dxrDer	dyrDer	dzrDer	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.130579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.160978	0	0	0	0	0	0	0	0	0	0	0	0	-3.92423	0.820033	-0.534859	-0.00150944	0.0999886	-0.1	0	0.1	-0.1	0	0.08	-0.08	0	0.04	-0.04	0	0.913172	-1.31083	98.2783	0	0	0	0	0	0	0	-0.015095	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.195207	0	0	0	0	0	0	0	0	0	0	0	0	-3.92423	0.820033	-0.574707	0.0964354	0.201743	-0.2	0.1	0.2	-0.2	0.08	0.16	-0.16	0.04	0.08	-0.08	1.09935	0.913172	-4.67293	-5.6751	0	0	0	0	0	0	0	-0.0177453	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.225932	0	0	0	0	0	0	0	0	0	0	0	0	-3.88085	0.847793	-0.574707	0.194645	0.303502	-0.3	0.2	0.3	-0.3	0.16	0.24	-0.24	0.08	0.12	-0.12	1.09935	0.913172	-1.31083	0.596154	0	0	0	0	0	0	0	-0.0177453	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.259599	0	0	0	0	0	0	0	0	0	0	0	0	-3.84192	0.495769	-0.477183	0.297322	0.203961	-0.4	0.3	0.2	-0.4	0.24	0.16	-0.32	0.12	0.08	-0.16	1.15585	-10.2844	-0.42199	1.26715	0	0	0	0	0	0	0	-0.0132608	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.290927	0	0	0	0	0	0	0	0	0	0	0	0	-3.88085	0.588327	-0.462972	0.214419	0.28987	-0.3	0.2	0.3	-0.3	0.16	0.24	-0.24	0.08	0.12	-0.12	-2.12506	12.8627	9.25197	0.110709	0	0	0	0	0	0	0	0.0488781	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.32627	0	0	0	0	0	0	0	0	0	0	0	0	-3.87616	-0.357207	-0.333315	0.309413	0.185104	-0.4	0.3	0.2	-0.4	0.24	0.16	-0.32	0.12	0.08	-0.16	1.15585	-26.7538	-0.42199	-0.479803	0	0	0	0	0	0	0	0.0488781	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.356872	0	0	0	0	0	0	0	0	0	0	0	0	-3.87616	0.588327	-0.221699	0.256056	0.292207	-0.3	0.246879	0.3	-0.3	0.246879	0.24	-0.24	0.16	0.12	-0.12	0.246879	33.0715	3.64808	0.0793031	0	0	0	0	0	0	0	0.0309892	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.39274	0	0	0	0	0	0	0	0	0	0	0	0	-3.86861	0.317075	-0.31677	0.349508	0.19537	-0.4	0.346879	0.2	-0.4	0.326879	0.16	-0.32	0.2	0.08	-0.16	2.08501	-13.544	-2.64991	0.132288	0	0	0	0	0	0	0	0.0132965	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.422342	0	0	0	0	0	0	0	0	0	0	0	0	-3.82626	0.317075	-0.282399	0.248187	0.0967086	-0.3	0.246879	0.1	-0.3	0.246879	0.08	-0.24	0.24	0.04	-0.12	0.246879	-13.544	1.16368	0.67679	0	0	0	0	0	0	0	0.0132965	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.45754	0	0	0	0	0	0	0	0	0	0	0	0	-3.7938	0.0161702	-0.282399	0.346534	-0.0154633	-0.2	0.346879	2.77556e-17	-0.2	0.326879	-2.77556e-17	-0.16	0.28	-1.38778e-17	-0.08	1.31123	-13.544	1.16368	1.13449	0	0	0	0	0	0	0	0.0445932	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
