time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
0,134693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,16042;0;0;0;0;0;0;0;0;0;0;0;0;-2,60565;-0,123874;-0,440097;1,98512;2,01477;2;2;2;2;0;-1,08314;-1,92107;0;0;0;0;0;-0,00741378;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,193976;0;0;0;0;0;0;0;0;0;0;0;0;-2,62365;-0,187076;-0,449235;2,90873;3,08857;3;3;3;3;-0,536592;-1,08314;-1,92107;0;0;0;0;0;-0,0299782;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,227941;0;0;0;0;0;0;0;0;0;0;0;0;-2,61059;-0,249722;-0,450494;3,97024;4,02954;4;4;4;4;0,384177;-4,24091;-0,0370576;0;0;0;0;0;-0,00741378;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,264791;0;0;0;0;0;0;0;0;0;0;0;0;-2,61059;-0,331195;-0,450494;5,11834;4,87879;5;5;5;5;0,384177;-1,25554;-0,0370576;0;0;0;0;0;0,0239568;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,293291;0;0;0;0;0;0;0;0;0;0;0;0;-2,60857;-0,331195;-0,490066;6,14201;5,85455;6;6;6;6;0,384177;-1,25554;-0,0370576;0;0;0;0;0;0,0239568;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,325896;0;0;0;0;0;0;0;0;0;0;0;0;-2,60857;-0,235495;-0,490066;6,93189;7,06746;7;7;7;7;-0,391954;-0,0826772;1,58222;0;0;0;0;0;-0,00968387;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,359814;0;0;0;0;0;0;0;0;0;0;0;0;-2,60857;-0,235495;-0,483912;7,92216;8,07709;8;8;8;8;-0,391954;-0,0826772;1,58222;0;0;0;0;0;-0,00968387;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,395259;0;0;0;0;0;0;0;0;0;0;0;0;-2,61979;-0,235495;-0,458985;8,91242;9,08673;9;9;9;9;-0,391954;-0,0826772;0,703437;0;0;0;0;0;-0,00968387;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,423529;0;0;0;0;0;0;0;0;0;0;0;0;-2,61979;-0,229524;-0,458985;9,87412;10,1243;10;10;10;10;-0,170453;-0,561124;0,703437;0;0;0;0;0;-0,0125102;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,458204;0;0;0;0;0;0;0;0;0;0;0;0;-2,62461;-0,213657;-0,431442;10,7934;11,2028;11;11;11;11;-0,170453;1,89516;0,703437;0;0;0;0;0;-0,0186141;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,495657;0;0;0;0;0;0;0;0;0;0;0;0;-2,62461;-0,220069;-0,431442;11,8125;12,1846;12;12;12;12;-0,117489;-0,561124;-0,125875;0;0;0;0;0;-0,0155028;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,521485;0;0;0;0;0;0;0;0;0;0;0;0;-2,62202;-0,220069;-0,437955;12,7969;13,2;13;13;13;13;0,0449008;-1,13654;-0,125875;0;0;0;0;0;-0,0155028;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,562167;0;0;0;0;0;0;0;0;0;0;0;0;-2,62086;-0,249424;-0,44156;13,9415;14,0582;14;14;14;14;0,177723;-1,56592;-0,270154;0;0;0;0;0;-0,00416902;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,588793;0;0;0;0;0;0;0;0;0;0;0;0;-2,62086;-0,249424;-0,437955;14,9373;15,0624;15;15;15;15;0,0449008;-1,13654;0,139601;0;0;0;0;0;-0,00416902;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,631471;0;0;0;0;0;0;0;0;0;0;0;0;-2,61811;-0,262038;-0,443664;16,0274;15,9725;16;16;16;16;0,207183;-1,19606;-0,207375;0;0;0;0;0;0,00171435;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
0,654839;0;0;0;0;0;0;0;0;0;0;0;0;-2,61811;-0,210999;-0,443664;16,6914;17,3031;17;17;17;17;0,207183;3,22786;-0,207375;0;0;0;0;0;-0,0179948;0;0;-700;700;-500;1700;-10;10;-10;-0;0;-0;250;0,2;2560;177;0,2;-1
