time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
0.128163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.153319	0	0	0	0	0	0	0	0	0	0	0	0	-3.39586	0	0.405126	0	0	0.07	0	0	0.07	0	0	3.54922	0	0	0	0	0	0.0136795	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.188569	0	0	0	0	0	0	0	0	0	0	0	0	-3.50224	0.00762944	0.405126	-0.0752833	-0.064284	0.14	-0.07	-0.07	0.14	-3.46462	-4.12139	3.54922	0	0	0	0	0	0.0786476	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.218777	0	0	0	0	0	0	0	0	0	0	0	0	-3.39586	0.200268	0.845706	0	0	0.21	0	0	0.21	4.22875	8.01317	17.5132	0	0	0	0	0	0.0136795	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.257834	0	0	0	0	0	0	0	0	0	0	0	0	-3.32285	0.249683	1.05727	0.0705139	0.0694823	0.28	0.07	0.07	0.28	0.506922	2.75976	0.575185	0	0	0	0	0	0.00736899	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.284695	0	0	0	0	0	0	0	0	0	0	0	0	-3.32285	0.249683	1.05727	0.141028	0.138965	0.35	0.14	0.14	0.35	0.506922	2.75976	0.575185	0	0	0	0	0	0.00736899	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.319846	0	0	0	0	0	0	0	0	0	0	0	0	-3.49858	0.0127756	-0.543743	0.0896523	0.202392	0.42	0.07	0.21	0.42	-0.605624	2.30121	0.575185	0	0	0	0	0	0.0952367	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.353197	0	0	0	0	0	0	0	0	0	0	0	0	-3.51631	0.0127756	-0.586148	0.0283046	0.278566	0.35	0	0.28	0.35	-0.605624	0.543722	-1.27191	0	0	0	0	0	0.101261	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.38696	0	0	0	0	0	0	0	0	0	0	0	0	-3.51631	0.0127756	-0.575203	0.105022	0.341131	0.324068	0.07	0.35	0.324068	0.106613	0.543722	0.324068	0	0	0	0	0	0.101261	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.419848	0	0	0	0	0	0	0	0	0	0	0	0	-3.50839	0.0092019	-0.586148	0.160961	0.263833	0.254068	0.13083	0.28	0.254068	0.13083	-0.642509	-0.788709	0	0	0	0	0	0.110698	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.45207	0	0	0	0	0	0	0	0	0	0	0	0	-3.5041	-0.0500801	-0.601114	0.22664	0.181843	0.184068	0.20083	0.21	0.184068	0.234437	-0.725313	-0.788709	0	0	0	0	0	0.131547	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.482207	0	0	0	0	0	0	0	0	0	0	0	0	-3.5041	-0.0734722	-0.601114	0.149329	0.120072	0.114068	0.13083	0.14	0.114068	0.13083	-1.80446	-0.788709	0	0	0	0	0	0.142021	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.517794	0	0	0	0	0	0	0	0	0	0	0	0	-3.50986	-0.073699	-0.58477	0.0711325	0.0595017	0.184068	0.06083	0.07	0.184068	-0.00981648	-0.725313	1.05182	0	0	0	0	0	0.158776	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.553297	0	0	0	0	0	0	0	0	0	0	0	0	-3.50986	-0.073699	-0.58477	0.0133218	0.139666	0.254068	-0.00917002	0.14	0.254068	-0.00981648	0.225401	1.05182	0	0	0	0	0	0.160502	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.582609	0	0	0	0	0	0	0	0	0	0	0	0	-3.509	-0.0656957	-0.597118	0.0236532	0.208894	0.324068	-0.00981648	0.21	0.324068	-0.00981648	0.551267	0.671571	0	0	0	0	0	0.159461	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.616568	0	0	0	0	0	0	0	0	0	0	0	0	-3.509	-0.0495408	-0.597118	0.0220887	0.28007	0.353373	-0.0229542	0.28	0.353373	-0.0229542	0.430166	0.353373	0	0	0	0	0	0.160502	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.651303	0	0	0	0	0	0	0	0	0	0	0	0	-3.509	-0.0349323	-0.595476	0.0329122	0.349204	0.353373	-0.0229542	0.35	0.353373	-0.0229542	0.551267	0.353373	0	0	0	0	0	0.159461	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.682609	0	0	0	0	0	0	0	0	0	0	0	0	-3.50978	0.02438	-0.585117	0.0421324	0.418511	0.353373	-0.0229542	0.42	0.353373	-0.0229542	0.430166	0.353373	0	0	0	0	0	0.154932	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.716245	0	0	0	0	0	0	0	0	0	0	0	0	-3.5108	0.02438	-0.573098	0.100492	0.338548	0.283373	0.0470458	0.35	0.283373	0.0583457	-1.92854	-0.298298	0	0	0	0	0	0.154932	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.747005	0	0	0	0	0	0	0	0	0	0	0	0	-3.5108	-0.0405001	-0.573098	0.108082	0.264807	0.213373	0.0583457	0.28	0.213373	0.0583457	-1.92854	-0.714026	0	0	0	0	0	0.182077	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.784031	0	0	0	0	0	0	0	0	0	0	0	0	-3.5108	-0.0405001	-0.573098	0.0954065	0.195964	0.143373	0.0583457	0.21	0.143373	0.0583457	-0.616802	-0.714026	0	0	0	0	0	0.182077	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.811045	0	0	0	0	0	0	0	0	0	0	0	0	-3.53309	0.0888915	0.19991	0.00481474	0.140402	0.0733734	-0.0116543	0.14	0.0733734	-0.0519444	0.0863987	-0.211718	0	0	0	0	0	0.117333	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.850747	0	0	0	0	0	0	0	0	0	0	0	0	-3.53309	0.0888915	0.205628	-0.0414731	0.0918855	0.143373	-0.0519444	0.0863987	0.143373	-0.0519444	0.0863987	0.252831	0	0	0	0	0	0.117333	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.875878	0	0	0	0	0	0	0	0	0	0	0	0	-3.53334	0.0700498	0.19991	-0.0494344	0.0228775	0.0733734	-0.0519444	0.0163987	0.0733734	-0.0519444	-0.296284	-0.211718	0	0	0	0	0	0.12764	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.913841	0	0	0	0	0	0	0	0	0	0	0	0	-3.53334	0.0664147	0.183916	-0.05573	-0.0465125	0.143373	-0.0489505	-0.0536013	0.143373	-0.0489505	-0.296284	0.248539	0	0	0	0	0	0.135231	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.943164	0	0	0	0	0	0	0	0	0	0	0	0	-3.53334	0.0626036	0.178764	-0.0657038	-0.11557	0.0733734	-0.0489505	-0.123601	0.0733734	-0.0489505	-0.296284	-0.175688	0	0	0	0	0	0.139867	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
0.981943	0	0	0	0	0	0	0	0	0	0	0	0	-3.53519	0.0664147	0.183916	-0.0560316	-0.0461487	0.143373	-0.0489505	-0.0536013	0.143373	-0.0489505	0.100389	0.248539	0	0	0	0	0	0.141741	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
1.00652	0	0	0	0	0	0	0	0	0	0	0	0	-3.53412	0.0593704	0.179763	0.00320465	-0.12534	0.0733734	0.0210495	-0.123601	0.0733734	0.0507463	-0.337707	-0.175688	0	0	0	0	0	0.143122	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
1.04678	0	0	0	0	0	0	0	0	0	0	0	0	-3.53422	0.0638956	0.187516	-0.010585	-0.0526093	0.143373	-0.00258486	-0.0536013	0.143373	-0.00258486	0.112413	0.192607	0	0	0	0	0	0.150362	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
1.07758	0	0	0	0	0	0	0	0	0	0	0	0	-3.53412	0.0638956	0.181572	0.0344848	0.0112718	0.0733734	0.0323625	0.0163987	0.0733734	0.0323625	0.0614316	-0.192902	0	0	0	0	0	0.153093	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
1.10679	0	0	0	0	0	0	0	0	0	0	0	0	-3.53416	0.0657885	0.181572	0.0110243	0.0857315	0.0033734	-0.00258486	0.0863987	0.0033734	-0.00258486	0.112413	-0.192902	0	0	0	0	0	0.157798	0	0	-1000	1000	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	0.07
