time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
0.13549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.165955	0	0	0	0	0	0	0	0	0	0	0	0	-5.42578	1.02236	0.365969	-0.0681406	-0.0160266	0	-0.07	0	0	-1.62209	0	0	0	0	0	0	0	-0.231001	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.196936	0	0	0	0	0	0	0	0	0	0	0	0	-5.43734	1.12274	0.365969	-0.153008	0.0329947	-0.07	-0.14	0.07	-0.07	-1.62209	4.84772	-0.778454	0	0	0	0	0	-0.251259	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.233307	0	0	0	0	0	0	0	0	0	0	0	0	-5.47527	1.02236	0.308902	-0.204422	-0.0480799	-0.14	-0.21	0	-0.14	-1.30261	-3.28964	-0.778454	0	0	0	0	0	-0.231001	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.263823	0	0	0	0	0	0	0	0	0	0	0	0	-5.45575	1.11801	0.130294	-0.152763	0.0341078	-0.21	-0.14	0.07	-0.21	0.949572	4.67157	-5.85406	0	0	0	0	0	-0.243978	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.29695	0	0	0	0	0	0	0	0	0	0	0	0	-5.45575	1.11801	0.308902	-0.101746	0.118944	-0.14	-0.07	0.14	-0.14	0.949572	1.61049	5.5534	0	0	0	0	0	-0.243978	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.328421	0	0	0	0	0	0	0	0	0	0	0	0	-5.44405	1.14979	0.405139	-0.05264	0.203295	-0.21	0	0.21	-0.21	0.949572	1.61049	-3.80459	0	0	0	0	0	-0.253369	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.36632	0	0	0	0	0	0	0	0	0	0	0	0	-5.44405	1.14979	0.419212	-0.102858	0.117984	-0.14	-0.07	0.14	-0.14	-0.111686	-0.685178	0.371358	0	0	0	0	0	-0.253369	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.394948	0	0	0	0	0	0	0	0	0	0	0	0	-5.44405	1.14979	0.405139	-0.125667	0.0397693	-0.21	-0.111686	0.07	-0.21	-0.111686	-0.685178	-0.826328	0	0	0	0	0	-0.253369	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.426839	0	0	0	0	0	0	0	0	0	0	0	0	-5.44828	1.12083	0.395556	-0.108362	-0.0270427	-0.28	-0.111686	0	-0.28	-0.111686	-1.24882	-0.826328	0	0	0	0	0	-0.244563	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.462773	0	0	0	0	0	0	0	0	0	0	0	0	-5.43248	1.1684	0.395556	-0.0580336	0.0571821	-0.35	-0.0416856	0.07	-0.35	0.551769	2.30299	-0.826328	0	0	0	0	0	-0.255677	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.494161	0	0	0	0	0	0	0	0	0	0	0	0	-5.40279	1.22936	0.223643	-0.107817	-0.0291424	-0.42	-0.111686	0	-0.42	-0.544597	-0.275141	-5.39488	0	0	0	0	0	-0.263988	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.53192	0	0	0	0	0	0	0	0	0	0	0	0	-5.40279	1.22936	0.387741	-0.157126	-0.114983	-0.35	-0.181686	-0.07	-0.35	-0.718168	-0.275141	4.36181	0	0	0	0	0	-0.263988	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.558129	0	0	0	0	0	0	0	0	0	0	0	0	-5.42674	1.15398	0.387741	-0.208679	-0.198491	-0.28	-0.251686	-0.14	-0.28	-0.718168	-0.275141	2.55476	0	0	0	0	0	-0.252752	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.595026	0	0	0	0	0	0	0	0	0	0	0	0	-5.42674	1.15398	0.38951	-0.158408	-0.11321	-0.21	-0.181686	-0.07	-0.21	0.120656	0.386193	2.55476	0	0	0	0	0	-0.252752	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.623909	0	0	0	0	0	0	0	0	0	0	0	0	-5.42674	1.15398	0.38951	-0.108137	-0.0279292	-0.28	-0.111686	0	-0.28	0.120656	0.386193	-1.76762	0	0	0	0	0	-0.252752	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.66243	0	0	0	0	0	0	0	0	0	0	0	0	-5.40625	1.21179	0.38951	-0.0583227	0.0568872	-0.35	-0.0416856	0.07	-0.35	0.932724	1.68557	-1.76762	0	0	0	0	0	-0.260747	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.690582	0	0	0	0	0	0	0	0	0	0	0	0	-5.40625	1.21179	0.414712	-0.00873504	0.142567	-0.28	0.0283144	0.14	-0.28	2.32841	3.59044	2.79709	0	0	0	0	0	-0.260747	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.729358	0	0	0	0	0	0	0	0	0	0	0	0	-5.40625	1.21179	0.414712	0.0408526	0.228247	-0.21	0.0983144	0.21	-0.21	2.32841	3.59044	2.79709	0	0	0	0	0	-0.260747	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.756345	0	0	0	0	0	0	0	0	0	0	0	0	-5.44283	1.13523	0.356179	0.0856678	0.30993	-0.14	0.1581	0.28	-0.14	0.1581	0.480235	0.328109	0	0	0	0	0	-0.24434	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.796862	0	0	0	0	0	0	0	0	0	0	0	0	-5.4471	1.12227	0.347325	0.0352667	0.224984	-0.21	0.0881004	0.21	-0.21	-0.249014	-4.91592	-1.29401	0	0	0	0	0	-0.241738	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.824529	0	0	0	0	0	0	0	0	0	0	0	0	-5.45022	0.258508	0.349226	0.0724712	0.287543	-0.14	0.0976377	0.28	-0.14	0.0976377	0.480235	0.328109	0	0	0	0	0	-0.0886276	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.857926	0	0	0	0	0	0	0	0	0	0	0	0	-5.45169	0.258508	0.338825	-0.00344987	0.351073	-0.21	0.0276377	0.35	-0.21	-0.0440671	1.00352	-0.311532	0	0	0	0	0	-0.0886276	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.893284	0	0	0	0	0	0	0	0	0	0	0	0	-5.45169	0.312927	0.338825	-0.0832852	0.413833	-0.28	-0.0423623	0.42	-0.28	-0.0440671	1.62991	-0.311532	0	0	0	0	0	-0.0980772	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.922865	0	0	0	0	0	0	0	0	0	0	0	0	-5.45725	0.411514	0.337364	-0.100167	0.481673	-0.311532	-0.0440671	0.49	-0.311532	-0.0440671	1.62991	-0.311532	0	0	0	0	0	-0.115342	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.959345	0	0	0	0	0	0	0	0	0	0	0	0	-5.45725	0.418495	0.322351	-0.0816367	0.554288	-0.381532	-0.0173032	0.56	-0.381532	-0.0173032	0.724125	-0.465831	0	0	0	0	0	-0.115342	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
0.990325	0	0	0	0	0	0	0	0	0	0	0	0	-5.45247	0.418495	0.303157	-0.00404023	0.492809	-0.311532	0.0526968	0.49	-0.311532	0.079317	-0.396011	0.507548	0	0	0	0	0	-0.115331	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.02458	0	0	0	0	0	0	0	0	0	0	0	0	-5.45001	0.386194	0.288535	0.0328314	0.426161	-0.381532	0.079317	0.42	-0.381532	0.079317	-0.727465	-0.427016	0	0	0	0	0	-0.109764	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.05616	0	0	0	0	0	0	0	0	0	0	0	0	-5.45001	0.384103	0.303157	-0.0222431	0.34966	-0.311532	0.0160323	0.35	-0.311532	0.0160323	-0.727465	0.797487	0	0	0	0	0	-0.109302	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.09248	0	0	0	0	0	0	0	0	0	0	0	0	-5.45336	0.384103	0.318646	-0.0594042	0.275162	-0.241532	-0.0290337	0.28	-0.241532	-0.0290337	0.23891	-0.116326	0	0	0	0	0	-0.109302	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.12051	0	0	0	0	0	0	0	0	0	0	0	0	-5.45442	0.39278	0.318646	-0.0855409	0.34265	-0.171532	-0.0471854	0.35	-0.171532	-0.0471854	0.722275	-0.116326	0	0	0	0	0	-0.110637	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.15906	0	0	0	0	0	0	0	0	0	0	0	0	-5.45442	0.456585	0.310968	-0.062837	0.274398	-0.116326	-0.0290337	0.28	-0.116326	-0.0290337	0.245969	-0.116326	0	0	0	0	0	-0.121795	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.18726	0	0	0	0	0	0	0	0	0	0	0	0	-5.45412	0.46606	0.310968	-0.0256623	0.349501	-0.0463265	0.0175861	0.35	-0.0463265	0.0175861	0.408445	0.0444125	0	0	0	0	0	-0.123498	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.22483	0	0	0	0	0	0	0	0	0	0	0	0	-5.45412	0.469377	0.320505	-0.0172869	0.280019	0.0236735	0.0175861	0.28	0.0236735	0.0175861	0.245969	0.337901	0	0	0	0	0	-0.124382	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.25361	0	0	0	0	0	0	0	0	0	0	0	0	-5.45686	0.472909	0.336752	-0.0351338	0.207236	0.0936735	-0.0090061	0.21	0.0936735	-0.0090061	0.122715	0.337901	0	0	0	0	0	-0.125078	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.29054	0	0	0	0	0	0	0	0	0	0	0	0	-5.45686	0.469377	0.336752	-0.0263051	0.137801	0.145012	-0.0090061	0.14	0.145012	-0.0090061	-0.218629	0.145012	0	0	0	0	0	-0.124382	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.31984	0	0	0	0	0	0	0	0	0	0	0	0	-5.45615	0.455142	0.335289	0.00298987	0.0708873	0.120606	0.0115735	0.07	0.120606	0.0115735	0.0160258	0.120606	0	0	0	0	0	-0.1217	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.35179	0	0	0	0	0	0	0	0	0	0	0	0	-5.45615	0.455142	0.335289	0.00954233	0.0173123	0.120606	0.0115735	0.0160258	0.120606	0.0115735	0.0160258	0.120606	0	0	0	0	0	-0.1217	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.39135	0	0	0	0	0	0	0	0	0	0	0	0	-5.45978	0.464439	0.340595	0.000881462	0.0867963	0.120606	0.0115735	0.0860258	0.120606	0.0115735	0.12828	0.120606	0	0	0	0	0	-0.123577	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.42008	0	0	0	0	0	0	0	0	0	0	0	0	-5.46054	0.469514	0.340595	-0.0457206	0.151524	0.0506056	-0.0265687	0.156026	0.0506056	-0.0265687	0.29104	-0.171047	0	0	0	0	0	-0.124384	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
1.45429	0	0	0	0	0	0	0	0	0	0	0	0	-5.45978	0.487273	0.335681	0.0143135	0.229715	-0.0193944	0.0434313	0.226026	-0.0193944	0.0510944	0.618167	-0.221932	0	0	0	0	0	-0.127609	0	0	-1000	1000	-500	1700	-10	10	-10	-0	0	-0	250	0.2	0.2	177	-1	-1	2560	0.07
