time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
0,125205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,152697;0;0;0;0;0;0;0;0;0;0;0;0;-2,64087;-0,245171;0;0,000968074;-0,0699933;0;0;-0,07;0;0;-0,527773;0;0;0;0;0;0;-0,0138301;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,183797;0;0;0;0;0;0;0;0;0;0;0;0;-2,64087;-0,245171;-0,454721;0,0242334;-0,13948;-0,07;0,0210201;-0,14;-0,07;0,0210201;-0,527773;-0,560554;0;0;0;0;0;-0,0229939;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,219709;0;0;0;0;0;0;0;0;0;0;0;0;-2,64022;-0,218369;-0,472167;0,0487972;-0,0686283;-0,14;0,0468082;-0,07;-0,14;0,0468082;1,1823;-0,560554;0;0;0;0;0;-0,0286925;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,252913;0;0;0;0;0;0;0;0;0;0;0;0;-2,63828;-0,218369;-0,472167;0,0539096;0,00154722;-0,21;0,0539318;0;-0,21;0,0539318;1,1823;-0,40522;0;0;0;0;0;-0,0286925;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,290006;0;0;0;0;0;0;0;0;0;0;0;0;-2,63828;-0,20982;-0,480464;0,0516494;0,0717006;-0,28;0,0539318;0,07;-0,28;0,0539318;1,1823;-0,40522;0;0;0;0;0;-0,0322108;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,317714;0;0;0;0;0;0;0;0;0;0;0;0;-2,6338;-0,217637;-0,480464;0,123877;0,00367704;-0,21;0,123932;0;-0,21;0,198048;-0,282064;-0,0863087;0;0;0;0;0;-0,0296742;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,353683;0;0;0;0;0;0;0;0;0;0;0;0;-2,6338;-0,20982;-0,480464;0,191577;0,0762093;-0,14;0,193932;0,07;-0,14;0,195332;6,06943;-0,0863087;0;0;0;0;0;-0,0322108;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,380528;0;0;0;0;0;0;0;0;0;0;0;0;-2,62678;0,16505;-0,315126;0,170837;0,172156;-0,0863087;0,198048;0,14;-0,0863087;0,198048;1,4466;-0,0863087;0;0;0;0;0;-0,173901;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
0,416008;0;0;0;0;0;0;0;0;0;0;0;0;-2,61621;0,16505;-0,287051;0,22767;0,253212;-0,0163087;0,268048;0,21;-0,0163087;0,393724;1,4466;5,44508;0;0;0;0;0;-0,173901;0;0;-1200;1200;-500;1700;-10;10;-10;-0;0;-0;250;0,2;0,2;177;-1;-1;2560;0,07
