time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
6.97447	-10.1284	-0.0987191	100	-56	1500	15	0.0700381	-0.0568363	0.0742652	0.000143648	-0.000116571	0.000152318	-4.76342	0.781761	0.0987191	0.126529	0.0205804	-0.0680026	0.126529	0.0205804	-0.0680026	0.126529	0.0205804	-0.0680026	0.194117	-0.0481109	-0.00193982	0.187539	0.00657821	-0.066627	0.0185161	-0.00193982	-0	0.117112	-0.00872665	-0.171024	-0.162667	0.00835664	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
6.98236	-10.1284	-0.0987191	106	-56	1600	15	0.0700903	-0.056823	0.0742262	0.000697011	-0.000565189	0.000738334	-4.76342	0.781761	0.0987191	0.126529	0.0205804	-0.0680026	0.126529	0.0205804	-0.0680026	0.126529	0.0205804	-0.0680026	0.194117	-0.0481109	-0.00193982	0.187539	0.00657821	-0.066627	0.0185161	-0.00193982	-0	0.116413	-0.00855211	-0.171024	-0.162667	0.00835664	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
6.9925	-10.1284	-0.0987191	106	-56	1700	15	0.0701294	-0.0568356	0.0741796	0.00140819	-0.00114156	0.00149059	-4.76342	0.781761	0.0987191	0.126529	0.0205804	-0.0680026	0.126529	0.0205804	-0.0680026	0.126529	0.0205804	-0.0680026	0.194117	-0.0481109	-0.00193982	0.187539	0.00657821	-0.066627	0.0185161	-0.00193982	-0	0.11589	-0.00872665	-0.171024	-0.162667	0.00835664	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
6.99655	-10.1276	-0.098482	58	23	1800	3	0.118717	0.0233879	0.151016	0.00188864	-0.00104691	0.00210175	-4.7633	0.781761	0.098482	0.0565286	-0.0494196	-0.138003	0.0565286	-0.0494196	-0.138003	0.00343912	-0.210201	-0.206507	0.194117	-0.0481121	-0.00193532	0.187538	0.00657899	-0.0666296	0.0185175	-0.00193532	-0	0.11589	-0.00872665	-0.171024	-0.162671	0.00835254	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.00238	-10.1276	-0.098482	58	23	1900	3	0.11877	0.0233619	0.150979	0.00258107	-0.000910707	0.00298196	-4.7633	0.781761	0.098482	0.0565286	-0.0494196	-0.138003	0.0565286	-0.0494196	-0.138003	0.00343912	-0.210201	-0.206507	0.194117	-0.0481121	-0.00193532	0.187538	0.00657899	-0.0666296	0.0185175	-0.00193532	-0	0.115541	-0.00890118	-0.171024	-0.162671	0.00835254	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.01242	-10.1276	-0.098482	57	23	2000	3	0.118823	0.0233359	0.150941	0.00377345	-0.000676531	0.00449665	-4.7633	0.781761	0.098482	0.0565286	-0.0494196	-0.138003	0.0565286	-0.0494196	-0.138003	0.00343912	-0.210201	-0.206507	0.194117	-0.0481121	-0.00193532	0.187538	0.00657899	-0.0666296	0.0185175	-0.00193532	-0	0.115192	-0.00907571	-0.171024	-0.162671	0.00835254	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.02238	-10.1276	-0.098482	57	23	2100	3	0.118901	0.0233102	0.150883	0.00495759	-0.000444385	0.0059993	-4.7633	0.781761	0.098482	0.0565286	-0.0494196	-0.138003	0.0565286	-0.0494196	-0.138003	0.00343912	-0.210201	-0.206507	0.194117	-0.0481121	-0.00193532	0.187538	0.00657899	-0.0666296	0.0185175	-0.00193532	-0	0.114668	-0.00925025	-0.171024	-0.162671	0.00835254	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.02803	-10.1161	-0.0987191	-7	104	2200	3	0.183741	0.104934	0.0886336	0.00599738	0.000149439	0.00650088	-4.76342	0.776528	0.0987191	-0.0134714	-0.11942	-0.0680026	-0.0134714	-0.11942	-0.0680026	-0.0536193	-0.210201	0.00736162	0.194204	-0.0477612	-0.00194216	0.187649	0.00655493	-0.0663106	0.0185495	-0.00194216	-0	0.114668	-0.00925025	-0.169945	-0.161597	0.00834756	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.0324	-10.1161	-0.0987191	-7	104	2300	3	0.183756	0.104935	0.0886016	0.00680021	0.000607899	0.00688798	-4.76342	0.776528	0.0987191	-0.0134714	-0.11942	-0.0680026	-0.0134714	-0.11942	-0.0680026	-0.0536193	-0.210201	0.00736162	0.194204	-0.0477612	-0.00194216	0.187649	0.00655493	-0.0663106	0.0185495	-0.00194216	-0	0.114494	-0.00925025	-0.169945	-0.161597	0.00834756	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.04238	-10.1161	-0.0987191	-7	105	2400	3	0.183787	0.10492	0.0885557	0.00863312	0.00165427	0.00777114	-4.76342	0.776528	0.0987191	-0.0134714	-0.11942	-0.0680026	-0.0134714	-0.11942	-0.0680026	-0.0536193	-0.210201	0.00736162	0.194204	-0.0477612	-0.00194216	0.187649	0.00655493	-0.0663106	0.0185495	-0.00194216	-0	0.114145	-0.00942478	-0.169945	-0.161597	0.00834756	-1000	1000	-500	1700	-80	80	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
