time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
9,18439;0,815051;-0,0628469;-100;100;1500;100;0,335913;0,202476;0,0185541;0,00239237;0,00144203;0,000132142;-2,12661;-0,163034;0,0628469;0,0101225;-0,00250513;-0,0374296;0,0101225;-0,00250513;-0,0374296;0,0101225;-0,00250513;-0,0374296;0,347122;0,198007;-0,0173134;0,017551;0,329571;0,223847;-0,0258403;-0,0173134;0;0,00785398;0,0207694;-0,00455916;0,0765143;0,0809847;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,1872;0,815051;-0,0628469;-108;172;1600;136;0,335913;0,202472;0,0185895;0,00333696;0,00201138;0,000184416;-2,12661;-0,163034;0,0628469;0,0101225;-0,00250513;-0,0374296;0,0101225;-0,00250513;-0,0374296;0,0101225;-0,00250513;-0,0374296;0,347122;0,198007;-0,0173134;0,017551;0,329571;0,223847;-0,0258403;-0,0173134;0;0,00785398;0,0205949;-0,00455916;0,0765143;0,0809847;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,19729;0,815051;-0,0628469;-108;172;1700;136;0,335913;0,202472;0,0185895;0,006727;0,00405473;0,000372021;-2,12661;-0,163034;0,0628469;0,0101225;-0,00250513;-0,0374296;0,0101225;-0,00250513;-0,0374296;0,0101225;-0,00250513;-0,0374296;0,347122;0,198007;-0,0173134;0,017551;0,329571;0,223847;-0,0258403;-0,0173134;0;0,00785398;0,0205949;-0,00455916;0,0765143;0,0809847;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,19873;0,811801;-0,0615682;-105;165;1800;135;0,33219;0,19447;0,0617837;0,00720369;0,0043338;0,00046068;-2,12661;-0,161591;0,0615682;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,347435;0,197485;-0,0169831;0,0174294;0,330006;0,223249;-0,0257641;-0,0169831;0;0,00785398;0,0205949;-0,00461384;0,0758394;0,0803665;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,20727;0,811801;-0,0615682;-105;165;1900;135;0,332178;0,194461;0,0618756;0,0100418;0,00599527;0,000989346;-2,12661;-0,161591;0,0615682;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,347435;0,197485;-0,0169831;0,0174294;0,330006;0,223249;-0,0257641;-0,0169831;0;0,00802851;0,0204204;-0,00461384;0,0758394;0,0803665;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,21725;0,811801;-0,0615682;-105;165;2000;135;0,332178;0,194461;0,0618756;0,013355;0,00793482;0,00160649;-2,12661;-0,161591;0,0615682;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,347435;0,197485;-0,0169831;0,0174294;0,330006;0,223249;-0,0257641;-0,0169831;0;0,00802851;0,0204204;-0,00461384;0,0758394;0,0803665;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,22723;0,811801;-0,0615682;-105;165;2100;135;0,332178;0,194461;0,0618756;0,0166721;0,00987671;0,00222438;-2,12661;-0,161591;0,0615682;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,0138516;0,00586531;-0,0801475;0,347435;0,197485;-0,0169831;0,0174294;0,330006;0,223249;-0,0257641;-0,0169831;0;0,00802851;0,0204204;-0,00461384;0,0758394;0,0803665;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,23354;0,811298;-0,0589992;-105;128;2200;136;0,332535;0,151117;0,0634681;0,0187684;0,0108294;0,00262449;-2,12617;-0,161403;0,0589992;0,0138516;0,0490081;-0,0801475;0,0138516;0,0490081;-0,0801475;0,0138516;0,0490081;-0,0801475;0,347602;0,197252;-0,0162788;0,0175184;0,330083;0,223163;-0,0259116;-0,0162788;0;0,00802851;0,0204204;-0,00463719;0,0757673;0,0803179;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,23728;0,811298;-0,0589992;-105;128;2300;136;0,332524;0,151118;0,0635262;0,020013;0,011395;0,00286226;-2,12617;-0,161403;0,0589992;0,0138516;0,0490081;-0,0801475;0,0138516;0,0490081;-0,0801475;0,0138516;0,0490081;-0,0801475;0,347602;0,197252;-0,0162788;0,0175184;0,330083;0,223163;-0,0259116;-0,0162788;0;0,00820305;0,0204204;-0,00463719;0,0757673;0,0803179;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
9,24722;0,811298;-0,0589992;-105;128;2400;136;0,332524;0,151129;0,0634998;0,0233187;0,0128974;0,00349352;-2,12617;-0,161403;0,0589992;0,0138516;0,0490081;-0,0801475;0,0138516;0,0490081;-0,0801475;0,0138516;0,0490081;-0,0801475;0,347602;0,197252;-0,0162788;0,0175184;0,330083;0,223163;-0,0259116;-0,0162788;0;0,00820305;0,0205949;-0,00463719;0,0757673;0,0803179;-850;850;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2550;0,07
