time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
6.76685	0.372762	-0.107229	70	-3	1500	9	0.121713	-0.00717515	-0.0859987	0.000266065	-1.56849e-05	-0.000187993	-2.66466	-0.0871511	0.107229	0.0302666	0.126943	0.0661017	0.0302666	0.126943	0.0661017	0.0302666	0.126943	0.0661017	0.154178	0.126253	-0.0170053	-0.0221993	0.176377	0.054789	0.0714645	-0.0170053	-0	-0.33354	-0.26487	-9.64323	-0.0249582	0.029147	0.0320966	0.0326946	0.000597995	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.77469	0.372762	-0.107229	70	-3	1600	9	0.121683	-0.00716137	-0.0860424	0.00122079	-7.1873e-05	-0.000863082	-2.66466	-0.0871511	0.107229	0.0302666	0.126943	0.0661017	0.0302666	0.126943	0.0661017	0.0302666	0.126943	0.0661017	0.154178	0.126253	-0.0170053	-0.0221993	0.176377	0.054789	0.0714645	-0.0170053	-0	-0.33354	-0.28449	-9.64323	-0.0253073	0.0289725	0.0320966	0.0326946	0.000597995	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.78467	0.372762	-0.107229	70	-3	1700	9	0.121638	-0.00717824	-0.0861048	0.00243486	-0.000143519	-0.00172249	-2.66466	-0.0871511	0.107229	0.0302666	0.126943	0.0661017	0.0302666	0.126943	0.0661017	0.0302666	0.126943	0.0661017	0.154178	0.126253	-0.0170053	-0.0221993	0.176377	0.054789	0.0714645	-0.0170053	-0	-0.34335	-0.30411	-9.65304	-0.0258309	0.029147	0.0320966	0.0326946	0.000597995	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.79357	0.372471	-0.108262	68	56	1800	3	0.124016	0.0625616	-0.0883634	0.00353822	0.000413091	-0.00250866	-2.66367	-0.086643	0.108262	0.0302666	0.0569432	0.0661017	0.0302666	0.0569432	0.0661017	0.0302666	0.0554143	0.0661017	0.154343	0.12603	-0.017169	-0.0221178	0.176461	0.0547721	0.0712574	-0.017169	-0	-0.34335	-0.30411	-9.65304	-0.0258309	0.029147	0.0317704	0.0325163	0.000745881	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.79478	0.372471	-0.108262	68	56	1900	3	0.12397	0.0625597	-0.0884283	0.00368785	0.000488601	-0.0026154	-2.66367	-0.086643	0.108262	0.0302666	0.0569432	0.0661017	0.0302666	0.0569432	0.0661017	0.0302666	0.0554143	0.0661017	0.154343	0.12603	-0.017169	-0.0221178	0.176461	0.0547721	0.0712574	-0.017169	-0	-0.33354	-0.33354	-9.67266	-0.0263545	0.029147	0.0317704	0.0325163	0.000745881	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.80473	0.372471	-0.108262	68	56	2000	3	0.12394	0.0625584	-0.0884716	0.00492106	0.00111106	-0.00349569	-2.66367	-0.086643	0.108262	0.0302666	0.0569432	0.0661017	0.0302666	0.0569432	0.0661017	0.0302666	0.0554143	0.0661017	0.154343	0.12603	-0.017169	-0.0221178	0.176461	0.0547721	0.0712574	-0.017169	-0	-0.33354	-0.34335	-9.64323	-0.0267035	0.029147	0.0317704	0.0325163	0.000745881	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.81468	0.372471	-0.108262	68	56	2100	3	0.123925	0.0625424	-0.0885041	0.00615411	0.00173335	-0.0043763	-2.66367	-0.086643	0.108262	0.0302666	0.0569432	0.0661017	0.0302666	0.0569432	0.0661017	0.0302666	0.0554143	0.0661017	0.154343	0.12603	-0.017169	-0.0221178	0.176461	0.0547721	0.0712574	-0.017169	-0	-0.34335	-0.32373	-9.63342	-0.0268781	0.0293215	0.0317704	0.0325163	0.000745881	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.8221	0.370262	-0.108262	65	89	2200	0	0.127488	0.1018	-0.0197048	0.00710058	0.00248912	-0.00452259	-2.66218	-0.0852449	0.108262	0.0302666	0.01907	-0.00389827	0.0302666	0.01907	-0.00389827	0.0302666	0.01907	-0.0331766	0.15484	0.125417	-0.0171779	-0.0218736	0.176714	0.0545254	0.0708913	-0.0171779	-0	-0.34335	-0.32373	-9.63342	-0.0268781	0.0293215	0.0317865	0.0320098	0.000223283	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.82472	0.370262	-0.108262	64	89	2300	0	0.127482	0.101799	-0.0197493	0.00743471	0.00275593	-0.00457436	-2.66218	-0.0852449	0.108262	0.0302666	0.01907	-0.00389827	0.0302666	0.01907	-0.00389827	0.0302666	0.01907	-0.0331766	0.15484	0.125417	-0.0171779	-0.0218736	0.176714	0.0545254	0.0708913	-0.0171779	-0	-0.36297	-0.31392	-9.6138	-0.0272271	0.0293215	0.0317865	0.0320098	0.000223283	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.8348	0.370262	-0.108262	64	89	2400	0	0.127482	0.101795	-0.0197671	0.00871883	0.00378131	-0.00477347	-2.66218	-0.0852449	0.108262	0.0302666	0.01907	-0.00389827	0.0302666	0.01907	-0.00389827	0.0302666	0.01907	-0.0331766	0.15484	0.125417	-0.0171779	-0.0218736	0.176714	0.0545254	0.0708913	-0.0171779	-0	-0.40221	-0.30411	-9.58437	-0.0272271	0.0294961	0.0317865	0.0320098	0.000223283	-850	850	-500	1700	-20	20	-10	-10	10	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
