time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	kpvxMod	kpvyMod	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.95166	1.1127	-0.442178	50	-50	1450	50	-0.645957	-0.0610574	-0.0866376	-0.00299272	-0.000282879	-0.000401392	-2.46578	-0.472442	0.442178	0.538369	0.219414	0.0287772	0.556943	0.133792	-0.0270618	1.02453	0.18535	-0.0938585	-0.107588	0.158357	-0.0578604	-0.12615	0.0391855	0.0363349	0.136047	-0.0521689	-0	-549.063	51.8988	0.90252	0.07848	-8.6328	0.0919789	-0.0282743	-0.157057	0.189305	0.339478	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.95702	1.1127	-0.442178	100	-52	1500	100	-0.65034	-0.0614753	-0.0861655	-0.00648114	-0.000612633	-0.000863584	-2.46578	-0.472442	0.442178	0.542686	0.21996	0.0287772	0.556943	0.133792	-0.0270618	1.02453	0.18535	-0.0938585	-0.107653	0.158484	-0.0573884	-0.12615	0.0391855	0.0363349	0.136047	-0.0521689	-0	-552.789	52.254	0.93195	0.11772	-8.5347	0.0909317	-0.0305433	-0.157057	0.189305	0.339478	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.96712	1.1127	-0.442178	150	-52	1550	150	-0.655077	-0.0622592	-0.0854627	-0.0130961	-0.00124133	-0.00172659	-2.46578	-0.472442	0.442178	0.54737	0.22096	0.0287772	0.556943	0.133792	-0.0270618	1.02453	0.18535	-0.0938585	-0.107708	0.1587	-0.0566855	-0.12615	0.0391855	0.0363349	0.136047	-0.0521689	-0	-556.816	52.9203	0.87309	0.18639	-8.47584	0.090059	-0.034383	-0.157057	0.189305	0.339478	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.97701	1.1127	-0.442178	200	-54	1600	200	-0.662716	-0.0643525	-0.0846399	-0.0196504	-0.00187777	-0.00256367	-2.46578	-0.472442	0.442178	0.554997	0.223337	0.0287772	0.556943	0.133792	-0.0270618	1.02453	0.18535	-0.0938585	-0.107719	0.158985	-0.0558627	-0.12615	0.0391855	0.0363349	0.136047	-0.0521689	-0	-563.309	54.6996	0.75537	0.23544	-8.49546	0.0898845	-0.0394444	-0.157057	0.189305	0.339478	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.98502	1.132	-0.445267	250	-95	1650	250	-0.679807	-0.111773	-0.161243	-0.0250936	-0.00277274	-0.00385475	-2.43205	-0.468134	0.445267	0.588122	0.281132	0.107288	0.626943	0.203792	0.0429382	1.02453	0.223377	0.108354	-0.0916854	0.169359	-0.0539555	-0.123797	0.0500598	0.047223	0.131233	-0.0521174	-0	-577.836	95.0069	0	0	0	0.0898845	-0.0394444	-0.133024	0.190159	0.317586	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.98704	1.132	-0.445267	300	-96	1700	300	-0.685059	-0.113747	-0.160549	-0.0264815	-0.00300319	-0.00418002	-2.43205	-0.468134	0.445267	0.593384	0.283332	0.107288	0.626943	0.203792	0.0429382	1.02453	0.223377	0.108354	-0.0916748	0.169585	-0.0532616	-0.123797	0.0500598	0.047223	0.131233	-0.0521174	-0	-582.3	96.6849	0.65727	0.27468	-8.5347	0.090059	-0.0436332	-0.133024	0.190159	0.317586	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.99705	1.132	-0.445267	350	-97	1750	350	-0.686331	-0.114212	-0.160194	-0.0333476	-0.00414577	-0.0057826	-2.43205	-0.468134	0.445267	0.594656	0.283908	0.107288	0.626943	0.203792	0.0429382	1.02453	0.223377	0.108354	-0.0916748	0.169696	-0.0529063	-0.123797	0.0500598	0.047223	0.131233	-0.0521174	-0	-583.382	97.0804	0.62784	0.28449	-8.56413	0.090059	-0.0457276	-0.133024	0.190159	0.317586	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.00701	1.132	-0.445267	400	-99	1800	357	-0.692535	-0.11726	-0.15954	-0.0402473	-0.00531402	-0.0073721	-2.43205	-0.468134	0.445267	0.600839	0.287147	0.107288	0.626943	0.203792	0.0429382	1.02453	0.223377	0.108354	-0.091696	0.169887	-0.052252	-0.123797	0.0500598	0.047223	0.131233	-0.0521174	-0	-588.655	99.6706	0.61803	0.32373	-8.67204	0.0897099	-0.0493928	-0.133024	0.190159	0.317586	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.0114	1.13854	-0.446557	450	-88	1850	407	-0.59008	-0.104473	-0.100865	-0.0428378	-0.00577266	-0.00781489	-2.41471	-0.457071	0.446557	0.524596	0.28691	0.0515856	0.556943	0.223377	-0.00979145	0.458653	0.223377	-0.00979145	-0.0654848	0.182437	-0.0492793	-0.116183	0.0680099	0.0645265	0.122455	-0.0521257	-0	-501.568	88.8021	0	0	0	0.0897099	-0.0493928	-0.121262	0.187073	0.303473	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.01703	1.13854	-0.446557	500	-90	1900	412	-0.592867	-0.105802	-0.100321	-0.0461786	-0.00636886	-0.0083802	-2.41471	-0.457071	0.446557	0.527352	0.288374	0.0515856	0.556943	0.223377	-0.00979145	0.458653	0.223377	-0.00979145	-0.0655153	0.182572	-0.0487354	-0.116183	0.0680099	0.0645265	0.122455	-0.0521257	-0	-503.937	89.9318	0.62784	0.33354	-8.75052	0.0891863	-0.0521853	-0.121262	0.187073	0.303473	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.02706	1.13854	-0.446557	550	-91	1950	412	-0.596506	-0.107616	-0.0997286	-0.0521574	-0.00744749	-0.00937978	-2.41471	-0.457071	0.446557	0.53089	0.290309	0.0515856	0.556943	0.223377	-0.00979145	0.458653	0.223377	-0.00979145	-0.0656168	0.182693	-0.048143	-0.116183	0.0680099	0.0645265	0.122455	-0.0521257	-0	-507.03	91.4738	0.62784	0.34335	-8.84862	0.087441	-0.0548033	-0.121262	0.187073	0.303473	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.037	1.13854	-0.446557	600	-94	2000	412	-0.602565	-0.111109	-0.0994686	-0.0581487	-0.00855226	-0.0103688	-2.41471	-0.457071	0.446557	0.536888	0.293849	0.0515856	0.556943	0.223377	-0.00979145	0.458653	0.223377	-0.00979145	-0.0656775	0.182739	-0.047883	-0.116183	0.0680099	0.0645265	0.122455	-0.0521257	-0	-512.18	94.4431	0.59841	0.35316	-8.88786	0.0863938	-0.0558505	-0.121262	0.187073	0.303473	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.04701	1.13854	-0.446557	650	-97	2050	412	-0.607614	-0.114744	-0.0989548	-0.0642297	-0.00970061	-0.0113591	-2.41471	-0.457071	0.446557	0.541765	0.297555	0.0515856	0.556943	0.223377	-0.00979145	0.458653	0.223377	-0.00979145	-0.0658494	0.182811	-0.0473692	-0.116183	0.0680099	0.0645265	0.122455	-0.0521257	-0	-516.472	97.5324	0.4905	0.37278	-8.96634	0.0834267	-0.0575959	-0.121262	0.187073	0.303473	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.04742	1.14437	-0.446557	611	-134	2100	395	-0.50934	-0.157489	-0.0941771	-0.064441	-0.00976597	-0.0113982	-2.4026	-0.456292	0.446557	0.450921	0.343036	0.0477064	0.486943	0.293377	-0.00979145	0.458653	0.297648	-0.00979145	-0.0584191	0.185547	-0.0464706	-0.114323	0.071838	0.0685079	0.11988	-0.0520078	-0	-432.939	133.866	0	0	0	0.0834267	-0.0575959	-0.110341	0.187681	0.29363	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.05698	1.14437	-0.446557	611	-134	2150	395	-0.509671	-0.157641	-0.093852	-0.0693114	-0.0112724	-0.0122951	-2.4026	-0.456292	0.446557	0.451092	0.343219	0.0477064	0.486943	0.293377	-0.00979145	0.458653	0.297648	-0.00979145	-0.0585782	0.185578	-0.0461456	-0.114323	0.071838	0.0685079	0.11988	-0.0520078	-0	-433.22	133.995	0.41202	0.44145	-9.0252	0.0806342	-0.0584685	-0.110341	0.187681	0.29363	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.0671	1.14437	-0.446557	614	-138	2200	395	-0.513352	-0.162218	-0.0936323	-0.0745086	-0.0129147	-0.013243	-2.4026	-0.456292	0.446557	0.454655	0.347813	0.0477064	0.486943	0.293377	-0.00979145	0.458653	0.297648	-0.00979145	-0.0586973	0.185595	-0.0459258	-0.114323	0.071838	0.0685079	0.11988	-0.0520078	-0	-436.349	137.885	0.37278	0.48069	-9.05463	0.0785398	-0.0589921	-0.110341	0.187681	0.29363	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
