time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
7,97759;0,174455;-0,120512;33;-50;1450;33;0,168845;-0,0847286;-0,01577;0,000640597;-0,00032146;-5,98313e-05;-1,9418;-0,0940114;0,120512;0,013781;0,00927646;-0,0151292;0,0144478;0,00986765;-0,0140979;0,0144478;0,00986765;-0,0140979;0,182626;-0,0754522;-0,0308992;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;1,73527e-313;2,93289e-314;2,66739e-312;-0,0651008;0,0109956;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,97895;0,174455;-0,120512;33;-72;1500;33;0,168845;-0,084734;-0,0157568;0,000870226;-0,000436699;-8,12605e-05;-1,9418;-0,0940114;0,120512;0,013781;0,00927646;-0,0151292;0,0144478;0,00986765;-0,0140979;0,0144478;0,00986765;-0,0140979;0,182626;-0,0754576;-0,030886;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;0,640161;0,109915;9,84034;-0,0651008;0,0111701;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,98899;0,174455;-0,120512;33;-72;1550;33;0,168845;-0,084734;-0,0157568;0,00256661;-0,00128802;-0,000239569;-1,9418;-0,0940114;0,120512;0,013781;0,00927646;-0,0151292;0,0144478;0,00986765;-0,0140979;0,0144478;0,00986765;-0,0140979;0,182626;-0,0754576;-0,030886;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;0,64016;0,109915;9,84031;-0,0651008;0,0111701;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,99913;0,174455;-0,120512;33;-72;1600;33;0,168845;-0,0847286;-0,01577;0,00427752;-0,00214658;-0,000399366;-1,9418;-0,0940114;0,120512;0,013781;0,00927646;-0,0151292;0,0144478;0,00986765;-0,0140979;0,0144478;0,00986765;-0,0140979;0,182626;-0,0754522;-0,0308992;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;0,64016;0,108198;9,84032;-0,0651008;0,0109956;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,00891;0,174455;-0,120512;33;-72;1650;33;0,16885;-0,0847337;-0,0157249;0,00592921;-0,00297544;-0,000553188;-1,9418;-0,0940114;0,120512;0,013781;0,00927646;-0,0151292;0,0144478;0,00986765;-0,0140979;0,0144478;0,00986765;-0,0140979;0,182631;-0,0754572;-0,0308541;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;0,638448;0,109915;9,84035;-0,0649262;0,0111701;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,01777;0,174455;-0,120512;33;-72;1700;33;0,168977;-0,0847088;-0,0137373;0,00742601;-0,00372579;-0,000674872;-1,9418;-0,0940114;0,120512;0,0136544;0,00925163;-0,0171169;0,0144478;0,00986765;-0,0160907;0,0144478;0,00986765;-0,0160907;0,182631;-0,0754572;-0,0308541;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;0,638443;0,109915;9,84027;-0,0649262;0,0111701;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,01891;0,174455;-0,120512;33;-72;1750;33;0,168977;-0,0847088;-0,0137373;0,00761915;-0,00382261;-0,000690574;-1,9418;-0,0940114;0,120512;0,0136544;0,00925163;-0,0171169;0,0144478;0,00986765;-0,0160907;0,0144478;0,00986765;-0,0160907;0,182631;-0,0754572;-0,0308541;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;0,638195;0,109872;9,83645;-0,0649262;0,0111701;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,02889;0,174455;-0,120512;33;-72;1800;33;0,168983;-0,0847139;-0,0136922;0,00930526;-0,00466789;-0,000827195;-1,9418;-0,0940114;0,120512;0,0136544;0,00925163;-0,0171169;0,0144478;0,00986765;-0,0160907;0,0144478;0,00986765;-0,0160907;0,182637;-0,0754622;-0,0308091;0,0137819;0,172632;0,0250971;-0,0947999;-0,019779;0;0,636482;0,111589;9,83645;-0,0647517;0,0113446;0,0291577;0,0483768;0,0192179;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,03814;0,174393;-0,118941;32;-72;1850;33;0,170062;-0,0850551;0,00619344;0,0108782;-0,00545456;-0,000769912;-1,94138;-0,0940003;0,118941;0,0123856;0,00902617;-0,036728;0,0144478;0,00986765;-0,035745;0,0144478;0,00986765;-0,035745;0,182448;-0,0760289;-0,0305345;0,0138539;0,172371;0,0250503;-0,0953286;-0,0195237;0;0,636477;0,111588;9,83637;-0,0647517;0,0113446;0,0291577;0,0483816;0,0192227;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,03894;0,174393;-0,118941;32;-72;1900;33;0,170062;-0,0850604;0,00620671;0,0110144;-0,0055227;-0,00076494;-1,94138;-0,0940003;0,118941;0,0123856;0,00902617;-0,036728;0,0144478;0,00986765;-0,035745;0,0144478;0,00986765;-0,035745;0,182448;-0,0760342;-0,0305213;0,0138539;0,172371;0,0250503;-0,0953286;-0,0195237;0;0,634002;0,112864;9,79812;-0,0647517;0,0115192;0,0291577;0,0483816;0,0192227;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,04894;0,174393;-0,118941;32;-72;1950;33;0,170062;-0,0850604;0,00620671;0,0127147;-0,00637313;-0,000702886;-1,94138;-0,0940003;0,118941;0,0123856;0,00902617;-0,036728;0,0144478;0,00986765;-0,035745;0,0144478;0,00986765;-0,035745;0,182448;-0,0760342;-0,0305213;0,0138539;0,172371;0,0250503;-0,0953286;-0,0195237;0;0,634;0,112863;9,79809;-0,0647517;0,0115192;0,0291577;0,0483816;0,0192227;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,059;0,174393;-0,118941;32;-72;2000;33;0,170062;-0,0850604;0,00620671;0,0144269;-0,00722952;-0,000640397;-1,94138;-0,0940003;0,118941;0,0123856;0,00902617;-0,036728;0,0144478;0,00986765;-0,035745;0,0144478;0,00986765;-0,035745;0,182448;-0,0760342;-0,0305213;0,0138539;0,172371;0,0250503;-0,0953286;-0,0195237;0;0,634;0,112863;9,79809;-0,0647517;0,0115192;0,0291577;0,0483816;0,0192227;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,06888;0,174393;-0,118941;32;-72;2050;33;0,170068;-0,0850547;0,00622528;0,0161066;-0,0080696;-0,000578909;-1,94138;-0,0940003;0,118941;0,0123856;0,00902617;-0,036728;0,0144478;0,00986765;-0,035745;0,0144478;0,00986765;-0,035745;0,182453;-0,0760285;-0,0305027;0,0138539;0,172371;0,0250503;-0,0953286;-0,0195237;0;0,632293;0,111153;9,79809;-0,0645772;0,0113446;0,0291577;0,0483816;0,0192227;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,07889;0,174393;-0,118941;32;-72;2100;33;0,170073;-0,085049;0,00624385;0,0178094;-0,00892112;-0,000516396;-1,94138;-0,0940003;0,118941;0,0123856;0,00902617;-0,036728;0,0144478;0,00986765;-0,035745;0,0144478;0,00986765;-0,035745;0,182459;-0,0760229;-0,0304841;0,0138539;0,172371;0,0250503;-0,0953286;-0,0195237;0;0,630584;0,109443;9,79805;-0,0644026;0,0111701;0,0291577;0,0483816;0,0192227;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
8,07957;0,17439;-0,117505;23;-60;2150;30;0,180147;-0,0714907;0,0056699;0,0179319;-0,00896973;-0,00051254;-1,94136;-0,0940003;0,117505;0,00229187;-0,00467566;-0,0359171;0,00472702;-0,00413537;-0,035745;0,00472702;-0,00413537;-0,035745;0,182438;-0,0761663;-0,0302472;0,0138589;0,172377;0,0250507;-0,0953648;-0,0192902;0;0,630582;0,109443;9,79801;-0,0644026;0,0111701;0,0297555;0,0483821;0,0186255;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
