time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	ex	ey	ez	dex	dey	dez	cumulx	cumuly	cumulz	x	y	z	xp	yp	zp	xgoal	ygoal	zgoal	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpx	kpy	kpz	kix	kiy	kiz	kdx	kdy	kdz	ktg	dist	step	pitchoff	ke1	ke2	gravity
0.13108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.157706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.40037	-0.370715	-0.667502	0	0	0	0	0	0	0	-0.07	-0.07	0	0	0	0	0	0	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.192134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.40239	-0.514899	-0.675059	0	0	0	0	0	0	-0.0605724	-0.139122	-0.14	0	0	0	0	0	0.014742	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.226177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.40239	-0.514899	-0.675059	0	0	0	0	0	0	-0.0595405	-0.0691298	-0.21	0	0	0	0	0	0.014742	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.258211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.4578	-0.0835472	-0.551935	0	0	0	0	0	0	-0.128041	-0.0110326	-0.28	0	0	0	0	0	-0.0859528	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.287358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.4578	-0.0138247	-0.42157	0	0	0	0	0	0	-0.195164	0.0474839	-0.21	0	0	0	0	0	-0.117311	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.322677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.45935	-0.0675832	-0.454696	0	0	0	0	0	0	-0.187468	-0.0173071	-0.28	0	0	0	0	0	-0.0920592	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.360476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.45077	-0.0675832	-0.454696	0	0	0	0	0	0	-0.111329	-0.0805756	-0.35	0	0	0	0	0	-0.0920592	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.389268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.41299	-0.0744932	-0.662807	0	0	0	0	0	0	-0.174709	-0.156591	-0.42	0	0	0	0	0	-0.0913525	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.422004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.3797	-0.0744932	-0.71112	0	0	0	0	0	0	-0.111386	-0.0804969	-0.49	0	0	0	0	0	-0.0913525	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.456654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.41299	0.212554	-0.71112	0	0	0	0	0	0	-0.185811	-0.0302991	-0.56	0	0	0	0	0	-0.161641	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.493191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.41322	0.212554	-0.646291	0	0	0	0	0	0	-0.105458	-0.0881209	-0.63	0	0	0	0	0	-0.161641	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.521921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.41322	0.212554	-0.646291	0	0	0	0	0	0	-0.0251047	-0.145943	-0.7	0	0	0	0	0	-0.161641	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.552918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.41322	0.0617173	-0.646291	0	0	0	0	0	0	0.0529257	-0.20438	-0.77	0	0	0	0	0	-0.150259	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.589319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.35068	0.106763	-0.930618	0	0	0	0	0	0	0.111658	-0.12469	-0.84	0	0	0	0	0	-0.150259	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.619307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.38737	0.0617173	-0.564764	0	0	0	0	0	0	0.0499018	-0.205139	-0.77	0	0	0	0	0	-0.135492	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.654799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.38737	0.106763	-0.612673	0	0	0	0	0	0	-0.028912	-0.145236	-0.84	0	0	0	0	0	-0.135492	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.682426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.40323	-0.203917	-0.564764	0	0	0	0	0	0	-0.101059	-0.218801	-0.77	0	0	0	0	0	-0.0802102	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.721158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.4142	-0.157839	-0.612673	0	0	0	0	0	0	-0.174784	-0.156507	-0.84	0	0	0	0	0	-0.0908704	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.74956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.4142	-0.203917	-0.665155	0	0	0	0	0	0	-0.101059	-0.218801	-0.91	0	0	0	0	0	-0.0802102	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.785205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.37134	-0.419328	-0.665155	0	0	0	0	0	0	-0.0376417	-0.281625	-0.98	0	0	0	0	0	-0.0378269	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.814213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.35799	-0.419328	-0.136251	0	0	0	0	0	0	0.0349555	-0.348928	-1.05	0	0	0	0	0	-0.0378269	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.853923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.34791	-0.395639	-0.0792024	0	0	0	0	0	0	0.106106	-0.416601	-0.98	0	0	0	0	0	-0.0343538	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.883433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.34666	-0.395639	-0.0737033	0	0	0	0	0	0	0.178469	-0.484156	-0.91	0	0	0	0	0	-0.0343538	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.915291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32546	-0.479169	-0.0737033	0	0	0	0	0	0	0.241427	-0.55589	-0.84	0	0	0	0	0	-0.0173703	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.94841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32511	-0.555168	-0.0737887	0	0	0	0	0	0	0.161794	-0.629985	-0.77	0	0	0	0	0	-9.35114e-05	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.986626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32055	-0.555168	-0.0737887	0	0	0	0	0	0	0.0975821	-0.559991	-0.7	0	0	0	0	0	-9.35114e-05	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
