time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;xpred;ypred;zpred;dxpred;dypred;dzpred;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
6,33369;-3,39365;-0,140703;-50;50;1450;-50;0,195697;0,100917;-0,153573;0,000403723;0,000208193;-0,000316821;-3,72844;0,0232321;0,140703;0,0144643;-0,0362838;0,146183;0,0186098;-0,0430772;0,143851;0,0186098;-0,0430772;-0,0447686;-3,72732;0,0206475;0,138017;0,0186098;-0,0430772;-0,0447686;0,081171;0,081171;3,71882;0,210162;0,0646336;-0,00739008;0,207238;0,000984958;-0,0027855;0,0732797;-0,00859297;-0;-5,6186e-314;1,32758e-313;2,66071e-312;0,0211185;0,0499164;0,0266442;-0,00623097;-0,0328692;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,3396;-3,3965;-0,140703;-100;100;1500;-57;0,246781;0,0975093;-0,0822114;0,00186023;0,000783692;-0,000802032;-3,72913;0,0231516;0,140703;-0,0366038;-0,0329258;0,0748306;-0,034063;-0,0375404;0,0738512;-0,034063;-0,0375404;-0,0447686;-3,73117;0,0208985;0,138016;-0,034063;-0,0375404;-0,0447686;0,16794;0,16794;3,84706;0,210177;0,0645835;-0,00738084;0,207258;0,000980425;-0,00277501;0,0732252;-0,00858658;-0;-0,213395;0,504217;10,1054;0,0211185;0,0499164;0,0266737;-0,00620823;-0,032876;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,34169;-3,3965;-0,140703;-119;117;1550;-57;0,246781;0,0975093;-0,0822114;0,00237723;0,000987974;-0,000974265;-3,72913;0,0231516;0,140703;-0,0366038;-0,0329258;0,0748306;-0,034063;-0,0375404;0,0738512;-0,034063;-0,0375404;-0,0447686;-3,73117;0,0208985;0,138016;-0,034063;-0,0375404;-0,0447686;0,16794;0,16794;3,84706;0,210177;0,0645835;-0,00738084;0,207258;0,000980425;-0,00277501;0,0732252;-0,00858658;-0;-0,210497;0,497369;9,96817;0,0211185;0,0499164;0,0266737;-0,00620823;-0,032876;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,35167;-3,3965;-0,140703;-119;117;1600;-57;0,246781;0,0975093;-0,0822114;0,00483961;0,00196092;-0,00179457;-3,72913;0,0231516;0,140703;-0,0366038;-0,0329258;0,0748306;-0,034063;-0,0375404;0,0738512;-0,034063;-0,0375404;-0,0447686;-3,73117;0,0208985;0,138016;-0,034063;-0,0375404;-0,0447686;0,16794;0,16794;3,84706;0,210177;0,0645835;-0,00738084;0,207258;0,000980425;-0,00277501;0,0732252;-0,00858658;-0;-0,210497;0,497369;9,96817;0,0211185;0,0499164;0,0266737;-0,00620823;-0,032876;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,36165;-3,3965;-0,140703;-119;117;1650;-57;0,246782;0,0975111;-0,0821748;0,00730373;0,00293457;-0,00261509;-3,72913;0,0231516;0,140703;-0,0366038;-0,0329258;0,0748306;-0,034063;-0,0375404;0,0738512;-0,034063;-0,0375404;-0,0447686;-3,73117;0,0208985;0,138016;-0,034063;-0,0375404;-0,0447686;0,16794;0,16794;3,84706;0,210178;0,0645853;-0,0073442;0,207258;0,000980425;-0,00277501;0,0732252;-0,00858658;-0;-0,212237;0,49737;9,96821;0,021293;0,0499164;0,0266737;-0,00620823;-0,032876;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,37164;-3,3965;-0,140703;-119;117;1700;-57;0,246783;0,0975129;-0,0821381;0,00976909;0,00390872;-0,00343565;-3,72913;0,0231516;0,140703;-0,0366038;-0,0329258;0,0748306;-0,034063;-0,0375404;0,0738512;-0,034063;-0,0375404;-0,0447686;-3,73117;0,0208985;0,138016;-0,034063;-0,0375404;-0,0447686;0,16794;0,16794;3,84706;0,210179;0,0645871;-0,00730756;0,207258;0,000980425;-0,00277501;0,0732252;-0,00858658;-0;-0,213976;0,497369;9,96817;0,0214675;0,0499164;0,0266737;-0,00620823;-0,032876;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,37294;-3,39639;-0,146189;-69;73;1750;-55;0,197182;0,0608536;-0,0456237;0,0100246;0,00398759;-0,00349477;-3,7291;0,0232321;0,146189;0,0129917;0,00371139;0,0379821;0,0137538;0,00217881;0,0378323;0,0137538;0,00217881;0,0378323;-3,728;0,0234945;0,149021;0,0196037;0,00802872;0,174763;0,135192;0,143029;4,48824;0,210174;0,064565;-0,00764159;0,207244;0,000983817;-0,00278452;0,0732227;-0,00892111;-0;-0,213975;0,497367;9,96813;0,0214675;0,0499164;0,0266442;-0,00622986;-0,0328681;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,38161;-3,39639;-0,146189;-59;73;1800;-55;0,197182;0,0608522;-0,045635;0,0117344;0,00451524;-0,00389048;-3,7291;0,0232321;0,146189;0,0129917;0,00371139;0,0379821;0,0137538;0,00217881;0,0378323;0,0137538;0,00217881;0,0378323;-3,728;0,0234945;0,149021;0,0196037;0,00802872;0,174763;0,135192;0,143029;4,48824;0,210174;0,0645636;-0,00765285;0,207244;0,000983817;-0,00278452;0,0732227;-0,00892111;-0;-0,212467;0,495588;9,89789;0,0214675;0,0500909;0,0266442;-0,00622986;-0,0328681;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,39171;-3,39639;-0,146189;-59;73;1850;-55;0,197182;0,0608522;-0,045635;0,0137267;0,00513009;-0,00435157;-3,7291;0,0232321;0,146189;0,0129917;0,00371139;0,0379821;0,0137538;0,00217881;0,0378323;0,0137538;0,00217881;0,0378323;-3,728;0,0234945;0,149021;0,0196037;0,00802872;0,174763;0,135192;0,143029;4,48824;0,210174;0,0645636;-0,00765285;0,207244;0,000983817;-0,00278452;0,0732227;-0,00892111;-0;-0,212468;0,495589;9,89793;0,0214675;0,0500909;0,0266442;-0,00622986;-0,0328681;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
6,40162;-3,39639;-0,146189;-59;73;1900;-55;0,197183;0,0608541;-0,0455983;0,01568;0,00573291;-0,00480327;-3,7291;0,0232321;0,146189;0,0129917;0,00371139;0,0379821;0,0137538;0,00217881;0,0378323;0,0137538;0,00217881;0,0378323;-3,728;0,0234945;0,149021;0,0196037;0,00802872;0,174763;0,135192;0,143029;4,48824;0,210174;0,0645655;-0,00761622;0,207244;0,000983817;-0,00278452;0,0732227;-0,00892111;-0;-0,214195;0,49559;9,89795;0,0216421;0,0500909;0,0266442;-0,00622986;-0,0328681;-1200;1200;-500;1700;-0;0;-10;-0;0;-0;250;1,2;0,22;177;-1,2;-1;2550;0,07
