time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	xpred	ypred	zpred	dxpred	dypred	dzpred	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.34407	0.113531	-0.0375797	50	-50	1450	50	-0.113022	-0.212859	0.0269775	-0.000858062	-0.00161602	0.000204813	-1.80391	-0.164136	0.0375797	0.00180522	0.0466408	-0.0254161	0.00380919	0.046848	-0.0248063	0.00380919	0.046848	-0.0248063	-1.80368	-0.161324	0.0360907	0.00380919	0.046848	-0.0248063	-0.081171	-0.081171	6.09118	-0.111217	-0.166218	0.00156143	0.014438	-0.127741	-0.0120854	-0.152607	-0.00623242	0	9.15947e-314	1.68733e-314	9.81	-0.0549779	0.0101229	-0.0136631	0.090739	0.104213	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.3466	0.113531	-0.0375797	100	-100	1500	100	-0.113022	-0.212859	0.0270065	-0.00114367	-0.00215392	0.000273059	-1.80391	-0.164136	0.0375797	0.00180522	0.0466408	-0.0254161	0.00380919	0.046848	-0.0248063	0.00380919	0.046848	-0.0248063	-1.80368	-0.161324	0.0360907	0.00380919	0.046848	-0.0248063	-0.081171	-0.081171	6.09118	-0.111217	-0.166218	0.00159044	0.014438	-0.127741	-0.0120854	-0.152607	-0.00623242	0	0.335131	0.0628011	3.71119	-0.0549779	0.0102974	-0.0136631	0.090739	0.104213	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.35	0.11339	-0.0377555	150	-150	1550	150	-0.119476	-0.213562	-0.0133393	-0.00155084	-0.00288174	0.000227598	-1.80338	-0.163858	0.0377555	0.0086033	0.0471142	0.014884	0.00838818	0.046848	0.0158179	0.00838818	0.046848	0.0158179	-1.80279	-0.160578	0.0388629	0.00838818	0.046848	0.0158179	-0.260307	-0.260307	5.83471	-0.110873	-0.166448	0.00154465	0.0144463	-0.127411	-0.0120393	-0.152884	-0.0062616	0	0.335129	0.0628007	3.71122	-0.0549779	0.0102974	-0.0136953	0.0906129	0.104119	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.35646	0.11339	-0.0377555	200	-200	1600	182	-0.119476	-0.213562	-0.0132909	-0.00232242	-0.00426092	0.000141766	-1.80338	-0.163858	0.0377555	0.0086033	0.0471142	0.014884	0.00838818	0.046848	0.0158179	0.00838818	0.046848	0.0158179	-1.80279	-0.160578	0.0388629	0.00838818	0.046848	0.0158179	-0.260307	-0.260307	5.83471	-0.110873	-0.166447	0.00159305	0.0144463	-0.127411	-0.0120393	-0.152884	-0.0062616	0	0.338865	0.064373	3.66272	-0.0551524	0.010472	-0.0136953	0.0906129	0.104119	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.36661	0.11339	-0.0377555	250	-250	1650	182	-0.119476	-0.213561	-0.0132522	-0.00353486	-0.00642814	7.28213e-06	-1.80338	-0.163858	0.0377555	0.0086033	0.0471142	0.014884	0.00838818	0.046848	0.0158179	0.00838818	0.046848	0.0158179	-1.80279	-0.160578	0.0388629	0.00838818	0.046848	0.0158179	-0.260307	-0.260307	5.83471	-0.110873	-0.166447	0.00163175	0.0144463	-0.127411	-0.0120393	-0.152884	-0.0062616	0	0.341005	0.0643724	3.66277	-0.0555015	0.010472	-0.0136953	0.0906129	0.104119	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.37642	0.11339	-0.0377555	300	-256	1700	182	-0.119476	-0.213561	-0.0132329	-0.00470739	-0.00852403	-0.000122585	-1.80338	-0.163858	0.0377555	0.0086033	0.0471142	0.014884	0.00838818	0.046848	0.0158179	0.00838818	0.046848	0.0158179	-1.80279	-0.160578	0.0388629	0.00838818	0.046848	0.0158179	-0.260307	-0.260307	5.83471	-0.110873	-0.166447	0.0016511	0.0144463	-0.127411	-0.0120393	-0.152884	-0.0062616	0	0.342074	0.064372	3.66282	-0.055676	0.010472	-0.0136953	0.0906129	0.104119	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.38421	0.113274	-0.0377555	321	-206	1750	170	-0.120358	-0.143631	-0.0139025	-0.00564426	-0.00964205	-0.000230802	-1.80314	-0.163858	0.0377555	0.00957119	-0.0228734	0.0155493	0.00838818	-0.023152	0.0158179	0.00838818	-0.0423708	0.0158179	-1.80265	-0.16693	0.0387651	0.00269485	-0.0480642	0.226589	-0.628935	-0.403616	5.32176	-0.110786	-0.166504	0.00164684	0.014439	-0.127318	-0.0120182	-0.152964	-0.00626166	0	0.342073	0.0643717	3.66284	-0.055676	0.010472	-0.0136953	0.0906252	0.104131	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.38648	0.113274	-0.0377555	321	-172	1800	170	-0.120358	-0.143631	-0.0138734	-0.00591783	-0.00996852	-0.000262337	-1.80314	-0.163858	0.0377555	0.00957119	-0.0228734	0.0155493	0.00838818	-0.023152	0.0158179	0.00838818	-0.0423708	0.0158179	-1.80265	-0.16693	0.0387651	0.00269485	-0.0480642	0.226589	-0.628935	-0.403616	5.32176	-0.110786	-0.166504	0.0016759	0.014439	-0.127318	-0.0120182	-0.152964	-0.00626166	0	0.342118	0.0654532	3.66203	-0.055676	0.0106465	-0.0136953	0.0906252	0.104131	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.39644	0.113274	-0.0377555	321	-172	1850	170	-0.120358	-0.14363	-0.0138541	-0.00711672	-0.0113992	-0.000400337	-1.80314	-0.163858	0.0377555	0.00957119	-0.0228734	0.0155493	0.00838818	-0.023152	0.0158179	0.00838818	-0.0423708	0.0158179	-1.80265	-0.16693	0.0387651	0.00269485	-0.0480642	0.226589	-0.628935	-0.403616	5.32176	-0.110787	-0.166504	0.00169524	0.014439	-0.127318	-0.0120182	-0.152964	-0.00626166	0	0.343187	0.0654528	3.66206	-0.0558505	0.0106465	-0.0136953	0.0906252	0.104131	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.40646	0.113274	-0.0377555	321	-172	1900	170	-0.120358	-0.14363	-0.0138348	-0.00832258	-0.0128383	-0.000538948	-1.80314	-0.163858	0.0377555	0.00957119	-0.0228734	0.0155493	0.00838818	-0.023152	0.0158179	0.00838818	-0.0423708	0.0158179	-1.80265	-0.16693	0.0387651	0.00269485	-0.0480642	0.226589	-0.628935	-0.403616	5.32176	-0.110787	-0.166503	0.00171457	0.014439	-0.127318	-0.0120182	-0.152964	-0.00626166	0	0.344257	0.0654526	3.66208	-0.0560251	0.0106465	-0.0136953	0.0906252	0.104131	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
