time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.7402	0.155026	-0.170652	50	-50	1450	50	-0.134803	-0.139985	0.0252188	-0.00096465	-0.00100173	0.000180466	-1.87935	-0.1275	0.170652	0.00961887	-0.0149678	-0.0430643	0.0110583	-0.0134787	-0.0432103	0.0110583	-0.0134787	-0.0432103	-1.88223	-0.123995	0.170652	0.0110583	-0.0134787	-0.0432103	0.206069	-0.0811646	6.09118	-0.125184	-0.154953	-0.0178455	0.0174397	-0.142662	-0.0184302	-0.134995	-0.0279312	0	5.89597e-314	6.09919e-314	9.81	-0.0354302	0.0366519	-0.00617408	0.0677385	0.0738453	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.74305	0.155026	-0.170652	100	-100	1500	100	-0.134803	-0.139992	0.0252729	-0.00134911	-0.00140099	0.000252544	-1.87935	-0.1275	0.170652	0.00961887	-0.0149678	-0.0430643	0.0110583	-0.0134787	-0.0432103	0.0110583	-0.0134787	-0.0432103	-1.88223	-0.123995	0.170652	0.0110583	-0.0134787	-0.0432103	0.206069	-0.0811646	6.09118	-0.125184	-0.154959	-0.0177914	0.0174397	-0.142662	-0.0184302	-0.134995	-0.0279312	0	0.216112	0.225689	3.70907	-0.0354302	0.037001	-0.00617408	0.0677385	0.0738453	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.74522	0.151461	-0.17005	150	-143	1550	126	-0.142625	-0.119585	0.0248714	-0.00165775	-0.00165977	0.000306366	-1.8784	-0.137827	0.17005	0.0112314	-0.0301585	-0.0425491	0.0126843	-0.0286021	-0.0432103	0.0126843	-0.0286021	-0.0432103	-1.8817	-0.13039	0.17005	0.0126843	-0.0286021	-0.0432103	0.0468542	-0.247998	5.83471	-0.131394	-0.149743	-0.0176777	0.0164079	-0.147344	-0.0185973	-0.129997	-0.0278448	0	0.216109	0.225686	3.70914	-0.0354302	0.037001	-0.00300015	0.0732432	0.0761695	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.75308	0.151461	-0.17005	200	-143	1600	126	-0.14263	-0.119587	0.0249204	-0.00277953	-0.00260032	0.000502365	-1.8784	-0.137827	0.17005	0.0112314	-0.0301585	-0.0425491	0.0126843	-0.0286021	-0.0432103	0.0126843	-0.0286021	-0.0432103	-1.8817	-0.13039	0.17005	0.0126843	-0.0286021	-0.0432103	0.0468542	-0.247998	5.83471	-0.131398	-0.149746	-0.0176286	0.0164079	-0.147344	-0.0185973	-0.129997	-0.0278448	0	0.217191	0.226768	3.70866	-0.0356047	0.0371755	-0.00300015	0.0732432	0.0761695	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.76319	0.151461	-0.17005	250	-143	1650	126	-0.14263	-0.119587	0.0249204	-0.0042208	-0.00380875	0.000754186	-1.8784	-0.137827	0.17005	0.0112314	-0.0301585	-0.0425491	0.0126843	-0.0286021	-0.0432103	0.0126843	-0.0286021	-0.0432103	-1.8817	-0.13039	0.17005	0.0126843	-0.0286021	-0.0432103	0.0468542	-0.247998	5.83471	-0.131398	-0.149746	-0.0176286	0.0164079	-0.147344	-0.0185973	-0.129997	-0.0278448	0	0.217188	0.226766	3.70872	-0.0356047	0.0371755	-0.00300015	0.0732432	0.0761695	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.77305	0.151461	-0.17005	300	-143	1700	126	-0.14263	-0.11959	0.0249466	-0.00562713	-0.00498791	0.00100016	-1.8784	-0.137827	0.17005	0.0112314	-0.0301585	-0.0425491	0.0126843	-0.0286021	-0.0432103	0.0126843	-0.0286021	-0.0432103	-1.8817	-0.13039	0.17005	0.0126843	-0.0286021	-0.0432103	0.0468542	-0.247998	5.83471	-0.131398	-0.149749	-0.0176025	0.0164079	-0.147344	-0.0185973	-0.129997	-0.0278448	0	0.217188	0.22783	3.70873	-0.0356047	0.03735	-0.00300015	0.0732432	0.0761695	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.78002	0.151329	-0.169266	350	-139	1750	126	-0.149482	-0.11657	0.0307618	-0.00666946	-0.00580075	0.00121466	-1.87827	-0.138112	0.169266	0.0179842	-0.0331065	-0.0482376	0.0196388	-0.0313413	-0.0487687	0.0196388	-0.0313413	-0.0487687	-1.8817	-0.13039	0.169266	0.0126843	-0.0286021	-0.0487687	-0.338637	-0.272176	5.32176	-0.131497	-0.149676	-0.0174759	0.0163859	-0.147425	-0.0185915	-0.129936	-0.0277191	0	0.217187	0.227828	3.70876	-0.0356047	0.03735	-0.00300015	0.0733994	0.0763252	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.7831	0.151329	-0.169266	356	-139	1800	126	-0.149486	-0.116572	0.0308108	-0.00712973	-0.00615968	0.00130953	-1.87827	-0.138112	0.169266	0.0179842	-0.0331065	-0.0482376	0.0196388	-0.0313413	-0.0487687	0.0196388	-0.0313413	-0.0487687	-1.8817	-0.13039	0.169266	0.0126843	-0.0286021	-0.0487687	-0.338637	-0.272176	5.32176	-0.131501	-0.149679	-0.0174268	0.0163859	-0.147425	-0.0185915	-0.129936	-0.0277191	0	0.218001	0.22863	3.71576	-0.0357792	0.0375246	-0.00300015	0.0733994	0.0763252	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.79316	0.151329	-0.169266	356	-139	1850	126	-0.14949	-0.116577	0.030886	-0.00863449	-0.00733315	0.00162043	-1.87827	-0.138112	0.169266	0.0179842	-0.0331065	-0.0482376	0.0196388	-0.0313413	-0.0487687	0.0196388	-0.0313413	-0.0487687	-1.8817	-0.13039	0.169266	0.0126843	-0.0286021	-0.0487687	-0.338637	-0.272176	5.32176	-0.131505	-0.149684	-0.0173516	0.0163859	-0.147425	-0.0185915	-0.129936	-0.0277191	0	0.219062	0.230754	3.71582	-0.0359538	0.0378736	-0.00300015	0.0733994	0.0763252	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.80304	0.151329	-0.169266	356	-139	1900	126	-0.149494	-0.116579	0.0309351	-0.0101101	-0.0084839	0.00192579	-1.87827	-0.138112	0.169266	0.0179842	-0.0331065	-0.0482376	0.0196388	-0.0313413	-0.0487687	0.0196388	-0.0313413	-0.0487687	-1.8817	-0.13039	0.169266	0.0126843	-0.0286021	-0.0487687	-0.338637	-0.272176	5.32176	-0.131509	-0.149686	-0.0173026	0.0163859	-0.147425	-0.0185915	-0.129936	-0.0277191	0	0.220121	0.231813	3.71592	-0.0361283	0.0380482	-0.00300015	0.0733994	0.0763252	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
