time ;e1;;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
7,65991;0,0621609;0,005730084;-0,109791;50;-50;1450;50;-0,0410806;-0,160522;0,0039162;-0,000299313;-0,00116956;2,85E-05;-1,6945;-0,121944;0,109791;-0,0215002;-0,0288523;-0,018785;-0,0220257;-0,0282586;-0,0190764;-0,0220257;-0,0282586;-0,0190764;-1,68723;-0,112619;0,109791;-0,0220257;-0,0282586;-0,0190764;0,206069;-0,0811646;6,09118;-0,0625808;-0,189374;-0,0148688;0,00956919;-0,0737378;-0,00381968;-0,184731;-0,0181982;0;-2,90955e-314;3,89864e-314;9,81;0,0174533;0,0233874;-0,00667841;0,0718405;0,0784383;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,66268;0,0621609;0,075697321;-0,109791;100;-100;1500;100;-0,0410772;-0,160522;0,00390528;-0,000413179;-0,00161453;3,94E-05;-1,6945;-0,121944;0,109791;-0,0215002;-0,0288523;-0,018785;-0,0220257;-0,0282586;-0,0190764;-0,0220257;-0,0282586;-0,0190764;-1,68723;-0,112619;0,109791;-0,0220257;-0,0282586;-0,0190764;0,206069;-0,0811646;6,09118;-0,0625775;-0,189374;-0,0148797;0,00956919;-0,0737378;-0,00381968;-0,184731;-0,0181982;0;-0,107992;0,143271;3,68346;0,0176278;0,0233874;-0,00667841;0,0718405;0,0784383;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,67264;0,0621609;;-0,109791;150;-150;1550;130;-0,0410772;-0,160522;0,00390528;-0,000822391;-0,00321365;7,83E-05;-1,6945;-0,121944;0,109791;-0,0215002;-0,0288523;-0,018785;-0,0220257;-0,0282586;-0,0190764;-0,0220257;-0,0282586;-0,0190764;-1,68723;-0,112619;0,109791;-0,0220257;-0,0282586;-0,0190764;0,206069;-0,0811646;6,09118;-0,0625775;-0,189374;-0,0148797;0,00956919;-0,0737378;-0,00381968;-0,184731;-0,0181982;0;-0,107992;0,143271;3,68345;0,0176278;0,0233874;-0,00667841;0,0718405;0,0784383;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,67852;0,0621783;;-0,109369;200;-192;1600;131;-0,0424874;-0,160652;-0,00713756;-0,00107209;-0,0041578;3,63E-05;-1,6948;-0,12263;0,109369;-0,0205198;-0,0285848;-0,00768352;-0,020853;-0,0282586;-0,00798688;-0,020853;-0,0282586;-0,00798688;-1,68771;-0,113021;0,109369;-0,020853;-0,0282586;-0,00798688;-0,0412006;-0,343539;5,70647;-0,0630072;-0,189236;-0,0148211;0,00956346;-0,0741597;-0,00384261;-0,184568;-0,0181288;0;-0,107992;0,143271;3,68345;0,0176278;0,0233874;-0,00667841;0,0722304;0,078827;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,68268;0,0621783;;-0,109369;227;-192;1650;131;-0,0424874;-0,160654;-0,00710453;-0,00124888;-0,00482628;6,75E-06;-1,6948;-0,12263;0,109369;-0,0205198;-0,0285848;-0,00768352;-0,020853;-0,0282586;-0,00798688;-0,020853;-0,0282586;-0,00798688;-1,68771;-0,113021;0,109369;-0,020853;-0,0282586;-0,00798688;-0,0412006;-0,343539;5,70647;-0,0630072;-0,189239;-0,0147881;0,00956346;-0,0741597;-0,00384261;-0,184568;-0,0181288;0;-0,108226;0,144653;3,67017;0,0176278;0,0235619;-0,00667841;0,0722304;0,078827;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,69266;0,0621783;;-0,109369;227;-192;1700;131;-0,0424874;-0,160654;-0,00710453;-0,00167286;-0,00642945;-6,41E-05;-1,6948;-0,12263;0,109369;-0,0205198;-0,0285848;-0,00768352;-0,020853;-0,0282586;-0,00798688;-0,020853;-0,0282586;-0,00798688;-1,68771;-0,113021;0,109369;-0,020853;-0,0282586;-0,00798688;-0,0412006;-0,343539;5,70647;-0,0630072;-0,189239;-0,0147881;0,00956346;-0,0741597;-0,00384261;-0,184568;-0,0181288;0;-0,108226;0,144652;3,67021;0,0176278;0,0235619;-0,00667841;0,0722304;0,078827;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,70265;0,0621783;;-0,109369;227;-192;1750;131;-0,0424874;-0,160654;-0,00710453;-0,00209735;-0,00803455;-0,000135124;-1,6948;-0,12263;0,109369;-0,0205198;-0,0285848;-0,00768352;-0,020853;-0,0282586;-0,00798688;-0,020853;-0,0282586;-0,00798688;-1,68771;-0,113021;0,109369;-0,020853;-0,0282586;-0,00798688;-0,0412006;-0,343539;5,70647;-0,0630072;-0,189239;-0,0147881;0,00956346;-0,0741597;-0,00384261;-0,184568;-0,0181288;0;-0,108226;0,144652;3,67021;0,0176278;0,0235619;-0,00667841;0,0722304;0,078827;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,70467;0,0618553;;-0,109095;240;-195;1800;131;-0,0527701;-0,162667;-0,00719855;-0,00220379;-0,00836265;-0,000149643;-1,69391;-0,121509;0,109095;-0,00950519;-0,0268195;-0,00752592;-0,00982487;-0,0265698;-0,00798688;-0,00982487;-0,0265698;-0,00798688;-1,68843;-0,113624;0,109095;-0,0166254;-0,0238913;-0,00798688;-0,126947;-0,392505;5,19353;-0,0622753;-0,189486;-0,0147245;0,00952993;-0,0733933;-0,00378314;-0,184882;-0,0180839;0;-0,108226;0,144652;3,67021;0,0176278;0,0235619;-0,00666855;0,07161;0,0781986;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,71268;0,0618553;;-0,109095;240;-195;1850;131;-0,0527768;-0,162666;-0,00717682;-0,00262653;-0,0096656;-0,000207129;-1,69391;-0,121509;0,109095;-0,00950519;-0,0268195;-0,00752592;-0,00982487;-0,0265698;-0,00798688;-0,00982487;-0,0265698;-0,00798688;-1,68843;-0,113624;0,109095;-0,0166254;-0,0238913;-0,00798688;-0,126947;-0,392505;5,19353;-0,062282;-0,189486;-0,0147027;0,00952993;-0,0733933;-0,00378314;-0,184882;-0,0180839;0;-0,106085;0,144655;3,67009;0,0172788;0,0235619;-0,00666855;0,07161;0,0781986;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,72263;0,0618553;;-0,109095;240;-195;1900;131;-0,0527802;-0,162666;-0,00716595;-0,00315196;-0,0112849;-0,000278467;-1,69391;-0,121509;0,109095;-0,00950519;-0,0268195;-0,00752592;-0,00982487;-0,0265698;-0,00798688;-0,00982487;-0,0265698;-0,00798688;-1,68843;-0,113624;0,109095;-0,0166254;-0,0238913;-0,00798688;-0,126947;-0,392505;5,19353;-0,0622853;-0,189485;-0,0146919;0,00952993;-0,0733933;-0,00378314;-0,184882;-0,0180839;0;-0,105013;0,144654;3,67012;0,0171042;0,0235619;-0,00666855;0,07161;0,0781986;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
