time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
7,54085;0,62485;-0,00347415;-39;24;1450;50;0,200216;0,022261;0,0312652;0,000983061;0,000109301;0,000153512;-1,83922;-0,145477;0,00347415;-0,00262702;0,00672625;-0,042141;-0,000416576;0,00759385;-0,0420733;-0,000416576;0,00759385;-0,10922;-1,83909;-0,147907;-0,0314764;-0,000416576;0,00759385;-0,10922;0,349454;0,0388851;2,82845;0,197589;0,0289872;-0,0108758;0,0317746;0,166565;0,0867319;-0,0610219;-0,00051357;0;2,09306e-313;3,38326e-314;9,81;-0,0493928;0,0204204;-0,0176336;0,0789328;0,0964164;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,54391;0,62485;-0,00347415;-39;24;1500;100;0,200216;0,022261;0,0312652;0,00159712;0,000177576;0,000249403;-1,83922;-0,145477;0,00347415;-0,00262702;0,00672625;-0,042141;-0,000416576;0,00759385;-0,0420733;-0,000416576;0,00759385;-0,10922;-1,83909;-0,147907;-0,0314764;-0,000416576;0,00759385;-0,10922;0,349454;0,0388851;2,82845;0,197589;0,0289872;-0,0108758;0,0317746;0,166565;0,0867319;-0,0610219;-0,00051357;0;0,769774;0,124428;3,71627;-0,0493928;0,0204204;-0,0176336;0,0789328;0,0964164;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,55399;0,62485;-0,00347415;-39;24;1550;150;0,200216;0,0222629;0,0312703;0,0036155;0,000402007;0,000564638;-1,83922;-0,145477;0,00347415;-0,00262702;0,00672625;-0,042141;-0,000416576;0,00759385;-0,0420733;-0,000416576;0,00759385;-0,10922;-1,83909;-0,147907;-0,0314764;-0,000416576;0,00759385;-0,10922;0,349454;0,0388851;2,82845;0,197589;0,0289891;-0,0108707;0,0317746;0,166565;0,0867319;-0,0610219;-0,00051357;0;0,769774;0,123364;3,71627;-0,0493928;0,0202458;-0,0176336;0,0789328;0,0964164;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,56393;0,62485;-0,00347415;-39;24;1600;161;0,200218;0,0222617;0,0312997;0,00560567;0,000623288;0,000875757;-1,83922;-0,145477;0,00347415;-0,00262702;0,00672625;-0,042141;-0,000416576;0,00759385;-0,0420733;-0,000416576;0,00759385;-0,10922;-1,83909;-0,147907;-0,0314764;-0,000416576;0,00759385;-0,10922;0,349454;0,0388851;2,82845;0,197591;0,0289879;-0,0108413;0,0317746;0,166565;0,0867319;-0,0610219;-0,00051357;0;0,768717;0,124427;3,71628;-0,0492183;0,0204204;-0,0176336;0,0789328;0,0964164;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,57149;0,594554;-0,00376914;-36;-17;1650;155;0,197639;-0,0162699;-0,0379351;0,00709883;0,000500369;0,000589157;-1,83896;-0,132974;0,00376914;0,000220945;0,0433489;0,0270701;-0,000416576;0,0428007;0,0279267;-0,000416576;0,0428007;0,0527539;-1,83882;-0,147098;0,0211778;-0,000416576;0,0428007;0,0527539;0,392148;-0,031343;2,31652;0,19786;0,027079;-0,010865;0,0296398;0,168929;0,083698;-0,0598226;-0,000562886;0;0,768711;0,124426;3,71633;-0,0492183;0,0204204;-0,0172409;0,0721838;0,0893056;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,57395;0,594554;-0,00376914;-36;-17;1700;155;0,197639;-0,0162718;-0,0379398;0,00758463;0,000460373;0,000495901;-1,83896;-0,132974;0,00376914;0,000220945;0,0433489;0,0270701;-0,000416576;0,0428007;0,0279267;-0,000416576;0,0428007;0,0527539;-1,83882;-0,147098;0,0211778;-0,000416576;0,0428007;0,0527539;0,392148;-0,031343;2,31652;0,19786;0,0270771;-0,0108697;0,0296398;0,168929;0,083698;-0,0598226;-0,000562886;0;0,779192;0,127201;3,63325;-0,0492183;0,0205949;-0,0172409;0,0721838;0,0893056;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,58401;0,594554;-0,00376914;-36;-17;1750;155;0,197639;-0,0162718;-0,0379398;0,00957407;0,000296581;0,000113999;-1,83896;-0,132974;0,00376914;0,000220945;0,0433489;0,0270701;-0,000416576;0,0428007;0,0279267;-0,000416576;0,0428007;0,0527539;-1,83882;-0,147098;0,0211778;-0,000416576;0,0428007;0,0527539;0,392148;-0,031343;2,31652;0,19786;0,0270771;-0,0108697;0,0296398;0,168929;0,083698;-0,0598226;-0,000562886;0;0,779193;0,127201;3,63324;-0,0492183;0,0205949;-0,0172409;0,0721838;0,0893056;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,59398;0,594554;-0,00376914;-36;-17;1800;155;0,197641;-0,016273;-0,03791;0,0115446;0,000134339;-0,000263964;-1,83896;-0,132974;0,00376914;0,000220945;0,0433489;0,0270701;-0,000416576;0,0428007;0,0279267;-0,000416576;0,0428007;0,0527539;-1,83882;-0,147098;0,0211778;-0,000416576;0,0428007;0,0527539;0,392148;-0,031343;2,31652;0,197862;0,0270759;-0,0108399;0,0296398;0,168929;0,083698;-0,0598226;-0,000562886;0;0,778124;0,128279;3,63323;-0,0490438;0,0207694;-0,0172409;0,0721838;0,0893056;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,60315;0,651238;-0,00376914;-2;33;1850;170;0,166145;0,0540514;-0,0664582;0,0130681;0,00062999;-0,000873386;-1,833;-0,159207;0,00376914;0,0315201;-0,0255759;0,0556096;0,0283351;-0,0271993;0,0565455;0,0283351;-0,0321973;0,0565455;-1,83854;-0,148158;0,0224299;0,0168027;-0,0334805;0,149888;0,369654;0,0682155;1,80458;0,197665;0,0284755;-0,0108485;0,0344833;0,163896;0,088946;-0,0635404;-0,000552122;0;0,778121;0,128278;3,63326;-0,0490438;0,0207694;-0,0165981;0,086639;0,103054;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,60394;0,651238;-0,00376914;-2;58;1900;170;0,166145;0,0540514;-0,0664582;0,0131994;0,000672691;-0,000925888;-1,833;-0,159207;0,00376914;0,0315201;-0,0255759;0,0556096;0,0283351;-0,0271993;0,0565455;0,0283351;-0,0321973;0,0565455;-1,83854;-0,148158;0,0224299;0,0168027;-0,0334805;0,149888;0,369654;0,0682155;1,80458;0,197665;0,0284755;-0,0108485;0,0344833;0,163896;0,088946;-0,0635404;-0,000552122;0;0,782438;0,12899;3,59899;-0,0490438;0,0207694;-0,0165981;0,086639;0,103054;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
