time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.763	0.664107	-0.0708519	-45	50	1450	50	0.205812	0.0991594	-0.125953	0.00146641	0.000706511	-0.000897412	-1.85201	-0.157693	0.0708519	-0.00884436	-0.0721001	0.10424	-0.0132442	-0.0742481	0.102247	-0.0132442	-0.0742481	0.102247	-1.84913	-0.12627	0.0435415	-0.00332216	0.00585926	0.020783	0.359131	0.0810057	2.82845	0.196968	0.0270593	-0.0217125	0.0332387	0.164112	0.0908231	-0.0600603	-0.0103182	0	0	0	9.81	-0.00178484	-0.0333564	0.0204521	-0.00992209	-0.0801074	0.081464	-0.0551524	0.0185005	0.0167331	0.0849418	0.0681558	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.76589	0.664107	-0.0708519	-45	100	1500	100	0.205809	0.0991664	-0.125978	0.00206058	0.000992804	-0.00126111	-1.85201	-0.157693	0.0708519	-0.00884436	-0.0721001	0.10424	-0.0132442	-0.0742481	0.102247	-0.0132442	-0.0742481	0.102247	-1.84913	-0.12627	0.0435415	-0.00332216	0.00585926	0.020783	0.359131	0.0810057	2.82845	0.196964	0.0270663	-0.0217374	0.0332387	0.164112	0.0908231	-0.0600603	-0.0103182	0	0.830574	0.114028	3.5276	-0.00178484	-0.0333564	0.0204521	-0.00992209	-0.0801074	0.081464	-0.0553269	0.0181514	0.0167331	0.0849418	0.0681558	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.77584	0.664107	-0.0708519	-45	107	1550	115	0.205809	0.0991664	-0.125978	0.00410838	0.00197951	-0.00251459	-1.85201	-0.157693	0.0708519	-0.00884436	-0.0721001	0.10424	-0.0132442	-0.0742481	0.102247	-0.0132442	-0.0742481	0.102247	-1.84913	-0.12627	0.0435415	-0.00332216	0.00585926	0.020783	0.359131	0.0810057	2.82845	0.196964	0.0270663	-0.0217374	0.0332387	0.164112	0.0908231	-0.0600603	-0.0103182	0	0.830579	0.114029	3.52757	-0.00178484	-0.0333564	0.0204521	-0.00992209	-0.0801074	0.081464	-0.0553269	0.0181514	0.0167331	0.0849418	0.0681558	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.77766	-1.7175	-0.0869492	-40	57	1600	92	0.201765	0.0328593	-0.0523814	0.00447599	0.00203938	-0.00261002	-3.69852	-0.241441	0.0869492	-0.00490957	-0.00356303	0.0326384	-0.00664431	-0.00424814	0.032247	-0.00664431	0.0988337	-0.0552171	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	0.387384	0.101897	2.4445	0.196855	0.0292962	-0.019743	0.147716	0.0494661	-0.0707984	0.103208	-0.00829276	-0	0.830583	0.114029	3.52754	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	-0.0553269	0.0181514	0.0139794	0.0651881	0.0511863	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.78582	-1.7175	-0.0869492	-40	35	1650	92	0.201765	0.0328627	-0.0523763	0.00612239	0.00230754	-0.00303741	-3.69852	-0.241441	0.0869492	-0.00490957	-0.00356303	0.0326384	-0.00664431	-0.00424814	0.032247	-0.00664431	0.0988337	-0.0552171	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	0.387384	0.101897	2.4445	0.196855	0.0292997	-0.0197379	0.147716	0.0494661	-0.0707984	0.103208	-0.00829276	-0	0.818909	0.111346	3.61584	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	-0.0553269	0.0179769	0.0139794	0.0651881	0.0511863	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.79591	-1.7175	-0.0869492	-40	35	1700	92	0.201765	0.0328627	-0.0523763	0.00815719	0.00263896	-0.00356563	-3.69852	-0.241441	0.0869492	-0.00490957	-0.00356303	0.0326384	-0.00664431	-0.00424814	0.032247	-0.00664431	0.0988337	-0.0552171	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	0.387384	0.101897	2.4445	0.196855	0.0292997	-0.0197379	0.147716	0.0494661	-0.0707984	0.103208	-0.00829276	-0	0.818909	0.111346	3.61583	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	-0.0553269	0.0179769	0.0139794	0.0651881	0.0511863	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.80584	-1.7175	-0.0869492	-41	35	1750	92	0.201761	0.0328621	-0.0524106	0.0101617	0.00296544	-0.00408633	-3.69852	-0.241441	0.0869492	-0.00490957	-0.00356303	0.0326384	-0.00664431	-0.00424814	0.032247	-0.00664431	0.0988337	-0.0552171	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	0.387384	0.101897	2.4445	0.196852	0.0292991	-0.0197722	0.147716	0.0494661	-0.0707984	0.103208	-0.00829276	-0	0.819983	0.111346	3.61582	-1.84926	-0.120721	0.0434746	-0.00332216	0.0494168	-0.0276085	-0.0555015	0.0179769	0.0139794	0.0651881	0.0511863	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.80864	-1.719	-0.0858463	-6	-15	1800	91	0.170055	-0.0360292	0.0208187	0.0106375	0.00286463	-0.00402808	-3.69798	-0.239467	0.0858463	0.0269108	0.064635	-0.0404747	0.0281334	0.0657519	-0.037753	0.0281334	0.0991573	-0.0439177	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	0.367683	-0.0301698	1.93256	0.196965	0.0286058	-0.0196561	0.147541	0.0497589	-0.0712796	0.102995	-0.00818296	-0	0.81999	0.111347	3.61577	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	-0.0555015	0.0179769	0.0139794	0.0646659	0.0506647	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.81589	-1.719	-0.0858463	-6	-38	1850	91	0.170058	-0.0360286	0.020853	0.0118704	0.00260343	-0.00387689	-3.69798	-0.239467	0.0858463	0.0269108	0.064635	-0.0404747	0.0281334	0.0657519	-0.037753	0.0281334	0.0991573	-0.0439177	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	0.367683	-0.0301698	1.93256	0.196969	0.0286065	-0.0196217	0.147541	0.0497589	-0.0712796	0.102995	-0.00818296	-0	0.807302	0.109768	3.70363	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	-0.0553269	0.0179769	0.0139794	0.0646659	0.0506647	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.82593	-1.719	-0.0858463	-6	-38	1900	91	0.170055	-0.0360326	0.0208137	0.0135778	0.00224166	-0.00366792	-3.69798	-0.239467	0.0858463	0.0269108	0.064635	-0.0404747	0.0281334	0.0657519	-0.037753	0.0281334	0.0991573	-0.0439177	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	0.367683	-0.0301698	1.93256	0.196965	0.0286024	-0.0196611	0.147541	0.0497589	-0.0712796	0.102995	-0.00818296	-0	0.808352	0.110832	3.70368	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	-0.0555015	0.0181514	0.0139794	0.0646659	0.0506647	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
