time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;err_sti_x;err_sti_y;err_sti_z;err_sti_dx;err_sti_dy;err_sti_dz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
8,37125;-5,44133;-0;50;-50;1450;0;-0,141436;-0,140968;-0,011121;-0,000353308;-0,000352139;-2,77802e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,205665;-0,0810057;2,82845;-0,141436;-0,140968;-0,011121;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0;0;9,81;0;0;0;0;0;0;0,100705;0,0225147;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,37878;-5,44133;-0;100;-100;1500;0;-0,141436;-0,140963;-0,0111948;-0,00141818;-0,00141345;-0,000112066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,205665;-0,0810057;2,82845;-0,141436;-0,140963;-0,0111948;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,144002;0,135116;3,66541;0;0;0;0;0;0;0,100705;0,0219911;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,38877;-5,44133;-0;150;-150;1550;0;-0,141441;-0,140952;-0,0112684;-0,00283231;-0,00282268;-0,000224728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,205665;-0,0810057;2,82845;-0,141441;-0,140952;-0,0112684;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,14186;0,129757;3,66532;0;0;0;0;0;0;0,100356;0,0211185;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,39401;-5,44133;-0;200;-152;1600;0;-0,141441;-0,140952;-0,0112684;-0,00357247;-0,00356028;-0,000283695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,04112;-0,271554;2,4445;-0,141441;-0,140952;-0,0112684;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,141862;0,129759;3,66522;0;0;0;0;0;0;0,100356;0,0211185;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,39897;-5,44133;-0;250;-152;1650;0;-0,141454;-0,140939;-0,011268;-0,0042738;-0,00425906;-0,000339562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,04112;-0,271554;2,4445;-0,141454;-0,140939;-0,011268;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,136501;0,124398;3,66522;0;0;0;0;0;0;0,0994838;0,0202458;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,40878;-5,44133;-0;300;-152;1700;0;-0,141463;-0,140929;-0,0112677;-0,0056617;-0,00564172;-0,000450109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,04112;-0,271554;2,4445;-0,141463;-0,140929;-0,0112677;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,132212;0,120109;3,66522;0;0;0;0;0;0;0,0987856;0,0195477;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,41873;-5,44133;-0;329;-152;1750;0;-0,141481;-0,140905;-0,0113654;-0,00707042;-0,0070447;-0,000563275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,04112;-0,271554;2,4445;-0,141481;-0,140905;-0,0113654;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,124707;0,108314;3,66522;0;0;0;0;0;0;0,0975639;0,0176278;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,42588;-5,44133;-0;329;-152;1800;0;-0,141269;-0,140812;-0,0198494;-0,00808021;-0,00805123;-0,000705158;0;0;0;-0,000211888;-9,27969e-05;0,00848397;0,000615248;-0,000242329;0,00846132;0,000615248;-0,000242329;0,00846132;0;0;0;0;0;0;-0,305499;-0,305499;1,93256;-0,141481;-0,140905;-0,0113654;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,124709;0,108316;3,6651;0;0;0;0;0;0;0,0975639;0,0176278;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,42873;-5,44133;-0;329;-152;1850;0;-0,141276;-0,140776;-0,0201933;-0,00848228;-0,00845188;-0,000762628;0;0;0;-0,000211888;-9,27969e-05;0,00848397;0,000615248;-0,000242329;0,00846132;0,000615248;-0,000242329;0,00846132;0;0;0;0;0;0;-0,305499;-0,305499;1,93256;-0,141488;-0,140869;-0,0117094;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,121693;0,090235;3,65492;0;0;0;0;0;0;0,0970403;0,0146608;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,43872;-5,44133;-0;329;-152;1900;0;-0,141278;-0,140728;-0,020734;-0,00989464;-0,00985873;-0,000969906;0;0;0;-0,000211888;-9,27969e-05;0,00848397;0,000615248;-0,000242329;0,00846132;0,000615248;-0,000242329;0,00846132;0;0;0;0;0;0;-0,305499;-0,305499;1,93256;-0,14149;-0,140821;-0,0122501;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,120628;0,0655333;3,6545;0;0;0;0;0;0;0,0968658;0,0106465;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,44876;-5,44133;-0;329;-152;1950;0;-0,141278;-0,140702;-0,0210289;-0,0113131;-0,0112714;-0,00118104;0;0;0;-0,000211888;-9,27969e-05;0,00848397;0,000615248;-0,000242329;0,00846132;0,000615248;-0,000242329;0,00846132;0;0;0;0;0;0;-0,305499;-0,305499;1,93256;-0,14149;-0,140795;-0,012545;-0,16515;0,0229932;-0,104261;-0,0364212;-0;0;-0,12064;0,0526475;3,65385;0;0;0;0;0;0;0,0968658;0,00855211;0;0;0;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,45815;-5,44136;-0,000101397;327;-150;2000;50;-0,139418;-0,138953;-0,0440841;-0,0126211;-0,012575;-0,00159463;7,37289e-06;-2,90397e-06;0,000101397;-0,00207282;-0,00184129;0,0315355;0,0009852;-0,00211092;0,0315713;0,0009852;-0,00211092;0,0315713;0;0;0;0;0;0;-0,334983;-0,334983;1,42063;-0,141491;-0,140794;-0,0125487;-0,16515;0,0229929;-0,104261;-0,0364211;-3,63945e-06;0;-0,120647;0,0526505;3,65349;0;0;0;0;0;0;0,0968658;0,00855211;0;2,76638;0,36647;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
