time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	xo	yo	zo	thr_vel
7.39045	0.492295	-0.7013	10	50	1450	50	0.153969	0.104361	-0.0885975	0.00141389	0.000958349	-0.000813591	-2.39122	-0.0537398	0.7013	-0.00211226	-0.0116882	-0.00278812	-0.00231792	-0.0116635	-0.0027279	-0.00231792	-0.0116635	-0.0027279	-2.39046	-0.0498907	0.702201	-0.00231792	-0.0116635	-0.0027279	0.270341	0.0810057	2.82845	0.151856	0.092673	-0.0913856	-0.01018	0.160863	0.0659935	0.0248145	-0.0951233	-0	0	-0	9.81	0.0030726	-0.000901485	-0.0128519	0.00877016	-0.0175306	-0.0390941	0.0242601	-0.000872665	-0.0118903	0.02247	0.0343536	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.39112	0.492295	-0.7013	10	100	1500	57	0.153953	0.104345	-0.0886402	0.0015172	0.00102836	-0.000873069	-2.39122	-0.0537398	0.7013	-0.00211226	-0.0116882	-0.00278812	-0.00231792	-0.0116635	-0.0027279	-0.00231792	-0.0116635	-0.0027279	-2.39046	-0.0498907	0.702201	-0.00231792	-0.0116635	-0.0027279	0.270341	0.0810057	2.82845	0.15184	0.0926571	-0.0914283	-0.01018	0.160863	0.0659935	0.0248145	-0.0951233	-0	0.331572	-0.00435465	3.57243	0.0030726	-0.000901485	-0.0128519	0.00877016	-0.0175306	-0.0390941	0.0240855	-0.000698132	-0.0118903	0.02247	0.0343536	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.40119	0.492295	-0.7013	10	112	1550	57	0.153953	0.104345	-0.0886402	0.00306781	0.00207933	-0.00176585	-2.39122	-0.0537398	0.7013	-0.00211226	-0.0116882	-0.00278812	-0.00231792	-0.0116635	-0.0027279	-0.00231792	-0.0116635	-0.0027279	-2.39046	-0.0498907	0.702201	-0.00231792	-0.0116635	-0.0027279	0.270341	0.0810057	2.82845	0.15184	0.0926571	-0.0914283	-0.01018	0.160863	0.0659935	0.0248145	-0.0951233	-0	0.331575	-0.00435468	3.57237	0.0030726	-0.000901485	-0.0128519	0.00877016	-0.0175306	-0.0390941	0.0240855	-0.000698132	-0.0118903	0.02247	0.0343536	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.41116	0.492295	-0.7013	10	112	1600	57	0.153969	0.104345	-0.0886137	0.00460211	0.00311913	-0.00264889	-2.39122	-0.0537398	0.7013	-0.00211226	-0.0116882	-0.00278812	-0.00231792	-0.0116635	-0.0027279	-0.00231792	-0.0116635	-0.0027279	-2.39046	-0.0498907	0.702201	-0.00231792	-0.0116635	-0.0027279	0.270341	0.0810057	2.82845	0.151856	0.092657	-0.0914018	-0.01018	0.160863	0.0659935	0.0248145	-0.0951233	-0	0.330489	-0.0043547	3.57235	0.0030726	-0.000901485	-0.0128519	0.00877016	-0.0175306	-0.0390941	0.0242601	-0.000698132	-0.0118903	0.02247	0.0343536	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.41233	0.483566	-0.701638	9	90	1650	56	0.154762	0.0834381	-0.0848112	0.00478302	0.00321667	-0.00274803	-2.3904	-0.0506895	0.701638	-0.00224519	0.00792029	-0.00679783	-0.00231792	0.00794286	-0.00674689	-0.00231792	0.00794286	-0.00674689	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.309468	0.165893	2.31652	0.152517	0.0913584	-0.0916091	-0.00990972	0.161203	0.0649603	0.0245916	-0.0953455	-0	0.330488	-0.00435469	3.57236	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.0242601	-0.000698132	-0.011557	0.0212023	0.0327534	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.42117	0.483566	-0.701638	9	90	1700	56	0.154778	0.083454	-0.0847687	0.00615235	0.00395499	-0.00349798	-2.3904	-0.0506895	0.701638	-0.00224519	0.00792029	-0.00679783	-0.00231792	0.00794286	-0.00674689	-0.00231792	0.00794286	-0.00674689	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.309468	0.165893	2.31652	0.152533	0.0913743	-0.0915665	-0.00990972	0.161203	0.0649603	0.0245916	-0.0953455	-0	0.32916	-0.00543939	3.57692	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.0244346	-0.000872665	-0.011557	0.0212023	0.0327534	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.43114	0.483566	-0.701638	9	90	1750	56	0.154778	0.083454	-0.0847687	0.00769549	0.00478702	-0.00434312	-2.3904	-0.0506895	0.701638	-0.00224519	0.00792029	-0.00679783	-0.00231792	0.00794286	-0.00674689	-0.00231792	0.00794286	-0.00674689	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.309468	0.165893	2.31652	0.152533	0.0913743	-0.0915665	-0.00990972	0.161203	0.0649603	0.0245916	-0.0953455	-0	0.329158	-0.00543936	3.57696	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.0244346	-0.000872665	-0.011557	0.0212023	0.0327534	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.44118	0.483566	-0.701638	9	90	1800	56	0.154778	0.083454	-0.0847687	0.00924868	0.00562449	-0.00519378	-2.3904	-0.0506895	0.701638	-0.00224519	0.00792029	-0.00679783	-0.00231792	0.00794286	-0.00674689	-0.00231792	0.00794286	-0.00674689	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.309468	0.165893	2.31652	0.152533	0.0913743	-0.0915665	-0.00990972	0.161203	0.0649603	0.0245916	-0.0953455	-0	0.32916	-0.00543937	3.57694	-2.3904	-0.0506895	0.701638	-0.00231792	0.00794286	-0.00674689	0.0244346	-0.000872665	-0.011557	0.0212023	0.0327534	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.44316	0.481683	-0.701368	8	81	1850	56	0.155506	0.0757219	-0.0960931	0.00955612	0.00577419	-0.00538375	-2.39054	-0.0500834	0.701368	-0.00284723	0.0154331	0.00451783	-0.00255774	0.0154676	0.00457258	-0.00255774	0.0154676	0.00457258	-2.3904	-0.0506895	0.701638	-0.00363964	0.0151434	-0.00674689	0.349041	0.167409	1.80458	0.152659	0.0911549	-0.0915753	-0.00987051	0.161287	0.064741	0.0245901	-0.0953572	-0	0.329161	-0.00543939	3.57692	-2.3904	-0.0506895	0.701638	-0.00363964	0.0151434	-0.00674689	0.0244346	-0.000872665	-0.011557	0.0209476	0.0324988	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
7.45122	0.481683	-0.701368	8	81	1900	56	0.155506	0.0757379	-0.0960772	0.0108098	0.00638479	-0.00615833	-2.39054	-0.0500834	0.701368	-0.00284723	0.0154331	0.00451783	-0.00255774	0.0154676	0.00457258	-0.00255774	0.0154676	0.00457258	-2.3904	-0.0506895	0.701638	-0.00363964	0.0151434	-0.00674689	0.349041	0.167409	1.80458	0.152659	0.0911709	-0.0915594	-0.00987051	0.161287	0.064741	0.0245901	-0.0953572	-0	0.329878	-0.0065415	3.56332	-2.3904	-0.0506895	0.701638	-0.00363964	0.0151434	-0.00674689	0.0244346	-0.0010472	-0.011557	0.0209476	0.0324988	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	-0.306905	0.172504	0.30265	0.07
