time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;err_sti_x;err_sti_y;err_sti_z;err_sti_dx;err_sti_dy;err_sti_dz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;xo;yo;zo;thr_vel
7,18976;0,529194;-0,704789;20;50;1450;50;0,145226;0,108349;-0,0963432;0,00032095;0,000239451;-0,000212919;-2,38988;-0,0661077;0,704789;0,00345446;-0,0122448;0,00329455;0,00341253;-0,0122745;0,00322706;0,00341253;-0,0122745;0,00322706;-2,391;-0,0620853;0,703731;0,00341253;-0,0122745;0,00322706;0,254179;0,0810057;2,82845;0,148681;0,0961042;-0,0930487;-0,0110626;0,159231;0,0702199;0,0250855;-0,0946735;-0;0;0;9,81;5,48046e-05;-0,00566809;0,00217251;0,00349949;-0,0251198;0,0132561;0,0122173;0,00191986;-0,0066095;0,0276545;0,0342573;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,306873;0,172688;0,306169;0,07
7,19757;0,529194;-0,704789;20;100;1500;56;0,145242;0,108365;-0,0963005;0,00145515;0,00108568;-0,000964929;-2,38988;-0,0661077;0,704789;0,00345446;-0,0122448;0,00329455;0,00341253;-0,0122745;0,00322706;0,00341253;-0,0122745;0,00322706;-2,391;-0,0620853;0,703731;0,00341253;-0,0122745;0,00322706;0,254179;0,0810057;2,82845;0,148697;0,0961205;-0,093006;-0,0110626;0,159231;0,0702199;0,0250855;-0,0946735;-0;0,404986;0,0109028;3,56315;5,48046e-05;-0,00566809;0,00217251;0,00349949;-0,0251198;0,0132561;0,0123918;0,00174533;-0,0066095;0,0276545;0,0342573;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,306873;0,172688;0,306169;0,07
7,20644;0,529194;-0,704789;20;117;1550;56;0,145242;0,108365;-0,0963005;0,00274417;0,00204742;-0,0018196;-2,38988;-0,0661077;0,704789;0,00345446;-0,0122448;0,00329455;0,00341253;-0,0122745;0,00322706;0,00341253;-0,0122745;0,00322706;-2,391;-0,0620853;0,703731;0,00341253;-0,0122745;0,00322706;0,254179;0,0810057;2,82845;0,148697;0,0961205;-0,093006;-0,0110626;0,159231;0,0702199;0,0250855;-0,0946735;-0;0,404984;0,0109028;3,56318;5,48046e-05;-0,00566809;0,00217251;0,00349949;-0,0251198;0,0132561;0,0123918;0,00174533;-0,0066095;0,0276545;0,0342573;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
7,20661;0,519874;-0,70345;15;119;1600;53;0,149204;0,110467;-0,0688759;0,00276849;0,00206542;-0,00183082;-2,3909;-0,063058;0,70345;0,00014944;-0,0154279;-0,0241897;-0,000246169;-0,0153845;-0,0242166;-0,000246169;-0,0153845;-0,0242166;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,289391;0,212659;2,4445;0,149353;0,0950394;-0,0930656;-0,0108791;0,159658;0,0691682;0,0251116;-0,0947431;-0;0,404986;0,0109028;3,56316;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,0123918;0,00174533;-0,00620843;0,0263681;0,0325707;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
7,2076;0,519874;-0,70345;15;119;1650;53;0,149204;0,110467;-0,0688759;0,0029162;0,00217479;-0,00189901;-2,3909;-0,063058;0,70345;0,00014944;-0,0154279;-0,0241897;-0,000246169;-0,0153845;-0,0242166;-0,000246169;-0,0153845;-0,0242166;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,289391;0,212659;2,4445;0,149353;0,0950394;-0,0930656;-0,0108791;0,159658;0,0691682;0,0251116;-0,0947431;-0;0,402852;0,0108454;3,59607;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,0123918;0,00174533;-0,00620843;0,0263681;0,0325707;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
7,21764;0,519874;-0,70345;15;119;1700;53;0,149204;0,110467;-0,0688759;0,00441481;0,00328432;-0,0025908;-2,3909;-0,063058;0,70345;0,00014944;-0,0154279;-0,0241897;-0,000246169;-0,0153845;-0,0242166;-0,000246169;-0,0153845;-0,0242166;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,289391;0,212659;2,4445;0,149353;0,0950394;-0,0930656;-0,0108791;0,159658;0,0691682;0,0251116;-0,0947431;-0;0,402852;0,0108454;3,59606;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,0123918;0,00174533;-0,00620843;0,0263681;0,0325707;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
7,22768;0,519874;-0,70345;15;119;1750;53;0,14922;0,110451;-0,0688664;0,00591208;0,00439259;-0,0032818;-2,3909;-0,063058;0,70345;0,00014944;-0,0154279;-0,0241897;-0,000246169;-0,0153845;-0,0242166;-0,000246169;-0,0153845;-0,0242166;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,289391;0,212659;2,4445;0,149369;0,0950232;-0,0930561;-0,0108791;0,159658;0,0691682;0,0251116;-0,0947431;-0;0,401771;0,0119299;3,59605;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,0125664;0,00191986;-0,00620843;0,0263681;0,0325707;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
7,2377;0,519874;-0,70345;15;119;1800;53;0,149204;0,110435;-0,068909;0,00740814;0,00549992;-0,00397276;-2,3909;-0,063058;0,70345;0,00014944;-0,0154279;-0,0241897;-0,000246169;-0,0153845;-0,0242166;-0,000246169;-0,0153845;-0,0242166;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,289391;0,212659;2,4445;0,149353;0,0950069;-0,0930987;-0,0108791;0,159658;0,0691682;0,0251116;-0,0947431;-0;0,402854;0,0130145;3,59604;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,0123918;0,0020944;-0,00620843;0,0263681;0,0325707;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
7,24756;0,519874;-0,70345;15;119;1850;53;0,149204;0,110435;-0,068909;0,00887944;0,00658892;-0,00465227;-2,3909;-0,063058;0,70345;0,00014944;-0,0154279;-0,0241897;-0,000246169;-0,0153845;-0,0242166;-0,000246169;-0,0153845;-0,0242166;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,289391;0,212659;2,4445;0,149353;0,0950069;-0,0930987;-0,0108791;0,159658;0,0691682;0,0251116;-0,0947431;-0;0,402858;0,0130146;3,59597;-2,3909;-0,063058;0,70345;-0,000246169;-0,0153845;-0,0242166;0,0123918;0,0020944;-0,00620843;0,0263681;0,0325707;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
7,24909;0,521572;-0,702509;14;119;1900;54;0,150322;0,11037;-0,0797476;0,00910928;0,00675767;-0,0047742;-2,39099;-0,0636554;0,702509;-0,0010499;-0,0151055;-0,0132164;-0,00130756;-0,0150699;-0,013234;-0,00130756;-0,0150699;-0,013234;-2,3909;-0,063058;0,70345;-0,00229452;-0,0153845;-0,0242166;0,34577;0,252533;1,67659;0,149272;0,095265;-0,0929641;-0,010933;0,159634;0,0693841;0,0251541;-0,0946069;-0;0,402859;0,0130147;3,59596;-2,3909;-0,063058;0,70345;-0,00229452;-0,0153845;-0,0242166;0,0123918;0,0020944;-0,00620843;0,0266167;0,0328193;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;-0,301952;0,197122;0,319476;0,07
