time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel	gps_accuracy	height_accuracy	gps_sat_num	gps_status
29.9435	-4.74133	-0.062	50	-50	1450	0	-0.152378	-0.129537	-0.00109503	-0.000598846	-0.000509079	-4.30347e-06	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0	0	0.205665	-0.0810057	2.82845	-0.152378	-0.129537	-0.00109503	-0.18797	-0.0120136	-0.0474672	0.047574	-0.00253515	-0	0	0	9.81	-0.00663225	0.00331613	0	0	0	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
29.9496	-4.74133	-0.063	100	-100	1500	0	-0.152378	-0.129537	-0.00111331	-0.00153033	-0.00130094	-1.11091e-05	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0.129036	-0.167558	2.70047	-0.152378	-0.129537	-0.00111331	-0.18797	-0.0120136	-0.0474671	0.0475739	-0.00257603	-0	0.513941	0.0214076	3.67717	-0.00663225	0.00349066	0	0	0	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
29.9597	-4.74133	-0.063	150	-139	1550	0	-0.152484	-0.129574	-0.00239745	-0.00306493	-0.00260497	-3.52371e-05	0	0	0.063	0.000105896	3.77797e-05	0.00131074	0	0	0	0	0	0	0	0	0.063	0	0	0	0.0467625	-0.240598	2.57249	-0.152378	-0.129536	-0.00108671	-0.18797	-0.0120136	-0.0474671	0.0475739	-0.00257603	-0	0.51501	0.0214077	3.67715	-0.00680678	0.00349066	0	0	0	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
29.9697	-4.74133	-0.0630013	200	-139	1600	50	-0.152681	-0.129568	-0.00477507	-0.00459648	-0.00390467	-8.31359e-05	9.16264e-08	-3.6089e-08	0.0630013	0.000302771	3.1321e-05	0.00368831	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.04112	-0.248359	2.4445	-0.152378	-0.129536	-0.00108676	-0.18797	-0.0120136	-0.0474671	0.0475739	-0.00257609	-0	0.515165	0.0214141	3.6753	-0.00680678	0.00349066	0	2.76638	0.36647	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
29.9798	-4.74134	-0.0630084	250	-139	1650	100	-0.153045	-0.129439	-0.00918157	-0.00613672	-0.00520734	-0.000175539	5.43542e-07	-3.31506e-07	0.0630084	0.000666027	-9.7301e-05	0.00812111	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.134569	-0.256121	2.31652	-0.152379	-0.129536	-0.00106046	-0.18797	-0.0120136	-0.047467	0.0475739	-0.00257638	-0	0.51652	0.0214261	3.67187	-0.00698132	0.00349066	0	2.59393	0.520696	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
29.9897	-4.74134	-0.0630294	300	-139	1700	150	-0.153463	-0.129129	-0.0151586	-0.00766751	-0.0064954	-0.000326747	1.64858e-06	-1.4642e-06	0.0630294	0.00108427	-0.000406902	0.0140973	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.233538	-0.263882	2.18853	-0.152379	-0.129536	-0.00106132	-0.18797	-0.0120135	-0.0474668	0.0475739	-0.00257723	-0	0.517054	0.0214482	3.66553	-0.00698132	0.00349066	0	2.41536	0.664058	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
29.9996	-4.74135	-0.0630756	343	-138	1750	200	-0.153873	-0.128564	-0.0225683	-0.00918777	-0.00776562	-0.000549721	3.53176e-06	-4.35463e-06	0.0630756	0.00149332	-0.000971363	0.021509	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.324323	-0.269691	2.06055	-0.152379	-0.129535	-0.00105921	-0.18797	-0.0120133	-0.0474661	0.0475738	-0.00257912	-0	0.518849	0.0204044	3.65692	-0.00715585	0.00331613	0	2.25223	0.77667	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0096	-4.74135	-0.0631603	343	-137	1800	250	-0.154188	-0.127678	-0.031238	-0.0107269	-0.0090401	-0.000861539	5.90277e-06	-1.02534e-05	0.0631603	0.00180788	-0.00185638	0.0301753	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.33359	-0.275389	1.93256	-0.15238	-0.129534	-0.00106267	-0.18797	-0.012013	-0.0474647	0.0475739	-0.00258258	-0	0.519749	0.0204398	3.64624	-0.00715585	0.00331613	0	2.09315	0.866647	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0196	-4.74135	-0.0632993	343	-136	1850	300	-0.15436	-0.12641	-0.0410095	-0.0122753	-0.0103081	-0.0012729	7.84954e-06	-2.07518e-05	0.0632993	0.00197765	-0.00312248	0.0399451	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.342856	-0.280975	1.80458	-0.152382	-0.129532	-0.00106436	-0.187971	-0.0120124	-0.0474623	0.047574	-0.00258826	-0	0.521876	0.0194032	3.63375	-0.00733038	0.00314159	0	1.93242	0.935323	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0297	-4.74132	-0.0635125	343	-134	1900	350	-0.154481	-0.124841	-0.0518709	-0.0138289	-0.0115636	-0.00179457	7.74149e-06	-3.79541e-05	0.0635125	0.00209577	-0.00468739	0.0507979	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.352122	-0.28433	1.67659	-0.152385	-0.129529	-0.00107308	-0.187972	-0.0120114	-0.0474584	0.0475745	-0.00259699	-0	0.523066	0.0194475	3.61967	-0.00733038	0.00314159	0	1.77201	0.979826	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
