time ;e1;e2;e1Ori;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;err_sti_x;err_sti_y;err_sti_z;err_sti_dx;err_sti_dy;err_sti_dz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
8,16649;-0,24632;-0,0627474;0,205267;50;50;1450;6;0,0801578;0,26753;0,0279789;0,000613849;0,00204874;0,000214262;-2,92788;-0,0116919;0,0627474;0,00695802;-0,0879284;-0,0403993;0,00842422;-0,0882286;-0,0394548;0,00842422;-0,0882286;-0,0394548;-2,93207;0,0202383;0,0789285;0,00842422;-0,0882286;-0,0394548;0,205665;0,0810057;2,82845;0,0871159;0,179601;-0,0124204;0,0388821;0,0490051;-0,0100591;0,189422;-0,0102309;-0;0;-0;9,81;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0408407;-0,00767945;-0,00156389;0,00399327;0,00555713;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,16871;-0,24632;-0,0627474;0,205267;90;100;1500;6;0,0801578;0,26753;0,0279789;0,000791478;0,00264159;0,000276263;-2,92788;-0,0116919;0,0627474;0,00695802;-0,0879284;-0,0403993;0,00842422;-0,0882286;-0,0394548;0,00842422;-0,0882286;-0,0394548;-2,93207;0,0202383;0,0789285;0,00842422;-0,0882286;-0,0394548;0,205665;0,0810057;2,82845;0,0871159;0,179601;-0,0124204;0,0388821;0,0490051;-0,0100591;0,189422;-0,0102309;-0;0,718118;-0,0468005;3,71568;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0408407;-0,00767945;-0,00156389;0,00399327;0,00555713;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,17672;-0,263352;-0,0738563;0,21946;78;150;1550;-15;0,0910427;0,326481;0,0963242;0,001521;0,00525768;0,00104811;-2,93069;0,0134435;0,0738563;0,00403826;-0,15113;-0,110875;0,00842422;-0,151982;-0,109455;0,00842422;-0,151982;-0,113608;-2,93207;0,0159667;0,076887;0,00842422;-0,151982;-0,113608;0,171413;0,259612;2,57249;0,095081;0,175351;-0,0145508;0,0410778;0,0546768;-0,0119994;0,187176;-0,0120016;-0;0,718118;-0,0468005;3,71568;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0408407;-0,00767945;-0,000592883;-0,00458713;-0,00399424;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,17878;-0,263352;-0,0738563;0,21946;78;200;1600;-15;0,0910427;0,326489;0,096416;0,00170883;0,00593123;0,00124702;-2,93069;0,0134435;0,0738563;0,00403826;-0,15113;-0,110875;0,00842422;-0,151982;-0,109455;0,00842422;-0,151982;-0,113608;-2,93207;0,0159667;0,076887;0,00842422;-0,151982;-0,113608;0,171413;0,259612;2,57249;0,095081;0,175358;-0,014459;0,0410778;0,0546768;-0,0119994;0,187176;-0,0120016;-0;0,707487;-0,0492513;3,80591;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0408407;-0,00820305;-0,000592883;-0,00458713;-0,00399424;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,18879;-0,263352;-0,0738563;0,21946;78;250;1650;-15;0,0910483;0,326494;0,0965105;0,00262031;0,00919975;0,00221318;-2,93069;0,0134435;0,0738563;0,00403826;-0,15113;-0,110875;0,00842422;-0,151982;-0,109455;0,00842422;-0,151982;-0,113608;-2,93207;0,0159667;0,076887;0,00842422;-0,151982;-0,113608;0,171413;0,259612;2,57249;0,0950865;0,175363;-0,0143646;0,0410778;0,0546768;-0,0119994;0,187176;-0,0120016;-0;0,705391;-0,051346;3,80603;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0404916;-0,00855211;-0,000592883;-0,00458713;-0,00399424;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,19874;-0,263352;-0,0738563;0,21946;78;300;1700;-15;0,0910511;0,326498;0,0965883;0,0035259;0,0124471;0,00317385;-2,93069;0,0134435;0,0738563;0,00403826;-0,15113;-0,110875;0,00842422;-0,151982;-0,109455;0,00842422;-0,151982;-0,113608;-2,93207;0,0159667;0,076887;0,00842422;-0,151982;-0,113608;0,171413;0,259612;2,57249;0,0950893;0,175368;-0,0142868;0,0410778;0,0546768;-0,0119994;0,187176;-0,0120016;-0;0,704333;-0,0534404;3,80618;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0403171;-0,00890118;-0,000592883;-0,00458713;-0,00399424;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,20871;-0,263352;-0,0738563;0,21946;78;350;1750;-15;0,0910538;0,326501;0,0966355;0,00443344;0,0157013;0,00413701;-2,93069;0,0134435;0,0738563;0,00403826;-0,15113;-0,110875;0,00842422;-0,151982;-0,109455;0,00842422;-0,151982;-0,113608;-2,93207;0,0159667;0,076887;0,00842422;-0,151982;-0,113608;0,171413;0,259612;2,57249;0,0950921;0,17537;-0,0142396;0,0410778;0,0546768;-0,0119994;0,187176;-0,0120016;-0;0,703277;-0,054487;3,80631;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0401426;-0,00907571;-0,000592883;-0,00458713;-0,00399424;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,20945;-0,263352;-0,0738563;0,21946;78;352;1800;-15;0,0910538;0,326501;0,0966355;0,00450145;0,0159452;0,0042092;-2,93069;0,0134435;0,0738563;0,00403826;-0,15113;-0,110875;0,00842422;-0,151982;-0,109455;0,00842422;-0,151982;-0,113608;-2,93207;0,0159667;0,076887;0,00842422;-0,151982;-0,113608;0,171413;0,259612;2,57249;0,0950921;0,17537;-0,0142396;0,0410778;0,0546768;-0,0119994;0,187176;-0,0120016;-0;0,703267;-0,0544863;3,80639;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0401426;-0,00907571;-0,000592883;-0,00458713;-0,00399424;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,20959;-0,254866;-0,0735443;0,212388;108;354;1850;-11;0,0635229;0,328493;0,0279396;0,00451022;0,0159906;0,00421306;-2,92891;0,00267081;0,0735443;0,0283217;-0,151386;-0,0419998;0,0300364;-0,15174;-0,0394548;0,0300364;-0,15174;-0,00193589;-2,93118;0,00974874;0,076887;0,0294201;-0,151982;-0,0104125;0,142616;0,728882;1,80458;0,0918446;0,177107;-0,0140602;0,0399605;0,0523138;-0,0111108;0,188148;-0,0119685;-0;0,703267;-0,0544862;3,80639;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0401426;-0,00907571;0,000706773;-0,000911878;-0,00161865;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,21876;-0,254866;-0,0735443;0,212388;108;354;1900;-11;0,0635284;0,328498;0,0280335;0,00509278;0,0190029;0,00447012;-2,92891;0,00267081;0,0735443;0,0283217;-0,151386;-0,0419998;0,0300364;-0,15174;-0,0394548;0,0300364;-0,15174;-0,00193589;-2,93118;0,00974874;0,076887;0,0294201;-0,151982;-0,0104125;0,142616;0,728882;1,80458;0,0918501;0,177112;-0,0139663;0,0399605;0,0523138;-0,0111108;0,188148;-0,0119685;-0;0,711775;-0,0574363;3,71573;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0397935;-0,00942478;0,000706773;-0,000911878;-0,00161865;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,22876;-0,254866;-0,0735443;0,212388;108;355;1950;-11;0,0635365;0,328502;0,0281434;0,00572795;0,0222869;0,00475147;-2,92891;0,00267081;0,0735443;0,0283217;-0,151386;-0,0419998;0,0300364;-0,15174;-0,0394548;0,0300364;-0,15174;-0,00193589;-2,93118;0,00974874;0,076887;0,0294201;-0,151982;-0,0104125;0,142616;0,728882;1,80458;0,0918582;0,177116;-0,0138564;0,0399605;0,0523138;-0,0111108;0,188148;-0,0119685;-0;0,708591;-0,0595623;3,71586;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0392699;-0,00977384;0,000706773;-0,000911878;-0,00161865;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,23879;-0,254866;-0,0735443;0,212388;108;355;2000;-11;0,0635447;0,328504;0,0282224;0,00636518;0,0255812;0,00503449;-2,92891;0,00267081;0,0735443;0,0283217;-0,151386;-0,0419998;0,0300364;-0,15174;-0,0394548;0,0300364;-0,15174;-0,00193589;-2,93118;0,00974874;0,076887;0,0294201;-0,151982;-0,0104125;0,142616;0,728882;1,80458;0,0918664;0,177118;-0,0137774;0,0399605;0,0523138;-0,0111108;0,188148;-0,0119685;-0;0,705404;-0,0606243;3,71601;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0387463;-0,00994838;0,000706773;-0,000911878;-0,00161865;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,24286;-0,247907;-0,0732615;0,206589;116;402;2050;-12;0,0559086;0,372389;-0,0382117;0,006593;0,0270986;0,00487877;-2,9277;-0,00754848;0,0732615;0,0328582;-0,193685;0,0246023;0,0320866;-0,193384;0,0277808;0,0320866;-0,193384;0,0277808;-2,93118;0,00881634;0,076887;0,0294201;-0,195793;-0,0104125;0,139715;0,916137;1,29264;0,0887668;0,178704;-0,0136094;0,0390488;0,0499881;-0,010327;0,189017;-0,0119364;-0;0,705391;-0,0606232;3,71612;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0387463;-0,00994838;0,00145154;0,00257829;0,00112675;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,24872;-0,247907;-0,0732615;0,206589;116;402;2100;-12;0,055914;0,372389;-0,0381807;0,00692032;0,0292786;0,00465526;-2,9277;-0,00754848;0,0732615;0,0328582;-0,193685;0,0246023;0,0320866;-0,193384;0,0277808;0,0320866;-0,193384;0,0277808;-2,93118;0,00881634;0,076887;0,0294201;-0,195793;-0,0104125;0,139715;0,916137;1,29264;0,0887722;0,178704;-0,0135784;0,0390488;0,0499881;-0,010327;0,189017;-0,0119364;-0;0,713398;-0,0614955;3,62843;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0383972;-0,00994838;0,00145154;0,00257829;0,00112675;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,25874;-0,247907;-0,0732615;0,206589;116;402;2150;-12;0,055922;0,372377;-0,0382902;0,00748066;0,0330098;0,0042716;-2,9277;-0,00754848;0,0732615;0,0328582;-0,193685;0,0246023;0,0320866;-0,193384;0,0277808;0,0320866;-0,193384;0,0277808;-2,93118;0,00881634;0,076887;0,0294201;-0,195793;-0,0104125;0,139715;0,916137;1,29264;0,0887802;0,178692;-0,0136879;0,0390488;0,0499881;-0,010327;0,189017;-0,0119364;-0;0,710179;-0,056101;3,62847;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,0378736;-0,00907571;0,00145154;0,00257829;0,00112675;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
8,26873;-0,247907;-0,0732615;0,206589;116;402;2200;-12;0,05593;0,372357;-0,0384932;0,00803963;0,0367312;0,0038869;-2,9277;-0,00754848;0,0732615;0,0328582;-0,193685;0,0246023;0,0320866;-0,193384;0,0277808;0,0320866;-0,193384;0,0277808;-2,93118;0,00881634;0,076887;0,0294201;-0,195793;-0,0104125;0,139715;0,916137;1,29264;0,0887882;0,178672;-0,0138909;0,0390488;0,0499881;-0,010327;0,189017;-0,0119364;-0;0,706981;-0,0474715;3,62832;0,00276779;-0,00504634;-0,00606134;0,0455383;-0,0836838;-0,072625;-0,03735;-0,00767945;0,00145154;0,00257829;0,00112675;-1080;1080;-550;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
