time 	e1	e2	e1Ori	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
6.9588	-1.69145	-0.156927	-1.69499	0	50	1450	-2	0.164458	0.16162	-0.0991095	0.000342401	0.000336493	-0.000206346	-3.5211	-0.0350822	0.156927	0.00933512	-0.0681559	0.0665449	0.00553076	-0.0733324	0.0612565	0.00553076	-0.0733324	0.0760741	-3.5211	-0.0350822	0.156927	0.00553076	-0.0733324	0.0760741	0.286498	0.0810057	2.82845	0.173793	0.0934643	-0.0325646	0.161465	0.0139263	-0.0196297	0.114551	-0.0150905	-0	0	0	9.81	0	0	0	0	0	0	-0.0568977	0.0797615	-0.004796	0.00996312	0.0147586	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
6.96676	-1.69145	-0.156927	-1.69499	0	100	1500	-2	0.164453	0.161635	-0.0990908	0.0016526	0.00162424	-0.000995802	-3.5211	-0.0350822	0.156927	0.00933512	-0.0681559	0.0665449	0.00553076	-0.0733324	0.0612565	0.00553076	-0.0733324	0.0760741	-3.5211	-0.0350822	0.156927	0.00553076	-0.0733324	0.0760741	0.286498	0.0810057	2.82845	0.173789	0.0934789	-0.0325459	0.161465	0.0139263	-0.0196297	0.114551	-0.0150905	-0	0.840311	0.496615	3.53604	0	0	0	0	0	0	-0.0570723	0.0792379	-0.004796	0.00996312	0.0147586	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
6.97673	-1.69145	-0.156927	-1.69499	0	150	1550	-2	0.164449	0.161666	-0.0990231	0.0032915	0.0032354	-0.00198267	-3.5211	-0.0350822	0.156927	0.00933512	-0.0681559	0.0665449	0.00553076	-0.0733324	0.0612565	0.00553076	-0.0733324	0.0760741	-3.5211	-0.0350822	0.156927	0.00553076	-0.0733324	0.0760741	0.286498	0.0810057	2.82845	0.173784	0.0935106	-0.0324782	0.161465	0.0139263	-0.0196297	0.114551	-0.0150905	-0	0.841395	0.490065	3.53605	0	0	0	0	0	0	-0.0572468	0.0781908	-0.004796	0.00996312	0.0147586	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
6.98284	-1.69026	-0.157789	-1.69377	13	180	1600	-1	0.151292	0.167235	-0.0282668	0.00421574	0.00425704	-0.00215535	-3.52104	-0.0377616	0.157789	0.0225448	-0.0738515	-0.00429432	0.0229493	-0.0733324	-0.00874345	0.0229493	-0.0733324	-0.0527772	-3.52104	-0.0377616	0.157789	0.0229493	-0.0733324	-0.0527772	0.292958	0.321483	2.4445	0.173837	0.0933836	-0.0325612	0.16146	0.0137062	-0.0193058	0.114629	-0.01518	-0	0.841385	0.490059	3.53613	0	0	0	0	0	0	-0.0572468	0.0781908	-0.00182127	0.0107241	0.0125451	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
6.98683	-1.69026	-0.157789	-1.69377	13	180	1650	-1	0.151283	0.167265	-0.0282295	0.00481891	0.00492393	-0.0022679	-3.52104	-0.0377616	0.157789	0.0225448	-0.0738515	-0.00429432	0.0229493	-0.0733324	-0.00874345	0.0229493	-0.0733324	-0.0527772	-3.52104	-0.0377616	0.157789	0.0229493	-0.0733324	-0.0527772	0.292958	0.321483	2.4445	0.173828	0.093413	-0.0325239	0.16146	0.0137062	-0.0193058	0.114629	-0.01518	-0	0.829858	0.475658	3.638	0	0	0	0	0	0	-0.0575959	0.0771436	-0.00182127	0.0107241	0.0125451	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
6.99674	-1.69026	-0.157789	-1.69377	13	180	1700	-1	0.151283	0.167299	-0.0281317	0.00631873	0.00658253	-0.0025468	-3.52104	-0.0377616	0.157789	0.0225448	-0.0738515	-0.00429432	0.0229493	-0.0733324	-0.00874345	0.0229493	-0.0733324	-0.0527772	-3.52104	-0.0377616	0.157789	0.0229493	-0.0733324	-0.0527772	0.292958	0.321483	2.4445	0.173828	0.093447	-0.032426	0.16146	0.0137062	-0.0193058	0.114629	-0.01518	-0	0.829851	0.46921	3.63805	0	0	0	0	0	0	-0.0575959	0.0760964	-0.00182127	0.0107241	0.0125451	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.00674	-1.69026	-0.157789	-1.69377	13	180	1750	-1	0.151279	0.167302	-0.0281456	0.00783228	0.00825638	-0.00282839	-3.52104	-0.0377616	0.157789	0.0225448	-0.0738515	-0.00429432	0.0229493	-0.0733324	-0.00874345	0.0229493	-0.0733324	-0.0527772	-3.52104	-0.0377616	0.157789	0.0229493	-0.0733324	-0.0527772	0.292958	0.321483	2.4445	0.173824	0.0934504	-0.03244	0.16146	0.0137062	-0.0193058	0.114629	-0.01518	-0	0.8309	0.468125	3.63818	0	0	0	0	0	0	-0.0577704	0.0759218	-0.00182127	0.0107241	0.0125451	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.01227	-1.68464	-0.155421	-1.68816	-12	185	1800	-5	0.175665	0.171873	0.0326205	0.0088037	0.00920684	-0.002648	-3.51968	-0.0411344	0.155421	-0.00190591	-0.0782387	-0.0648763	0.00226393	-0.0730898	-0.0706159	0.00226393	-0.0730898	-0.0706159	-3.51972	-0.0389388	0.157789	0.00140613	-0.0733324	-0.0790846	0.379711	0.371693	1.93256	0.173759	0.0936347	-0.0322557	0.161337	0.013462	-0.0188989	0.114923	-0.0149864	-0	0.830904	0.468128	3.63816	0	0	0	0	0	0	-0.0577704	0.0759218	0.00121724	0.0116864	0.010469	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.01679	-1.68464	-0.155421	-1.68816	-12	185	1850	-5	0.175665	0.17189	0.0326696	0.0095963	0.00998241	-0.0025006	-3.51968	-0.0411344	0.155421	-0.00190591	-0.0782387	-0.0648763	0.00226393	-0.0730898	-0.0706159	0.00226393	-0.0730898	-0.0706159	-3.51972	-0.0389388	0.157789	0.00140613	-0.0733324	-0.0790846	0.379711	0.371693	1.93256	0.173759	0.0936516	-0.0322067	0.161337	0.013462	-0.0188989	0.114923	-0.0149864	-0	0.819124	0.458314	3.72565	0	0	0	0	0	0	-0.0577704	0.0753982	0.00121724	0.0116864	0.010469	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.02678	-1.68464	-0.155421	-1.68816	-12	185	1900	-5	0.17566	0.171894	0.0326557	0.0113526	0.011701	-0.00217411	-3.51968	-0.0411344	0.155421	-0.00190591	-0.0782387	-0.0648763	0.00226393	-0.0730898	-0.0706159	0.00226393	-0.0730898	-0.0706159	-3.51972	-0.0389388	0.157789	0.00140613	-0.0733324	-0.0790846	0.379711	0.371693	1.93256	0.173754	0.0936549	-0.0322206	0.161337	0.013462	-0.0188989	0.114923	-0.0149864	-0	0.820167	0.45725	3.72573	0	0	0	0	0	0	-0.0579449	0.0752237	0.00121724	0.0116864	0.010469	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
