time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x_pred;y_pred;z_pred;dx_pred;dy_pred;dz_pred;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;gps_accuracy;height_accuracy;gps_sat_num;gps_status
13,6819;-5,424;-0;50;-50;1450;0;-0,0796491;-0,183453;-0,00106216;-0,000283869;-0,000653825;-3,78554e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796491;-0,183453;-0,00106216;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0;-0;9,81;-0,0123918;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,6884;-5,424;-0;100;-100;1500;0;-0,079649;-0,183453;-0,00104826;-0,000801747;-0,00184664;-1,06013e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079649;-0,183453;-0,00104826;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550192;-0,0685024;3,67722;-0,0125664;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,6983;-5,424;-0;150;-150;1550;0;-0,079681;-0,183439;-0,00107972;-0,0015925;-0,00366708;-2,13164e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079681;-0,183439;-0,00107972;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550191;-0,0695725;3,67724;-0,0125664;-0,0113446;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7083;-5,424;-0;200;-198;1600;0;-0,079681;-0,183439;-0,00107972;-0,00239067;-0,00550459;-3,2132e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079681;-0,183439;-0,00107972;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550195;-0,069573;3,67719;-0,0125664;-0,0113446;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7182;-5,424;-0;250;-198;1650;0;-0,079681;-0,183439;-0,00107972;-0,00317959;-0,00732082;-4,28223e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079681;-0,183439;-0,00107972;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550195;-0,069573;3,67719;-0,0125664;-0,0113446;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7282;-5,424;-0;263;-198;1700;0;-0,0796811;-0,183439;-0,00109362;-0,00397735;-0,0091574;-5,37716e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796811;-0,183439;-0,00109362;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549129;-0,069573;3,67719;-0,0123918;-0,0113446;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7382;-5,424;-0;263;-198;1750;0;-0,0796811;-0,183439;-0,00109362;-0,00477425;-0,010992;-6,4709e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796811;-0,183439;-0,00109362;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549131;-0,0695732;3,67717;-0,0123918;-0,0113446;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7483;-5,424;-0;263;-198;1800;0;-0,0796813;-0,183438;-0,00110753;-0,00557711;-0,0128403;-7,58685e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796813;-0,183438;-0,00110753;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,548065;-0,0695732;3,67717;-0,0122173;-0,0113446;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7583;-5,424;-0;263;-198;1850;0;-0,0796811;-0,183439;-0,00106161;-0,00637536;-0,014678;-8,65036e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796811;-0,183439;-0,00106161;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549132;-0,0685031;3,67715;-0,0123918;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7683;-5,424;-0;263;-198;1900;0;-0,0796811;-0,183439;-0,00106161;-0,00717106;-0,0165098;-9,71049e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796811;-0,183439;-0,00106161;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549127;-0,0685024;3,67722;-0,0123918;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
