time 	e1	e2	e1Ori	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel	var	ampli
8.12997	-0.294425	-0.101859	-0.294425	48	50	1450	-50	0.121594	0.258688	0.0212262	0.000813096	0.00172985	0.00014194	-3.57902	-0.0135992	0.127324	0.0285499	-0.12662	0	0.0261435	-0.127139	0.0123975	0.0261435	-0.614046	-0.0303261	-3.57902	-0.0135992	0.127324	0.0261435	-0.614046	-0.0303261	0.19903	0.0772452	2.8346	0.150143	0.132068	0.0212262	0.0678667	0.0857409	-0.0360633	0.161354	-0.0265881	-0	0	0	9.81	0	0	0	0	0	0	-0.118508	0.0261799	-0.0189653	-0.0537931	-0.0348207	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.13332	-0.294425	-0.101859	-0.294425	48	100	1500	-83	0.121587	0.258739	0.0213232	0.00122005	0.00259584	0.000213308	-3.57902	-0.0135992	0.127324	0.0285499	-0.12662	0	0.0261435	-0.127139	0.0123975	0.0261435	-0.614046	-0.0303261	-3.57902	-0.0135992	0.127324	0.0261435	-0.614046	-0.0303261	0.19903	0.0772452	2.8346	0.150137	0.132119	0.0213232	0.0678667	0.0857409	-0.0360633	0.161354	-0.0265881	-0	1.17104	0.161894	3.70677	0	0	0	0	0	0	-0.118857	0.026529	-0.0189653	-0.0537931	-0.0348207	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.1433	-0.294425	-0.101859	-0.294425	48	150	1550	-83	0.121584	0.258739	0.0213494	0.00243431	0.00517987	0.000426524	-3.57902	-0.0135992	0.127324	0.0285499	-0.12662	0	0.0261435	-0.127139	0.0123975	0.0261435	-0.614046	-0.0303261	-3.57902	-0.0135992	0.127324	0.0261435	-0.614046	-0.0303261	0.19903	0.0772452	2.8346	0.150134	0.132119	0.0213494	0.0678667	0.0857409	-0.0360633	0.161354	-0.0265881	-0	1.17206	0.16189	3.7069	0	0	0	0	0	0	-0.119031	0.026529	-0.0189653	-0.0537931	-0.0348207	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.1511	-0.294425	-0.0955033	-0.294425	33	189	1600	-44	0.136752	0.189152	0.0213722	0.00350084	0.00665507	0.000593206	-3.57902	-0.0135992	0.119379	0.0135427	-0.0568923	0	0.0124613	-0.0571389	-0.0303261	0.0124613	0.0203133	-0.0303261	-3.57902	-0.0135992	0.119379	0.0124613	0.0203133	-0.0303261	0.250314	0.332834	2.46573	0.150295	0.13226	0.0213722	0.0679393	0.0858326	-0.0361018	0.161527	-0.0249558	-0	1.17205	0.161889	3.70694	0	0	0	0	0	0	-0.119031	0.026529	-0.0189653	-0.0537931	-0.0348207	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.15337	-0.294425	-0.0955033	-0.294425	33	189	1650	-44	0.136749	0.189178	0.0214207	0.00381057	0.00708356	0.000641724	-3.57902	-0.0135992	0.119379	0.0135427	-0.0568923	0	0.0124613	-0.0571389	-0.0303261	0.0124613	0.0203133	-0.0303261	-3.57902	-0.0135992	0.119379	0.0124613	0.0203133	-0.0303261	0.250314	0.332834	2.46573	0.150292	0.132286	0.0214207	0.0679393	0.0858326	-0.0361018	0.161527	-0.0249558	-0	1.17309	0.162953	3.70697	0	0	0	0	0	0	-0.119206	0.0267035	-0.0189653	-0.0537931	-0.0348207	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.1633	-0.294425	-0.0955033	-0.294425	33	189	1700	-44	0.136739	0.189203	0.0215217	0.00516812	0.00896197	0.000855392	-3.57902	-0.0135992	0.119379	0.0135427	-0.0568923	0	0.0124613	-0.0571389	-0.0303261	0.0124613	0.0203133	-0.0303261	-3.57902	-0.0135992	0.119379	0.0124613	0.0203133	-0.0303261	0.250314	0.332834	2.46573	0.150282	0.132311	0.0215217	0.0679393	0.0858326	-0.0361018	0.161527	-0.0249558	-0	1.17621	0.164016	3.70704	0	0	0	0	0	0	-0.11973	0.0268781	-0.0189653	-0.0537931	-0.0348207	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.1733	-0.294425	-0.0955033	-0.294425	33	189	1750	-44	0.13673	0.189177	0.021578	0.0065357	0.0108541	0.00107122	-3.57902	-0.0135992	0.119379	0.0135427	-0.0568923	0	0.0124613	-0.0571389	-0.0303261	0.0124613	0.0203133	-0.0303261	-3.57902	-0.0135992	0.119379	0.0124613	0.0203133	-0.0303261	0.250314	0.332834	2.46573	0.150273	0.132285	0.021578	0.0679393	0.0858326	-0.0361018	0.161527	-0.0249558	-0	1.17932	0.162948	3.70718	0	0	0	0	0	0	-0.120253	0.0267035	-0.0189653	-0.0537931	-0.0348207	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.18189	-0.297467	-0.0950883	-0.297467	31	139	1800	-42	0.138103	0.118462	0.0216336	0.00772269	0.0118723	0.00125716	-3.57955	-0.012152	0.11886	0.0127866	0.0131316	0	0.0130586	0.0128611	-0.00877712	0.0130586	0.0205451	-0.00877712	-3.57993	-0.0127616	0.119379	0.0124613	0.0203133	-0.017284	0.284677	0.273506	1.94951	0.150889	0.131594	0.0216336	0.0684301	0.0861944	-0.0366285	0.16103	-0.0248109	-0	1.17931	0.162946	3.70726	0	0	0	0	0	0	-0.120253	0.0267035	-0.0209318	-0.0542401	-0.0333022	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.18337	-0.297467	-0.0950883	-0.297467	31	118	1850	-42	0.138093	0.118462	0.0217126	0.00792665	0.0120473	0.00128923	-3.57955	-0.012152	0.11886	0.0127866	0.0131316	0	0.0130586	0.0128611	-0.00877712	0.0130586	0.0205451	-0.00877712	-3.57993	-0.0127616	0.119379	0.0124613	0.0203133	-0.017284	0.284677	0.273506	1.94951	0.15088	0.131593	0.0217126	0.0684301	0.0861944	-0.0366285	0.16103	-0.0248109	-0	1.18243	0.162943	3.70733	0	0	0	0	0	0	-0.120777	0.0267035	-0.0209318	-0.0542401	-0.0333022	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.19329	-0.297467	-0.0950883	-0.297467	31	118	1900	-42	0.13809	0.118462	0.0217389	0.00929623	0.0132222	0.00150483	-3.57955	-0.012152	0.11886	0.0127866	0.0131316	0	0.0130586	0.0128611	-0.00877712	0.0130586	0.0205451	-0.00877712	-3.57993	-0.0127616	0.119379	0.0124613	0.0203133	-0.017284	0.284677	0.273506	1.94951	0.150876	0.131593	0.0217389	0.0684301	0.0861944	-0.0366285	0.16103	-0.0248109	-0	1.18345	0.162941	3.70744	0	0	0	0	0	0	-0.120951	0.0267035	-0.0209318	-0.0542401	-0.0333022	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
