time ;e1;e2;e1Ori;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;err_sti_x;err_sti_y;err_sti_z;err_sti_dx;err_sti_dy;err_sti_dz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;var;ampli
0,120114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;0;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,14591;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,823;0,501471;0,945415;-0,0181978;0,0675932;0,07;0;0,07;0,07;0;2,06242;1,15493;-3,823;0,501471;0,945415;0;2,06242;1,15493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,262989;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,183946;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,823;0,554719;0,975234;0,0290204;0,153811;0,14;0,07;0,14;0,14;0,733335;2,06242;1,15493;-3,823;0,554719;0,975234;0,733335;2,06242;1,15493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,277164;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,209246;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,81851;0,5679;0,975234;0,0763843;0,240552;0,21;0,14;0,21;0,21;0,733335;0,81141;0,57675;-3,81851;0,5679;0,975234;0,733335;0,81141;0,57675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,280536;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,246072;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,81851;0,5679;0,968887;0,0285017;0,153908;0,27137;0,07;0,14;0,27137;-0,0966096;-0,422217;0,27137;-3,81851;0,5679;0,968887;-0,0966096;-0,422217;0,27137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,280536;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,28083;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,82206;0,561448;0,9589;-0,0192391;0,0673042;0,20137;0;0,07;0,20137;-0,456497;-0,422217;-1,09977;-3,82206;0,561448;0,9589;-0,456497;-0,422217;-1,09977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,278428;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,309267;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,82206;0,561448;0,966563;-0,0886699;0,0555043;0,27137;-0,07;0,0777372;0,27137;-0,0966096;0,0777372;0,27137;-3,82206;0,561448;0,966563;-0,0966096;0,0777372;0,27137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,278428;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,342768;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,81249;0,561448;0,966563;-0,056229;0,0647776;0,34137;-0,0362598;0,0777372;0,34137;-0,0362598;0,0777372;0,687813;-3,81249;0,561448;0,966563;-0,0362598;0,0777372;0,687813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,278428;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,376897;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,81128;0,56366;0,989602;0,0110085;0,0840255;0,41137;0,0337402;0,0777372;0,41137;0,936699;0,0777372;1,26173;-3,81128;0,56366;0,989602;0,936699;0,0777372;1,26173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,279222;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,412863;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,81249;0,574359;0,989602;-0,0369811;-0,00265166;0,48137;-0,0362598;0,00773715;0,48137;-0,0362598;-0,099078;0,687813;-3,81249;0,574359;0,989602;-0,0362598;-0,099078;0,687813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,281809;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
