time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel	gps_accuracy	height_accuracy	gps_sat_num	gps_status
10.064	1.19275	-1.92601	50	50	1450	0	-0.0710531	0.0922327	-0.207687	-0.000189285	0.000245708	-0.000553279	0.0394829	0.0669291	-0.0739942	-0.00808761	0.00794459	0.0537352	0	0	0	0	0	0	0.033336	0.0598517	-0.034	0	0.01	0.054	0.205665	0.0810057	2.82845	-0.0791407	0.100177	-0.153952	0.0472797	-0.0806327	0.0801458	0.047567	-0.150257	-0	0	-0	9.81	0.0638791	-0.0169297	0	-2.10377	-0.861299	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.0715	1.19274	-1.92942	100	99	1500	0	-0.0711355	0.0920921	-0.205792	-0.000721735	0.000935017	-0.00209363	0.0394829	0.0670089	-0.0705792	-0.00795993	0.00796934	0.051741	0	0	0	0	0	0	0.033336	0.0598517	-0.031	0	0.01	0.052	0.129036	0.165884	2.70047	-0.0790955	0.100061	-0.154051	0.0471903	-0.080577	0.0800895	0.0474775	-0.150373	-0	0.0860911	-0.10998	3.3797	0.0638791	-0.0171042	0	-2.10325	-0.861564	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.0813	1.19274	-1.92956	150	99	1550	0	-0.0711357	0.0920303	-0.206803	-0.00142143	0.00184023	-0.00412775	0.0394829	0.0670356	-0.0704407	-0.00797286	0.00801153	0.0527467	0	0	0	0	0	0	0.033336	0.0598517	-0.031	0	0.01	0.052	0.0467625	0.171413	2.57249	-0.0791085	0.100042	-0.154057	0.0471743	-0.080582	0.0800943	0.0474616	-0.150378	-0	0.0860551	-0.109934	3.3824	0.0638791	-0.0171042	0	-2.10308	-0.861652	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.0917	1.19272	-1.93291	200	99	1600	0	-0.0710892	0.0917681	-0.207257	-0.00215926	0.00279269	-0.00627887	0.039483	0.0671104	-0.0670867	-0.00794533	0.0081632	0.0530903	0	0	0	0	0	0	0.033336	0.0598517	-0.028	0	0.01	0.05	-0.04112	0.176942	2.4445	-0.0790345	0.0999313	-0.154166	0.0470886	-0.0805261	0.0800379	0.0473759	-0.150491	-0	0.0849532	-0.111082	3.38089	0.0640536	-0.0172788	0	-2.10259	-0.861899	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.1012	1.19271	-1.9383	250	98	1650	0	-0.07101	0.0912797	-0.207654	-0.00283506	0.0036614	-0.00825511	0.0394834	0.0672091	-0.0617005	-0.00793507	0.00844392	0.0533071	0	0	0	0	0	0	0.033336	0.0598517	-0.023	0	0.01	0.046	-0.134569	0.18063	2.31652	-0.0789451	0.0997236	-0.154347	0.046963	-0.0804296	0.0799409	0.0472501	-0.150673	-0	0.0849625	-0.111094	3.38019	0.0640536	-0.0172788	0	-2.10195	-0.862222	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.1113	1.19269	-1.9388	253	98	1700	0	-0.0705797	0.0909424	-0.213589	-0.00354305	0.00457364	-0.0103976	0.0394845	0.0673138	-0.0612034	-0.00841641	0.00870706	0.0592211	0	0	0	0	0	0	0.033336	0.0598517	-0.023	0	0.01	0.046	-0.144343	0.186104	2.18853	-0.0789961	0.0996495	-0.154368	0.0469022	-0.0804497	0.0799597	0.0471896	-0.15069	-0	0.0849707	-0.111104	3.37957	0.0640536	-0.0172788	0	-2.10128	-0.86256	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.1214	1.19268	-1.94318	252	97	1750	0	-0.0698777	0.0905174	-0.218737	-0.00425014	0.00548959	-0.012611	0.0394862	0.0674111	-0.0568195	-0.00905475	0.00898189	0.0642391	0	0	0	0	0	0	0.033336	0.0598517	-0.019	0	0.01	0.044	-0.146634	0.189623	2.06055	-0.0789324	0.0994993	-0.154498	0.0467927	-0.0803755	0.079885	0.0470801	-0.150838	-0	0.0850843	-0.112377	3.37097	0.0640536	-0.0174533	0	-2.10067	-0.862869	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.1312	1.19266	-1.9437	251	97	1800	0	-0.0689084	0.090142	-0.227242	-0.00492806	0.0063764	-0.0148466	0.0394884	0.0675159	-0.0562984	-0.0100727	0.00928398	0.072722	0	0	0	0	0	0	0.033336	0.0598517	-0.019	0	0.01	0.044	-0.148813	0.195041	1.93256	-0.0789811	0.099426	-0.15452	0.0467329	-0.0803942	0.0799024	0.0470206	-0.150856	-0	0.0851829	-0.112507	3.3635	0.0640536	-0.0174533	0	-2.10002	-0.863199	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.1413	1.19264	-1.94808	250	96	1850	0	-0.0678349	0.0895534	-0.234079	-0.00561	0.00727668	-0.0171998	0.0394908	0.0676251	-0.0519235	-0.0111163	0.00968994	0.0794261	0	0	0	0	0	0	0.033336	0.0598517	-0.015	0	0.01	0.041	-0.150881	0.198394	1.80458	-0.0789512	0.0992434	-0.154653	0.0466185	-0.0803234	0.0798308	0.0469062	-0.151002	-0	0.0864726	-0.112722	3.35121	0.0638791	-0.0174533	0	-2.09934	-0.863541	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
10.1513	1.19262	-1.95345	248	96	1900	0	-0.0664461	0.0888847	-0.241839	-0.00627792	0.00817015	-0.0196308	0.0394927	0.0677361	-0.0465509	-0.0123943	0.0101478	0.0869944	0	0	0	0	0	0	0.033336	0.0598517	-0.01	0	0.01	0.038	-0.150714	0.203756	1.67659	-0.0788403	0.0990325	-0.154844	0.0464895	-0.0802299	0.0797367	0.046777	-0.151182	-0	0.0854763	-0.112894	3.3413	0.0640536	-0.0174533	0	-2.09865	-0.86389	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	1798	2401	8	56579	
