time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x_pred	y_pred	z_pred	dx_pred	dy_pred	dz_pred	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel	gps_accuracy	height_accuracy	gps_sat_num	gps_status
13.0738	0.106525	-2.016	50	19	1450	0	-0.0688898	0.0280265	-0.00878212	-0.000461699	0.000187833	-5.88578e-05	0.011112	-0.00121851	0.016	-0.0105675	0.0259128	-0.166652	0	0	0	0	0	0	0.011112	-0.00121851	0.016	0.01	0.03	-0.166	0.205665	0.0307843	2.82845	-0.0794573	0.0539392	-0.175434	-0.00907164	-3.12171e-05	-2.77117e-06	0.102191	-0.171682	0	0	0	9.81	0	0	0	0	0	0	0.0446804	0.000523599	0	3.03237	0.109004	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2426	2672	8	56579	
13.0771	0.106525	-2.016	100	19	1500	0	-0.0688913	0.0280249	-0.00877499	-0.000690487	0.000280904	-8.79995e-05	0.011112	-0.00121851	0.016	-0.0105966	0.0258837	-0.166655	0	0	0	0	0	0	0.0112126	-0.000916681	0.0143299	0.01	0.03	-0.166	0.129036	0.0318458	2.70047	-0.0794879	0.0539086	-0.17543	-0.00907164	-3.12171e-05	-2.77117e-06	0.102191	-0.171682	0	0.20125	0.00428925	3.66611	0	0	0	0	0	0	0.0445059	0.000698132	0	3.03237	0.109004	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2426	2672	8	56579	
13.087	0.106525	-2.016	150	19	1550	0	-0.0688534	0.0280156	-0.00975242	-0.00137186	0.000558146	-0.000184509	0.011112	-0.00121851	0.016	-0.0106745	0.0259391	-0.165645	0	0	0	0	0	0	0.0112796	-0.000715621	0.0132341	0.0111492	0.030172	-0.149195	0.0467625	0.0329073	2.57249	-0.0795279	0.0539546	-0.175397	-0.00907164	-3.12171e-05	-2.77117e-06	0.102191	-0.171682	0	0.202321	0.00214462	3.66612	0	0	0	0	0	5.58767e-06	0.0443314	0.000349066	0	3.03237	0.109004	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2426	2672	8	56579	
13.097	0.106525	-2.016	200	19	1600	0	-0.0688534	0.0280156	-0.00975242	-0.00205819	0.000837406	-0.000281722	0.011112	-0.00121851	0.016	-0.0106745	0.0259391	-0.165645	0	0	0	0	0	0	0.0113402	-0.000612863	0.013072	0.0136176	0.0306254	-0.109049	-0.04112	0.0339688	2.4445	-0.0795279	0.0539546	-0.175397	-0.00907164	-3.12171e-05	-2.77117e-06	0.102191	-0.171682	0	0.202367	0.00214511	3.66471	-6.7355e-07	-2.02065e-06	1.11809e-05	0	0	1.22823e-05	0.0443314	0.000349066	0	3.03237	0.109004	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2426	2672	8	56579	
13.1069	-0	-2.02	246	26	1650	0	-0.0993137	0.0372864	-0.0113491	-0.00305043	0.00120993	-0.00039511	0	0	0.02	0.025266	0.0239713	-0.164049	0	0	0	0	0	0	0.000576853	5.5772e-06	0.0170986	0.0320365	0.000621351	-0.112068	-0.127198	0.0479358	2.31652	-0.0740477	0.0612578	-0.175398	0	0	-0	0.102147	-0.171948	-0	0.203439	0.00107256	3.66471	-7.55665e-05	2.73084e-06	5.61042e-05	0.000125163	-0.000200332	-9.26577e-05	0.0441568	0.000174533	0	0	0	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2428	2673	8	56579	
13.1169	-0	-2.02	246	26	1700	0	-0.0993242	0.0372671	-0.0113212	-0.00404278	0.00158227	-0.000508221	0	0	0.02	0.0252046	0.0239458	-0.164062	0	0	0	0	0	0	0.000622325	9.63e-06	0.0166902	0.0304302	0.000727458	-0.106399	-0.131052	0.0493884	2.18853	-0.0741196	0.0612129	-0.175383	0	0	-0	0.102147	-0.171948	-0	0.20566	0.00214591	3.66241	-0.000163207	7.46724e-06	0.000109646	0.000251772	-0.000437015	-0.000525066	0.0438078	0.000349066	0	0	0	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2428	2673	8	56579	
13.127	-0	-2.02	246	26	1750	0	-0.0993242	0.0372671	-0.0113212	-0.00504109	0.00195684	-0.00062201	0	0	0.02	0.0252046	0.0239458	-0.164062	0	0	0	0	0	0	0.000798959	1.37983e-05	0.0158695	0.0279389	0.00110881	-0.0933983	-0.134907	0.050841	2.06055	-0.0741196	0.0612129	-0.175383	0	0	-0	0.102147	-0.171948	-0	0.205659	0.0021459	3.66245	-0.000168948	7.41174e-06	0.00013852	0.000231505	-0.000443199	-0.00105182	0.0438078	0.000349066	0	0	0	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2428	2673	8	56579	
13.137	-0	-2.02	246	26	1800	0	-0.0993763	0.0372482	-0.0103116	-0.00604111	0.00233167	-0.000725776	0	0	0.02	0.0252154	0.0239198	-0.16507	0	0	0	0	0	0	0.000772887	1.79906e-05	0.0158067	0.0261747	0.00140513	-0.0980627	-0.138761	0.0522936	1.93256	-0.0741609	0.061168	-0.175381	0	0	-0	0.102147	-0.171948	-0	0.206731	0.00321885	3.66245	-0.000175161	7.3156e-06	0.000171562	0.00022721	-0.000450461	-0.00164685	0.0436332	0.000523599	0	0	0	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2428	2673	8	56579	
13.1471	-0	-2.02	246	26	1850	0	-0.0993763	0.0372464	-0.0103181	-0.00703547	0.00270436	-0.000829019	0	0	0.02	0.0252154	0.023891	-0.165074	0	0	0	0	0	0	0.000770008	1.84379e-05	0.015779	0.0260503	0.00145167	-0.10179	-0.142616	0.0537462	1.80458	-0.0741609	0.0611374	-0.175392	0	0	-0	0.102147	-0.171948	-0	0.206682	0.00429078	3.6639	-0.000183159	7.17747e-06	0.000212913	0.000247844	-0.000461562	-0.00237366	0.0436332	0.000698132	0	0	0	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2428	2673	8	56579	
13.157	-0	-2.02	246	26	1900	0	-0.0993763	0.0372464	-0.0103181	-0.00802238	0.00307425	-0.000931489	0	0	0.02	0.0252154	0.023891	-0.165074	0	0	0	0	0	0	0.000766937	1.88577e-05	0.0157526	0.0259286	0.00149758	-0.105557	-0.14647	0.0551988	1.67659	-0.0741609	0.0611374	-0.175392	0	0	-0	0.102147	-0.171948	-0	0.206683	0.00429079	3.66389	-0.000190915	6.99693e-06	0.000254993	0.000286231	-0.000475662	-0.00305541	0.0436332	0.000698132	0	0	0	-700	700	-600	1700	-0	0	-0	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07	2428	2673	8	56579	
