time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x_pred;y_pred;z_pred;dx_pred;dy_pred;dz_pred;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;err_sti_x;err_sti_y;err_sti_z;err_sti_dx;err_sti_dy;err_sti_dz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;gps_accuracy;height_accuracy;gps_sat_num;gps_status
13,2459;-0,107081;-2,091;50;50;1450;0;-0,137894;0,123073;-0,1624;-0,00111612;0,000996153;-0,00131446;-0,011112;-0,0146583;0,091;0,0249641;0,048684;-0,180742;0;0;0;0;0;0;0;0;0;0;0;0;0,205665;0,0810057;2,82845;-0,11293;0,171757;-0,343142;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0;-0;9,81;0;0;0;0;0;0;-0,0123918;-0,0122173;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,2478;-0,107081;-2,091;100;100;1500;0;-0,138001;0,123048;-0,162328;-0,0013717;0,00122404;-0,00161509;-0,011112;-0,0146583;0,091;0,0248611;0,0486889;-0,180755;0;0;0;0;0;0;0;0;0;0;0;0;0,129036;0,167558;2,70047;-0,11314;0,171737;-0,343082;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,573248;-0,0777625;3,44489;0;0;0;0;0;0;-0,0129154;-0,0122173;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,2581;-0,107081;-2,091;150;104;1550;0;-0,138001;0,123048;-0,162328;-0,00279973;0,00249734;-0,00329486;-0,011112;-0,0146583;0,091;0,0248611;0,0486889;-0,180755;0;0;0;0;0;0;0;0;0;0;0;0;0,0467625;0,180064;2,57249;-0,11314;0,171737;-0,343082;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,57324;-0,0777614;3,44499;0;0;0;0;0;0;-0,0129154;-0,0122173;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,2679;-0,107081;-2,091;200;104;1600;0;-0,137993;0,123027;-0,16337;-0,00414627;0,00369785;-0,00488903;-0,011112;-0,0146583;0,091;0,0248821;0,0486092;-0,179772;0;0;0;0;0;0;0;0;0;0;0;0;-0,04112;0,185873;2,4445;-0,113111;0,171637;-0,343143;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,573243;-0,0755402;3,44495;0;0;0;0;0;0;-0,0129154;-0,0118682;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,2779;-0,107081;-2,091;250;104;1650;0;-0,138035;0,122982;-0,164389;-0,0055309;0,00493147;-0,00653802;-0,011112;-0,0146583;0,091;0,0248637;0,0485349;-0,178794;0;0;0;0;0;0;0;0;0;0;0;0;-0,134569;0,191682;2,31652;-0,113171;0,171517;-0,343183;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,574489;-0,0733363;3,44341;0;0;0;0;0;1,21112e-05;-0,01309;-0,0115192;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,2879;-0,107081;-2,091;294;104;1700;0;-0,138035;0,122982;-0,164389;-0,00691084;0,00616092;-0,00818141;-0,011112;-0,0146583;0,091;0,0248637;0,0485349;-0,178794;0;0;0;0;0;0;0;0;0;0;0;0;-0,222156;0,19749;2,18853;-0,113171;0,171517;-0,343183;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,574625;-0,0733536;3,4419;-3,99719e-06;-1,59888e-06;1,44698e-05;0;0;2,81256e-05;-0,01309;-0,0115192;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,298;-0,107081;-2,091;294;104;1750;0;-0,138074;0,122987;-0,16741;-0,00830414;0,00740198;-0,00987075;-0,011112;-0,0146583;0,091;0,024903;0,0484697;-0,175803;0;0;0;0;0;0;0;0;0;0;0;0;-0,22869;0,203299;2,06055;-0,113171;0,171457;-0,343213;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,574628;-0,0722427;3,44186;-1,12434e-05;-4,49736e-06;4,07011e-05;-5,96118e-06;-2,34794e-06;-1,37736e-05;-0,01309;-0,0113446;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,3078;-0,107081;-2,091;294;104;1800;0;-0,138074;0,122987;-0,16741;-0,00966072;0,00861033;-0,0115156;-0,011112;-0,0146583;0,091;0,024903;0,0484697;-0,175803;0;0;0;0;0;0;0;0;0;0;0;0;-0,235224;0,209107;1,93256;-0,113171;0,171457;-0,343213;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,575024;-0,0722925;3,43747;-1,96386e-05;-7,85529e-06;7,04479e-05;-1,71641e-05;-1,06677e-05;-0,000165245;-0,01309;-0,0113446;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,3178;-0,107081;-2,091;294;104;1850;0;-0,138024;0,122992;-0,170503;-0,0110428;0,00984185;-0,0132228;-0,011112;-0,0146583;0,091;0,025033;0,0484054;-0,172798;0;0;0;0;0;0;0;0;0;0;0;0;-0,241758;0,214916;1,80458;-0,112991;0,171397;-0,343302;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,571705;-0,0711808;3,43743;-3,50448e-05;-1,40595e-05;0,000121811;-4,0368e-05;-3,67405e-05;-0,000597783;-0,0125664;-0,0111701;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,3279;-0,107081;-2,091;294;104;1900;0;-0,137918;0,122814;-0,171734;-0,0124359;0,0110824;-0,0149575;-0,011112;-0,0146583;0,091;0,0252017;0,0482882;-0,171805;0;0;0;0;0;0;0;0;0;0;0;0;-0,248292;0,220724;1,67659;-0,112717;0,171102;-0,343539;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,565456;-0,0667792;3,43294;-5,60355e-05;-2,27008e-05;0,000175276;-8,38275e-05;-9,20992e-05;-0,00159276;-0,0115192;-0,010472;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,3379;-0,107081;-2,091;294;104;1950;0;-0,137918;0,122814;-0,171734;-0,0138109;0,0123068;-0,0166697;-0,011112;-0,0146583;0,091;0,0252017;0,0482882;-0,171805;0;0;0;0;0;0;0;0;0;0;0;0;-0,254826;0,226533;1,54861;-0,112717;0,171102;-0,343539;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,565617;-0,0667982;3,43113;-7,66172e-05;-3,17918e-05;0,000228547;-9,41658e-05;-0,000163602;-0,00257277;-0,0115192;-0,010472;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
13,3479;-0,107081;-2,091;294;104;2000;0;-0,137802;0,122701;-0,172923;-0,015186;0,0135313;-0,0183953;-0,011112;-0,0146583;0,091;0,02539;0,0482666;-0,170783;0;0;0;0;0;0;0;0;0;0;0;0;-0,26136;0,232341;1,42063;-0,112412;0,170967;-0,343706;0,0177488;-0,000726868;6,48615e-05;0,198901;-0,346587;0;0,557858;-0,0656854;3,43108;-9,76013e-05;-4,1441e-05;0,000284342;-6,85804e-05;-0,000242162;-0,00353873;-0,0102974;-0,0102974;0;0,92215;0,796903;-850;850;-600;1700;-0;0;-10;-0;0;-0;250;1,2;0,4;177;-1,2;-1;2555;0,07;2326;3923;9;56579;
