time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.135785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.162097	0	0	0	0	0	0	0	0	0	0	0	0	-3.19408	0	0	-0.799688	0	0	0	0	0	-5.68472	0.123396	0	0	0	0	0	0	0.0217032	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.199956	0	0	0	0	0	0	0	0	0	0	0	0	-3.2009	0.115711	-0.012189	-1.57308	0.00461237	0.000418074	-0.182074	-0.0548025	0.800232	-7.85775	0.308188	0.00534711	0	0	0	0	0	0.0361429	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.226542	0	0	0	0	0	0	0	0	0	0	0	0	-3.19453	0.115711	-0.012189	-2.09931	0.00904548	0.00115777	0.193905	-1.26704	1.00728	-8.93074	0.359696	0.00991267	0	0	0	0	0	0.0361429	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.262492	0	0	0	0	0	0	0	0	0	0	0	0	-3.19606	0.0927022	0.0834005	-2.57278	0.0136558	0.00902148	-0.0955807	-1.25629	1.00728	-9.06225	0.42829	0.0460421	0	0	0	0	0	0.042248	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.293674	0	0	0	0	0	0	0	0	0	0	0	0	-3.19606	0.018462	0.0834005	-2.8922	0.0112874	0.0118963	-0.203349	-2.37362	-2.84576	-8.70706	0.609058	0.0344631	0	0	0	0	0	0.0676482	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.328	0	0	0	0	0	0	0	0	0	0	0	0	-3.20032	0.0832558	0.00669109	-3.14328	0.0217771	0.00732527	0.0444835	1.88656	-2.84576	-7.92108	0.43761	0.00146955	0	0	0	0	0	0.046064	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.363285	0	0	0	0	0	0	0	0	0	0	0	0	-3.20087	0.0765335	0.00669109	-3.31546	0.029038	0.0123114	-0.0244963	-0.18962	2.55748	-6.86436	0.404623	0.0424331	0	0	0	0	0	0.0468024	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.390817	0	0	0	0	0	0	0	0	0	0	0	0	-3.20087	0.0765335	0.096906	-3.38557	0.0356618	0.0283308	-0.0244963	-0.18962	2.55748	-5.89861	0.372001	0.101793	0	0	0	0	0	0.0468024	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.426237	0	0	0	0	0	0	0	0	0	0	0	0	-3.20208	-0.00906488	0.0969114	-3.45332	0.0322227	0.04058	-0.0443692	-0.390678	0.208836	-4.75079	0.419446	0.124918	0	0	0	0	0	0.0734043	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
