time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	gravity
0.135677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.163845	0	0	0	0	0	0	0	0	0	0	0	0	-3.38344	0.0478408	-0.331469	-0.0296712	0.398299	-2.76729	0	0	0	0	0.399403	-2.76729	0	0	-0.0743575	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.196452	0	0	0	0	0	0	0	0	0	0	0	0	-3.39512	0.0721351	-0.331469	-0.467879	0.827899	-2.76729	0	0	0	-0.401039	0.862262	-2.76729	0	0	-0.079052	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.230933	0	0	0	0	0	0	0	0	0	0	0	0	-3.38344	0.104731	-0.267473	0.321261	1.03337	11.3087	0	0	0	0.414457	0.999647	11.3087	0	0	-0.0916183	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.260048	0	0	0	0	0	0	0	0	0	0	0	0	-3.39171	0.104731	-0.267473	-0.490815	0.958763	11.3087	0	0	0	-0.401039	0.999647	11.3087	0	0	-0.0916183	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.297272	0	0	0	0	0	0	0	0	0	0	0	0	-3.39086	0.114483	-0.66221	-0.0557255	0.852144	0.619988	0	0	0	0.0228434	0.853659	0.619988	0	0	-0.0920544	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.324965	0	0	0	0	0	0	0	0	0	0	0	0	-3.39171	0.114483	-0.66221	-0.257164	0.833549	0.619988	0	0	0	-0.179452	0.853659	0.619988	0	0	-0.0920544	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.365535	0	0	0	0	0	0	0	0	0	0	0	0	-3.39086	0.114483	-0.337771	-0.0557255	0.852144	0.619988	0	0	0	0.0228434	0.853659	0.619988	0	0	-0.0920544	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.391468	0	0	0	0	0	0	0	0	0	0	0	0	-3.37702	0.14279	-0.337771	0.355162	1.06398	-2.63463	0	0	0	0.461747	1.02224	-2.63463	0	0	-0.102091	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.425973	0	0	0	0	0	0	0	0	0	0	0	0	-3.37702	0.0422226	-0.365863	0.694364	-3.21586	-2.63463	0	0	0	0.461747	-3.2574	-2.63463	0	0	-0.0718393	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
