time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.124453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.154928	0	0	0	0	0	0	0	0	0	0	0	0	-3.1718	-0.0134728	-0.610715	-0.721164	-0.000380988	-0.0147814	-0.580286	-0.154217	0	-4.59142	-0.2314	-0.0910485	0	0	0	0	0	-0.0497995	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.190333	0	0	0	0	0	0	0	0	0	0	0	0	-3.1718	-0.0570215	-0.769471	-1.41297	-0.00224718	-0.0492583	-0.571612	-0.183779	-7.08427	-6.30045	-0.649953	-0.259872	0	0	0	0	0	-0.101115	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.222076	0	0	0	0	0	0	0	0	0	0	0	0	-3.18971	-0.0570215	-0.610715	-1.96362	-0.000246075	-0.0763291	-1.08126	4.83937	5.20595	-7.34417	-0.727347	-0.301397	0	0	0	0	0	-0.101115	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.25456	0	0	0	0	0	0	0	0	0	0	0	0	-3.21579	0.319925	-0.279143	-2.40392	0.0200546	-0.0988226	0.371458	5.01901	-2.40177	-7.64127	-0.925804	-0.368368	0	0	0	0	0	-0.134577	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.290702	0	0	0	0	0	0	0	0	0	0	0	0	-3.21579	0.319925	-0.279143	-2.76927	0.0416873	-0.125553	0.625947	1.0484	-2.40177	-7.47939	-0.845908	-0.424373	0	0	0	0	0	-0.134577	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.317853	0	0	0	0	0	0	0	0	0	0	0	0	-3.18828	-0.190434	-0.601728	-2.9813	0.0317712	-0.17485	0.702089	0.99901	-2.85841	-7.10717	-0.314855	-0.567325	0	0	0	0	0	-0.060232	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.35564	0	0	0	0	0	0	0	0	0	0	0	0	-3.18813	-0.190434	-0.601728	-3.18792	0.0247049	-0.235415	0.508533	4.20864	-2.85841	-6.19445	-0.269592	-0.712832	0	0	0	0	0	-0.060232	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.382303	0	0	0	0	0	0	0	0	0	0	0	0	-3.18813	-0.114613	-0.454276	-3.27606	0.0220366	-0.276792	-0.358088	4.155	-2.85841	-5.47326	-0.372021	-0.793881	0	0	0	0	0	-0.0872374	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.4226	0	0	0	0	0	0	0	0	0	0	0	0	-3.16102	-0.114613	-0.454276	-3.36231	0.0080202	-0.3357	1.24784	-1.88057	-6.94976	-4.16748	-0.3474	-0.930349	0	0	0	0	0	-0.0872374	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.449456	0	0	0	0	0	0	0	0	0	0	0	0	-3.20452	-0.139732	-0.633766	-3.38926	-0.0112622	-0.403169	-1.60849	-2.11063	-6.94976	-3.67938	-0.340736	-1.09624	0	0	0	0	0	-0.0761555	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.484111	0	0	0	0	0	0	0	0	0	0	0	0	-3.16102	-0.194507	-0.7344	-3.38866	-0.0386575	-0.489285	1.19159	-1.9167	-6.94976	-2.58174	-0.303759	-1.28497	0	0	0	0	0	-0.0576146	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.519121	0	0	0	0	0	0	0	0	0	0	0	0	-3.18252	-0.139732	-0.689484	-3.39247	-0.0511065	-0.544779	-1.91455	1.90047	3.74911	-2.16334	-0.316761	-1.25991	0	0	0	0	0	-0.0761555	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.55234	0	0	0	0	0	0	0	0	0	0	0	0	-3.18252	-0.135166	-0.689484	-3.37383	-0.0718362	-0.595959	-0.179993	-2.28306	1.31559	-1.54065	-0.342555	-1.27763	0	0	0	0	0	-0.077269	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.584445	0	0	0	0	0	0	0	0	0	0	0	0	-3.18252	-0.135166	-0.689484	-3.3495	-0.0868002	-0.639246	-0.337173	-0.252903	1.31559	-1.0881	-0.327293	-1.26881	0	0	0	0	0	-0.077269	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.613005	0	0	0	0	0	0	0	0	0	0	0	0	-3.1756	-0.142424	-0.78296	-3.32186	-0.101979	-0.685922	-0.295116	-0.835822	1.31559	-0.747953	-0.326975	-1.28479	0	0	0	0	0	-0.0734914	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.650155	0	0	0	0	0	0	0	0	0	0	0	0	-3.1756	-0.165614	-0.78296	-3.29965	-0.121358	-0.732752	-0.322376	-0.835398	2.69625	-0.461872	-0.334246	-1.2514	0	0	0	0	0	-0.0671158	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.682584	0	0	0	0	0	0	0	0	0	0	0	0	-3.18827	-0.165614	-0.682786	-3.27981	-0.137638	-0.736327	-0.322376	-0.835398	9.54814	-0.281418	-0.344136	-1.06376	0	0	0	0	0	-0.0671158	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.714166	0	0	0	0	0	0	0	0	0	0	0	0	-3.18827	-0.201388	-0.682786	-3.25966	-0.157631	-0.748647	0.0969875	-0.958915	2.69625	-0.101863	-0.363413	-0.995006	0	0	0	0	0	-0.0569605	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.751486	0	0	0	0	0	0	0	0	0	0	0	0	-2.9936	-0.0805024	0.558014	-3.18698	-0.146274	-0.485232	-0.334313	3.71303	38.2632	0.326053	-0.21103	0.207481	0	0	0	0	0	-0.101126	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.780711	0	0	0	0	0	0	0	0	0	0	0	0	-2.9936	-0.205049	0.214424	-3.15238	-0.202057	-0.441196	-2.24594	-16.7323	-33.099	0.1466	-0.533921	-0.0559004	0	0	0	0	0	-0.0621521	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.819455	0	0	0	0	0	0	0	0	0	0	0	0	-3.14774	-0.205049	0.214424	-3.17166	-0.218586	-0.335024	-3.26646	-0.333714	-0.0389749	-0.266012	-0.509991	0.314215	0	0	0	0	0	-0.0621521	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.844971	0	0	0	0	0	0	0	0	0	0	0	0	-3.15055	-0.210083	0.212917	-3.17095	-0.227372	-0.242848	-0.232192	-0.312421	-0.0729415	-0.132552	-0.487478	0.541919	0	0	0	0	0	-0.0608065	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.883313	0	0	0	0	0	0	0	0	0	0	0	0	-3.14879	-0.210083	0.211051	-3.16742	-0.239105	-0.153168	0.0803823	-0.12553	-0.0729415	-0.0422336	-0.459681	0.727409	0	0	0	0	0	-0.0608065	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.912445	0	0	0	0	0	0	0	0	0	0	0	0	-3.14879	-0.132769	0.10566	-3.16244	-0.233098	-0.0986492	0.165101	-0.284643	-1.39898	0.015927	-0.401763	0.800076	0	0	0	0	0	-0.0857278	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.952281	0	0	0	0	0	0	0	0	0	0	0	0	-3.14441	-0.132769	0.0970835	-3.15666	-0.230567	-0.0445587	0.191054	-0.586638	-1.39898	0.0586569	-0.349238	0.842775	0	0	0	0	0	-0.0857278	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.97576	0	0	0	0	0	0	0	0	0	0	0	0	-3.14441	-0.187799	0.0970835	-3.15325	-0.233426	-0.0055555	0.0774427	-1.37964	0.80917	0.0585908	-0.345171	0.899889	0	0	0	0	0	-0.0681412	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.01981	0	0	0	0	0	0	0	0	0	0	0	0	-3.17862	-0.424647	0.181404	-3.15999	-0.280723	0.0585917	-0.0246506	-1.38159	0.80917	-0.0223378	-0.451535	0.969445	0	0	0	0	0	0.00577268	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.04217	0	0	0	0	0	0	0	0	0	0	0	0	-3.17862	-0.424647	0.184362	-3.16509	-0.310289	0.0955144	0.00503496	0.176771	0.362982	-0.0444179	-0.49724	1.00684	0	0	0	0	0	0.00577268	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.08389	0	0	0	0	0	0	0	0	0	0	0	0	-3.17808	-0.424647	0.192478	-3.16957	-0.34472	0.144723	0.0251286	0.176655	0.156404	-0.0525739	-0.528107	1.0183	0	0	0	0	0	0.00577268	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.11032	0	0	0	0	0	0	0	0	0	0	0	0	-3.17808	-0.420694	0.192478	-3.17232	-0.3668	0.173039	0.024911	0.176686	0.156404	-0.0545941	-0.544545	1.01502	0	0	0	0	0	0.00454078	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.1445	0	0	0	0	0	0	0	0	0	0	0	0	-3.18549	-0.382012	0.146592	-3.17733	-0.380678	0.191582	-0.06439	1.00158	-1.499	-0.0683784	-0.514203	0.940824	0	0	0	0	0	-0.00806447	-750	650	-450	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
