time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.127346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.154112	0	0	0	0	0	0	0	0	0	0	0	0	-2.64986	-0.111483	-0.407971	-0.090235	-0.936498	0	0	0	0	0	0	-0.0209659	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.187137	0	0	0	0	0	0	0	0	0	0	0	0	-2.65132	-0.123323	-0.421129	-0.0708691	-0.938163	-0.398436	0	0	0	0	0	-0.0416258	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.217734	0	0	0	0	0	0	0	0	0	0	0	0	-2.65132	-0.174618	-0.421129	0.0814185	-1.67491	-0.398436	0	0	0	0	0	-0.0218918	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.257803	0	0	0	0	0	0	0	0	0	0	0	0	-2.64574	-0.159736	-0.437342	0.0343018	0.372749	-0.398436	0	0	0	0	0	-0.0280299	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.284265	0	0	0	0	0	0	0	0	0	0	0	0	-2.64574	-0.166969	-0.437342	-0.0592933	-0.274785	0.124162	0	0	0	0	0	-0.0259092	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.322957	0	0	0	0	0	0	0	0	0	0	0	0	-2.64574	-0.159736	-0.437342	-0.0767817	0.369635	0.124162	0	0	0	0	0	-0.0280299	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.352536	0	0	0	0	0	0	0	0	0	0	0	0	-2.6447	-0.145876	-0.443509	-0.0846878	0.542557	0.124162	0	0	0	0	0	-0.0336395	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.388864	0	0	0	0	0	0	0	0	0	0	0	0	-2.6447	-0.118076	-0.443509	-0.12895	0.539863	0.530467	0	0	0	0	0	-0.0448122	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.415768	0	0	0	0	0	0	0	0	0	0	0	0	-2.6447	-0.118076	-0.443509	-0.0830972	-0.482682	0.530467	0	0	0	0	0	-0.0448122	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.450427	0	0	0	0	0	0	0	0	0	0	0	0	-2.63676	-0.184655	-0.461854	-0.0165899	-0.478899	0.320692	0	0	0	0	0	-0.0198738	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.490481	0	0	0	0	0	0	0	0	0	0	0	0	-2.63676	-0.184655	-0.461854	-0.0195031	-0.332329	0.320692	0	0	0	0	0	-0.0198738	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.51538	0	0	0	0	0	0	0	0	0	0	0	0	-2.64122	-0.169485	-0.455661	-0.0203072	-0.221444	0.320692	0	0	0	0	0	-0.0262094	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.553891	0	0	0	0	0	0	0	0	0	0	0	0	-2.64122	-0.163986	-0.455661	-0.0232565	0.802907	-0.324495	0	0	0	0	0	-0.0281351	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
