time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.13535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.161839	0	0	0	0	0	0	0	0	0	0	0	0	-2.81879	0	0	-0.320323	-0.0050913	0	0	0	0	0	0	-0.0158929	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.197121	0	0	0	0	0	0	0	0	0	0	0	0	-2.82728	-0.131905	-0.363196	-0.636709	-2.6896	-2.17153	0	0	0	0	0	-0.0772173	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.223888	0	0	0	0	0	0	0	0	0	0	0	0	-2.83808	-0.131905	-0.439818	-0.153728	-2.1661	-2.61338	0	0	0	0	0	-0.0772173	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.264077	0	0	0	0	0	0	0	0	0	0	0	0	-2.83808	-0.189386	-0.439818	1.06987	-6.55792	-2.17153	0	0	0	0	0	-0.0551244	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.290898	0	0	0	0	0	0	0	0	0	0	0	0	-2.83808	-0.189386	-0.456382	0.824192	-2.10557	-2.61338	0	0	0	0	0	-0.0551244	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.326532	0	0	0	0	0	0	0	0	0	0	0	0	-2.82746	-0.259029	0.286735	0.742755	-2.04589	20.8536	0	0	0	0	0	-0.0362664	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.358169	0	0	0	0	0	0	0	0	0	0	0	0	-2.84285	-0.219708	-0.456382	-0.540282	1.2213	-24.0202	0	0	0	0	0	-0.0434189	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.394407	0	0	0	0	0	0	0	0	0	0	0	0	-2.84285	-0.219708	-0.439587	-0.339334	0.436982	0.914939	0	0	0	0	0	-0.0434189	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.426837	0	0	0	0	0	0	0	0	0	0	0	0	-2.84657	-0.203345	-0.47276	-0.380615	1.22642	-1.16102	0	0	0	0	0	-0.0490322	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.457922	0	0	0	0	0	0	0	0	0	0	0	0	-2.84657	-0.164893	-0.477199	0.188434	0.463257	-0.64865	0	0	0	0	0	-0.0591867	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.492085	0	0	0	0	0	0	0	0	0	0	0	0	-2.83987	-0.164893	-0.477199	0.270389	-0.449709	-0.64865	0	0	0	0	0	-0.0591867	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.526528	0	0	0	0	0	0	0	0	0	0	0	0	-2.82061	-0.164893	-0.408871	0.313173	-0.447174	-0.64865	0	0	0	0	0	-0.0591867	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
