time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.125811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.154229	0	0	0	0	0	0	0	0	0	0	0	0	-2.74511	-0.144194	-0.402313	0.0291075	-1.16804	-0.769432	0	0	0	0	0	-0.0249147	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.184549	0	0	0	0	0	0	0	0	0	0	0	0	-2.75264	-0.197796	-0.402313	-0.19162	-1.17901	-0.769432	0	0	0	0	0	-0.0482107	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.221489	0	0	0	0	0	0	0	0	0	0	0	0	-2.75264	-0.197796	-0.401599	-0.282907	0.862967	0.715895	0	0	0	0	0	-0.0482107	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.254006	0	0	0	0	0	0	0	0	0	0	0	0	-2.75931	-0.165453	-0.399228	-0.296675	0.895871	0.715895	0	0	0	0	0	-0.0615681	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.284544	0	0	0	0	0	0	0	0	0	0	0	0	-2.75931	-0.140898	-0.399228	0.00600801	0.878267	-0.741009	0	0	0	0	0	-0.0714457	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.319498	0	0	0	0	0	0	0	0	0	0	0	0	-2.75607	-0.140898	-0.399228	0.117709	-0.158472	-0.741009	0	0	0	0	0	-0.0714457	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.349405	0	0	0	0	0	0	0	0	0	0	0	0	-2.74549	-0.263357	-0.422403	0.111364	-0.162994	-0.758218	0	0	0	0	0	-0.0319757	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.390053	0	0	0	0	0	0	0	0	0	0	0	0	-2.74549	-0.263357	-0.422361	-0.382245	2.33432	0.106178	0	0	0	0	0	-0.0319757	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.416486	0	0	0	0	0	0	0	0	0	0	0	0	-2.75799	-0.168026	-0.422361	-0.467629	2.31873	0.0840287	0	0	0	0	0	-0.0686718	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.453621	0	0	0	0	0	0	0	0	0	0	0	0	-2.76219	-0.168026	-0.42014	-0.338437	2.29274	0.106178	0	0	0	0	0	-0.0779619	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.482035	0	0	0	0	0	0	0	0	0	0	0	0	-2.76223	-0.140923	-0.42014	-0.122412	1.19268	0.0840287	0	0	0	0	0	-0.0920596	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.522675	0	0	0	0	0	0	0	0	0	0	0	0	-2.76223	-0.174995	-0.414003	0.14162	-1.82814	0.152222	0	0	0	0	0	-0.0779619	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.54953	0	0	0	0	0	0	0	0	0	0	0	0	-2.76258	-0.140923	-0.414215	-0.122412	1.19268	-0.00790586	0	0	0	0	0	-0.0920596	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
