time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	ex	ey	ez	dex	dey	dez	cumulx	cumuly	cumulz	x	y	z	xp	yp	zp	xgoal	ygoal	zgoal	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpx	kpy	kpz	kix	kiy	kiz	kdx	kdy	kdz	ktg	dist	step	pitchoff	ke1	ke2	gravity
0.134259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.1612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70309	0	0.21519	0	0	0	0	0	0	-0.713682	0	1.46542	0	0	0	0	0	0	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.19553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70309	-0.424483	0.254705	0	0	0	0	0	0	-0.927125	-3.53288	1.81593	0	0	0	0	0	0.0599803	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.224925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.72234	0.0330665	0.254705	0	0	0	0	0	0	-1.80446	16.8871	1.46542	0	0	0	0	0	-0.0644152	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.264404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.73414	0.032414	-0.149975	0	0	0	0	0	0	0.339301	-2.93925	-1.67726	0	0	0	0	0	-0.0676949	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.291837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.73414	0.032414	-0.149975	0	0	0	0	0	0	0.339301	-2.93925	-1.67726	0	0	0	0	0	-0.0676949	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.328255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70115	-0.335721	0.250174	0	0	0	0	0	0	0.0781621	-2.95773	-1.22844	0	0	0	0	0	0.0208143	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.355437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70115	-0.335721	0.250174	0	0	0	0	0	0	-0.629083	4.98117	-1.22844	0	0	0	0	0	0.0208143	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.394854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.73843	0.0352933	-0.0501902	0	0	0	0	0	0	-1.11383	4.89563	-2.74509	0	0	0	0	0	-0.0772649	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.422048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.73843	0.105775	-0.158396	0	0	0	0	0	0	-0.315863	3.23543	-2.74509	0	0	0	0	0	-0.0973001	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.458739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.73843	0.115803	-0.158396	0	0	0	0	0	0	-0.0181809	0.272955	-1.85665	0	0	0	0	0	-0.104275	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.492571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.73805	0.105775	-0.20889	0	0	0	0	0	0	0.216242	-2.10908	-1.85665	0	0	0	0	0	-0.0973001	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.524238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.72132	0.0269315	-0.151851	0	0	0	0	0	0	0.701797	-2.57841	1.55487	0	0	0	0	0	-0.0796424	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.554091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71519	-0.291597	0.202635	0	0	0	0	0	0	0.495347	-2.6259	-1.56068	0	0	0	0	0	-0.000345927	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.593381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71519	-0.291597	0.202635	0	0	0	0	0	0	-0.320704	6.31285	-1.56068	0	0	0	0	0	-0.000345927	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.620846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71519	-0.291597	0.202635	0	0	0	0	0	0	-0.320704	6.31285	-1.56068	0	0	0	0	0	-0.000345927	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.656345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.69674	0.128588	0.0873429	0	0	0	0	0	0	-1.53475	10.5891	-2.93454	0	0	0	0	0	-0.114162	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.686891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.69674	0.12862	-0.199687	0	0	0	0	0	0	-0.0969119	-3.83321	5.69089	0	0	0	0	0	-0.114588	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.721847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.69674	0.12862	-0.199687	0	0	0	0	0	0	-0.0969119	-3.83321	5.69089	0	0	0	0	0	-0.114588	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.759988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.7078	0.12862	-0.199687	0	0	0	0	0	0	-0.000921875	-3.82217	5.69089	0	0	0	0	0	-0.114588	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.786897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.7078	-0.230269	0.0184357	0	0	0	0	0	0	-0.0487369	-14.555	12.4631	0	0	0	0	0	-0.0149351	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.826483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71496	-0.21894	-0.0117939	0	0	0	0	0	0	-0.27096	0.281611	-0.763682	0	0	0	0	0	-0.0171036	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.852112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71618	-0.21894	-0.0117939	0	0	0	0	0	0	-0.0346139	0.228826	-0.374124	0	0	0	0	0	-0.0171036	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.890515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71644	-0.21894	-0.0117939	0	0	0	0	0	0	-0.0346139	0.228826	-0.374124	0	0	0	0	0	-0.0171036	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.917805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71827	-0.240181	0.0518311	0	0	0	0	0	0	-0.0103533	0.00349339	0.0631072	0	0	0	0	0	-0.0152996	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.958867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71872	-0.240181	0.0535541	0	0	0	0	0	0	-0.0108866	0.00348719	0.0631072	0	0	0	0	0	-0.0151189	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
0.98446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71827	-0.239038	0.0535541	0	0	0	0	0	0	0.0166909	0.0280996	0.0183438	0	0	0	0	0	-0.0152996	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.02395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71793	-0.239038	0.0543074	0	0	0	0	0	0	0.0302001	0.0283007	0.0183438	0	0	0	0	0	-0.0151189	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.05066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71635	-0.242012	0.0665492	0	0	0	0	0	0	0.0298059	0.0517199	0.0827862	0	0	0	0	0	-0.0159012	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.09014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71574	-0.242012	0.0673565	0	0	0	0	0	0	0.0226622	0.0516063	0.0827862	0	0	0	0	0	-0.0159012	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71574	-0.241642	0.0673565	0	0	0	0	0	0	-0.00123625	0.051226	-0.0355782	0	0	0	0	0	-0.0165416	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.15682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71586	-0.241642	0.0673565	0	0	0	0	0	0	0.000964489	-0.0818049	-0.0355782	0	0	0	0	0	-0.0165416	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.18421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71586	-0.244883	0.0693388	0	0	0	0	0	0	0.019641	-0.0815009	-0.0669833	0	0	0	0	0	-0.0162669	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.2194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71536	-0.244883	0.0711741	0	0	0	0	0	0	0.0314723	-0.015716	0.223206	0	0	0	0	0	-0.0162669	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.24966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71305	-0.24401	0.0767967	0	0	0	0	0	0	0.0185833	-0.0159152	-0.0228541	0	0	0	0	0	-0.0168389	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.28891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71305	-0.24401	0.0774883	0	0	0	0	0	0	0.00143918	-0.0356369	0.108079	0	0	0	0	0	-0.0168389	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.31527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71302	-0.245733	0.0810388	0	0	0	0	0	0	0.00156513	-0.0438607	0.108079	0	0	0	0	0	-0.0165532	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.35043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.71083	-0.245733	0.0811882	0	0	0	0	0	0	0.0665321	-0.0427852	0.108079	0	0	0	0	0	-0.0165532	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.38408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70851	-0.241052	0.0864578	0	0	0	0	0	0	0.0611903	0.254987	0.156566	0	0	0	0	0	-0.0181771	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.4188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70851	-0.23663	0.0864578	0	0	0	0	0	0	-0.00380811	0.253807	0.156566	0	0	0	0	0	-0.0195252	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.44692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70886	-0.235701	0.0864578	0	0	0	0	0	0	-0.0117076	0.032818	0.156566	0	0	0	0	0	-0.0197276	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
1.48335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.70886	-0.23663	0.0887439	0	0	0	0	0	0	-0.00755074	-0.179712	0.230277	0	0	0	0	0	-0.0195252	-150	150	-200	-0	0	-0	-600	600	-600	0	0.2	0.18	174	-1	-1	2561	
