time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	ex	ey	ez	dex	dey	dez	cumulx	cumuly	cumulz	x	y	z	xp	yp	zp	xgoal	ygoal	zgoal	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpx	kpy	kpz	kix	kiy	kiz	kdx	kdy	kdz	ktg	dist	step	pitchoff	ke1	ke2	gravity
0.128378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.156351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.08724	0.493577	0.118026	0	0	0	0	0	0	-0.038042	0.759226	1.01839	0	0	0	0	0	-0.0500644	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.187255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.08724	0.514822	0.151922	0	0	0	0	0	0	0.254208	0.777357	1.05576	0	0	0	0	0	-0.0617801	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.222592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.08724	0.514822	0.151922	0	0	0	0	0	0	0.248061	0.757606	1.05576	0	0	0	0	0	-0.0717283	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.256762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.07999	0.526994	0.182989	0	0	0	0	0	0	0.187061	0.519255	1.05576	0	0	0	0	0	-0.0738837	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.292379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.08767	0.509769	0.182989	0	0	0	0	0	0	-0.219134	-0.806645	0.363245	0	0	0	0	0	-0.0717283	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.318556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.09123	0.516542	0.182989	0	0	0	0	0	0	0.0155927	0.506828	0.363245	0	0	0	0	0	-0.0787626	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.35553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.09268	0.500753	0.160591	0	0	0	0	0	0	-0.117268	-0.437848	0.170914	0	0	0	0	0	-0.0795751	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.389673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.09684	0.512489	0.154273	0	0	0	0	0	0	-0.0799155	0.338198	-1.31752	0	0	0	0	0	-0.0827751	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.420937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.09813	0.500753	0.160591	0	0	0	0	0	0	-0.0156455	-0.429971	0.170914	0	0	0	0	0	-0.0840326	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
