time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw
0,126278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0,156382	0	0	0	0	0	0	0	0	0	-3,65417	0,20039	-0,0701437	-0,109787	1,77193	-0,158772	0	0	0	0	1,77533	-0,158772	0	0	-0,0618796	
0,190053	0	0	0	0	0	0	0	0	0	-3,67144	0,229151	-0,0701437	-0,668185	1,73428	-0,158772	0	0	0	-0,549912	1,77533	-0,158772	0	0	-0,0673741	
0,223883	0	0	0	0	0	0	0	0	0	-3,67268	0,229151	-0,0219317	-0,264692	-3,15377	0,908743	0	0	0	-0,476413	-3,1288	0,908743	0	0	-0,0673741	
0,259861	0	0	0	0	0	0	0	0	0	-3,67268	0,229151	0,0088147	-0,264692	-3,15377	1,57383	0	0	0	-0,476413	-3,1288	1,57383	0	0	-0,0673741	
0,286738	0	0	0	0	0	0	0	0	0	-3,67077	0,254649	0,0746237	0,233198	3,67821	1,8293	0	0	0	0,50133	3,65134	1,8293	0	0	-0,0731322	
0,322764	0	0	0	0	0	0	0	0	0	-3,65418	0,35652	0,0746237	0,126829	3,68341	1,8293	0	0	0	0,50133	3,65134	1,8293	0	0	-0,102028	
0,356934	0	0	0	0	0	0	0	0	0	-3,65418	0,35652	0,0105561	-0,0909904	-0,39456	-4,10452	0	0	0	-0,130704	-0,383241	-4,10452	0	0	-0,102028	
0,386184	0	0	0	0	0	0	0	0	0	-3,66421	0,206354	-0,211416	-0,106771	-0,390585	-4,10452	0	0	0	-0,130704	-0,383241	-4,10452	0	0	-0,0618358	
0,42406	0	0	0	0	0	0	0	0	0	-3,66435	0,206354	-0,211416	-0,15022	0,826997	1,83218	0	0	0	-0,0988276	0,834699	1,83218	0	0	-0,0618358	
0,45276	0	0	0	0	0	0	0	0	0	-3,66468	0,317187	0,00217051	-0,125658	1,30344	1,83218	0	0	0	-0,00463556	1,30948	1,83218	0	0	-0,0925678	
0,490861	0	0	0	0	0	0	0	0	0	-3,66745	0,317187	0,00217051	-0,193432	1,29715	-1,50157	0	0	0	-0,0727007	1,30948	-1,50157	0	0	-0,0925678	
0,516068	0	0	0	0	0	0	0	0	0	-3,66745	0,2575	-0,0874427	0,125042	-2,55086	-1,50157	0	0	0	-0,0727007	-2,55289	-1,50157	0	0	-0,0774505	
0,554965	0	0	0	0	0	0	0	0	0	-3,66745	0,2575	-0,0874427	0,125042	-2,55086	1,22376	0	0	0	-0,0727007	-2,55289	1,22376	0	0	-0,0774505	
0,582671	0	0	0	0	0	0	0	0	0	-3,66279	0,281853	-0,00746103	-0,0902205	-3,33304	1,22376	0	0	0	-0,370934	-3,31357	1,22376	0	0	-0,0844179	
0,618631	0	0	0	0	0	0	0	0	0	-3,64504	0,373652	-0,00746103	0,113921	5,193	-1,3639	0	0	0	0,679727	5,14958	-1,3639	0	0	-0,109304	
0,651394	0	0	0	0	0	0	0	0	0	-3,63834	0,4437	-0,00746103	0,485891	-0,656019	-1,3639	0	0	0	0,397515	-0,713044	-1,3639	0	0	-0,128926	
0,687654	0	0	0	0	0	0	0	0	0	-3,63834	0,4437	0,00194366	0,485891	-0,656019	-1,3639	0	0	0	0,397515	-0,713044	-1,3639	0	0	-0,128926	
0,715055	0	0	0	0	0	0	0	0	0	-3,64812	0,385642	0,0493483	-0,131533	-0,916554	1,73048	0	0	0	-0,233583	-0,895997	1,73048	0	0	-0,112485	
0,749973	0	0	0	0	0	0	0	0	0	-3,64812	0,361097	0,00194366	-0,0638064	-1,61681	-5,36207	0	0	0	-0,233583	-1,60112	-5,36207	0	0	-0,105421	
0,786563	0	0	0	0	0	0	0	0	0	-3,65452	0,0641545	-0,250391	-0,211421	-0,901484	1,21751	0	0	0	-0,233583	-0,895997	1,21751	0	0	-0,024658	
0,81519	0	0	0	0	0	0	0	0	0	-3,66842	0,0415167	-0,250391	0,0894672	-0,789277	1,21751	0	0	0	0,0749691	-0,790786	1,21751	0	0	-0,0183508	
0,850941	0	0	0	0	0	0	0	0	0	-3,66842	0,0475606	-0,200306	0,00384923	0,169111	1,21751	0	0	0	0,00724955	0,169	1,21751	0	0	-0,0201129	
0,883031	0	0	0	0	0	0	0	0	0	-3,66842	0,0475606	-0,200306	0,00616543	0,0539673	-0,000682963	0	0	0	0,00724955	0,0538324	-0,000682963	0	0	-0,0201129	
0,916213	0	0	0	0	0	0	0	0	0	-3,67013	0,0475606	-0,200328	0,00616543	0,0539673	-0,0515604	0	0	0	0,00724955	0,0538324	-0,0515604	0	0	-0,0201129	
0,950288	0	0	0	0	0	0	0	0	0	-3,67013	0,030426	-0,214085	0,0130524	-0,0645051	-0,000682963	0	0	0	0,0120438	-0,064701	-0,000682963	0	0	-0,0156121	
0,978515	0	0	0	0	0	0	0	0	0	-3,66981	0,0282211	-0,217118	0,0130966	-0,0698126	-0,107454	0	0	0	0,0120438	-0,0700019	-0,107454	0	0	-0,0150598	
1,0175	0	0	0	0	0	0	0	0	0	-3,66981	0,0282211	-0,21673	-0,0184855	-0,0649867	0,00993534	0	0	0	-0,0194621	-0,064701	0,00993534	0	0	-0,0150598	
1,04488	0	0	0	0	0	0	0	0	0	-3,67057	0,047876	-0,21673	-0,0187311	-0,0364317	0,00993534	0	0	0	-0,0194621	-0,0360465	0,00993534	0	0	-0,0201697	
1,07827	0	0	0	0	0	0	0	0	0	-3,67057	0,047876	-0,204645	-0,00432694	-0,0361411	0,365294	0	0	0	-0,00505496	-0,0360465	0,365294	0	0	-0,0201697	
1,11938	0	0	0	0	0	0	0	0	0	-3,66901	0,047876	-0,199763	-0,0022486	-0,0360992	0,365294	0	0	0	-0,0029762	-0,0360465	0,365294	0	0	-0,0201697	
1,14326	0	0	0	0	0	0	0	0	0	-3,66889	0,0452208	-0,199763	0,0239957	-0,0790666	-0,0642175	0	0	0	0,0224531	-0,0795184	-0,0642175	0	0	-0,0194538	
1,18094	0	0	0	0	0	0	0	0	0	-3,66901	0,0500289	-0,201298	-0,00539784	0,116924	-0,178042	0	0	0	-0,0029762	0,117011	-0,178042	0	0	-0,0207028	
1,21408	0	0	0	0	0	0	0	0	0	-3,66925	0,0433251	-0,218805	0,0129675	-0,280358	-0,0642175	0	0	0	0,00768757	-0,280553	-0,0642175	0	0	-0,0188257	
1,24304	0	0	0	0	0	0	0	0	0	-3,66925	0,0483625	-0,218805	0,00041	0,217908	0,0980994	0	0	0	0,00474396	0,217856	0,0980994	0	0	-0,0198907	
1,28015	0	0	0	0	0	0	0	0	0	-3,66925	0,0483625	-0,218805	0,00242825	0,116454	0,0980994	0	0	0	0,00474396	0,116382	0,0980994	0	0	-0,0198907	
1,31211	0	0	0	0	0	0	0	0	0	-3,66912	0,0526812	-0,212523	0,00228239	0,116457	0,216886	0	0	0	0,00474396	0,116382	0,216886	0	0	-0,0211431	
1,34529	0	0	0	0	0	0	0	0	0	-3,66864	0,0526812	-0,197384	-0,00523509	0,0443492	0,048662	0	0	0	-0,00429631	0,0444499	0,048662	0	0	-0,0211431	
1,37798	0	0	0	0	0	0	0	0	0	-3,66864	0,0486031	-0,197384	0,000246013	-0,165722	0,048662	0	0	0	-0,00303713	-0,165694	0,048662	0	0	-0,0198122	
1,40795	0	0	0	0	0	0	0	0	0	-3,66864	0,0486031	-0,216161	0,000246013	-0,165722	-0,036753	0	0	0	-0,00303713	-0,165694	-0,036753	0	0	-0,0198122	
1,44863	0	0	0	0	0	0	0	0	0	-3,66824	0,0423851	-0,217263	0,000100775	-0,173322	-0,185898	0	0	0	-0,00303713	-0,173296	-0,185898	0	0	-0,0181053	
1,47405	0	0	0	0	0	0	0	0	0	-3,668	0,0420578	-0,222331	0,020409	-0,172956	-0,036753	0	0	0	0,0172925	-0,173296	-0,036753	0	0	-0,018001	
1,51022	0	0	0	0	0	0	0	0	0	-3,66817	0,0420578	-0,222462	-0,00276557	-0,173374	-0,00362879	0	0	0	-0,00588585	-0,173296	-0,00362879	0	0	-0,018001	
1,54383	0	0	0	0	0	0	0	0	0	-3,66817	0,0343336	-0,222462	-0,00537357	-0,30399	-0,00362879	0	0	0	-0,0101951	-0,303866	-0,00362879	0	0	-0,0158638	
1,57769	0	0	0	0	0	0	0	0	0	-3,66861	0,0323869	-0,242856	-0,00834646	-0,119792	-0,226235	0	0	0	-0,0101951	-0,119649	-0,226235	0	0	-0,0154412	
1,61011	0	0	0	0	0	0	0	0	0	-3,6687	0,0323869	-0,24303	-0,0139295	-0,119878	-0,226235	0	0	0	-0,0157789	-0,119649	-0,226235	0	0	-0,0154412	
1,62757	0	0	0	0	0	0	0	0	0	-3,6687	0,0323869	-0,24303	-0,0139295	-0,119878	-0,226235	0	0	0	-0,0157789	-0,119649	-0,226235	0	0	-0,0154412	
1,63734	0	0	0	0	0	0	0	0	0	-3,6687	0,0323869	-0,24303	-0,0139295	-0,119878	-0,226235	0	0	0	-0,0157789	-0,119649	-0,226235	0	0	-0,0154412	
1,64229	0	0	0	0	0	0	0	0	0	-3,66861	0,0344506	-0,24303	-0,00015438	0,17369	0,168277	0	0	0	0,00261938	0,17367	0,168277	0	0	-0,0159702	
1,64743	0	0	0	0	0	0	0	0	0	-3,66861	0,0344506	-0,24303	-0,00015438	0,17369	0,168277	0	0	0	0,00261938	0,17367	0,168277	0,0230383	-0,00279253	-0,0159702	
1,65739	0	0	0	0	0	0	0	0	0	-3,66861	0,0344506	-0,24303	-0,00015438	0,17369	0,168277	0	0	0	0,00261938	0,17367	0,168277	0,0228638	-0,00279253	-0,0159702	
1,66734	0	0	0	0	0	0	0	0	0	-3,66861	0,0344506	-0,24303	-0,00015438	0,17369	0,168277	0	0	0	0,00261938	0,17367	0,168277	0,0228638	-0,00279253	-0,0159702	
1,67625	0	0	0	0	0	0	0	0	0	-3,66817	0,0400383	-0,237616	0,0254371	0,173583	0,231998	0	0	0	0,0337483	0,17367	0,230871	0,0228638	-0,00279253	-0,0173894	
1,67739	0	0	0	0	0	0	0	0	0	-3,66817	0,0400383	-0,237616	0,0254371	0,173583	0,231998	0	0	0	0,0337483	0,17367	0,230871	0,0228638	-0,00279253	-0,0173894	
1,68736	0	0	0	0	0	0	0	0	0	-3,66817	0,0400383	-0,237616	0,0254371	0,173583	0,231998	0	0	0	0,0337483	0,17367	0,230871	0,0228638	-0,00279253	-0,0173894	
1,69738	0	0	0	0	0	0	0	0	0	-3,66817	0,0400383	-0,237616	0,0254371	0,173583	0,231998	0	0	0	0,0337483	0,17367	0,230871	0,0228638	-0,00279253	-0,0173894	
1,70741	0	0	0	0	0	0	0	0	0	-3,66817	0,0400383	-0,237616	0,0254371	0,173583	0,231998	0	0	0	0,0337483	0,17367	0,230871	0,0228638	-0,00279253	-0,0173894	
1,71004	0	0	0	0	0	0	0	0	0	-3,66817	0,0431913	-0,237616	0,0281875	0,0929757	0,169226	0	0	0	0,0337483	0,0928456	0,168277	0,0228638	-0,00279253	-0,0183074	
1,71735	0	0	0	0	0	0	0	0	0	-3,66817	0,0431913	-0,237616	0,0281875	0,0929757	0,169226	0	0	0	0,0337483	0,0928456	0,168277	0,0228638	-0,00279253	-0,0183074	
1,72741	0	0	0	0	0	0	0	0	0	-3,66817	0,0431913	-0,237616	0,0281875	0,0929757	0,169226	0	0	0	0,0337483	0,0928456	0,168277	0,0228638	-0,00279253	-0,0183074	
1,73736	0	0	0	0	0	0	0	0	0	-3,66817	0,0431913	-0,237616	0,0281875	0,0929757	0,169226	0	0	0	0,0337483	0,0928456	0,168277	0,0228638	-0,00279253	-0,0183074	
1,73901	0	0	0	0	0	0	0	0	0	-3,66702	0,0431913	-0,230214	0,0261813	0,0538746	0,287896	0	0	0	0,0337483	0,0540696	0,287071	0,0228638	-0,00279253	-0,0183074	
1,74739	0	0	0	0	0	0	0	0	0	-3,66702	0,0431913	-0,230214	0,0261813	0,0538746	0,287896	0	0	0	0,0337483	0,0540696	0,287071	0,0228638	-0,00279253	-0,0183074	
1,75734	0	0	0	0	0	0	0	0	0	-3,66702	0,0431913	-0,230214	0,0261813	0,0538746	0,287896	0	0	0	0,0337483	0,0540696	0,287071	0,0228638	-0,00279253	-0,0183074	
1,76735	0	0	0	0	0	0	0	0	0	-3,66702	0,0431913	-0,230214	0,0261813	0,0538746	0,287896	0	0	0	0,0337483	0,0540696	0,287071	0,0228638	-0,00279253	-0,0183074	
1,77361	0	0	0	0	0	0	0	0	0	-3,66637	0,0450186	-0,230214	-0,0174986	0,0536937	0,0245139	0	0	0	-0,0159276	0,0540696	0,0247576	0,0228638	-0,00279253	-0,0187216	
1,7774	0	0	0	0	0	0	0	0	0	-3,66637	0,0450186	-0,230214	-0,0174986	0,0536937	0,0245139	0	0	0	-0,0159276	0,0540696	0,0247576	0,0228638	-0,00279253	-0,0187216	
1,78736	0	0	0	0	0	0	0	0	0	-3,66637	0,0450186	-0,230214	-0,0174986	0,0536937	0,0245139	0	0	0	-0,0159276	0,0540696	0,0247576	0,0228638	-0,00279253	-0,0187216	
1,79744	0	0	0	0	0	0	0	0	0	-3,66637	0,0450186	-0,230214	-0,0174986	0,0536937	0,0245139	0	0	0	-0,0159276	0,0540696	0,0247576	0,0228638	-0,00279253	-0,0187216	
1,80739	0	0	0	0	0	0	0	0	0	-3,66637	0,0450186	-0,230214	-0,0174986	0,0536937	0,0245139	0	0	0	-0,0159276	0,0540696	0,0247576	0,0228638	-0,00279253	-0,0187216	
1,80784	0	0	0	0	0	0	0	0	0	-3,66637	0,0341246	-0,230214	-0,00898731	-0,376322	0,0235077	0	0	0	-0,014458	-0,376071	0,0247576	0,0228638	-0,00279253	-0,0160419	
1,81748	0	0	0	0	0	0	0	0	0	-3,66637	0,0341246	-0,230214	-0,00898731	-0,376322	0,0235077	0	0	0	-0,014458	-0,376071	0,0247576	0,0228638	-0,00279253	-0,0160419	
1,82743	0	0	0	0	0	0	0	0	0	-3,66637	0,0341246	-0,230214	-0,00898731	-0,376322	0,0235077	0	0	0	-0,014458	-0,376071	0,0247576	0,0228638	-0,00279253	-0,0160419	
1,83741	0	0	0	0	0	0	0	0	0	-3,66637	0,0341246	-0,230214	-0,00898731	-0,376322	0,0235077	0	0	0	-0,014458	-0,376071	0,0247576	0,0228638	-0,00279253	-0,0160419	
1,84259	0	0	0	0	0	0	0	0	0	-3,66637	0,0383896	-0,236022	-0,0233678	0,481867	0,0255754	0	0	0	-0,014458	0,482259	0,0247576	0,0228638	-0,00279253	-0,0173192	
1,84737	0	0	0	0	0	0	0	0	0	-3,66637	0,0383896	-0,236022	-0,0233678	0,481867	0,0255754	0	0	0	-0,014458	0,482259	0,0247576	0,0228638	-0,00279253	-0,0173192	
1,85739	0	0	0	0	0	0	0	0	0	-3,66637	0,0383896	-0,236022	-0,0233678	0,481867	0,0255754	0	0	0	-0,014458	0,482259	0,0247576	0,0228638	-0,00279253	-0,0173192	
1,86737	0	0	0	0	0	0	0	0	0	-3,66637	0,0383896	-0,236022	-0,0233678	0,481867	0,0255754	0	0	0	-0,014458	0,482259	0,0247576	0,0228638	-0,00279253	-0,0173192	
1,86995	0	0	0	0	0	0	0	0	0	-3,66686	0,0374634	-0,236022	-0,0174329	-0,0345144	0,155238	0	0	0	-0,014458	-0,0338384	0,155692	0,0228638	-0,00279253	-0,017106	
1,87738	0	0	0	0	0	0	0	0	0	-3,66686	0,0374634	-0,236022	-0,0174329	-0,0345144	0,155238	0	0	0	-0,014458	-0,0338384	0,155692	0,0228638	-0,00279253	-0,017106	
1,88749	0	0	0	0	0	0	0	0	0	-3,66686	0,0374634	-0,236022	-0,0174329	-0,0345144	0,155238	0	0	0	-0,014458	-0,0338384	0,155692	0,0228638	-0,00279253	-0,017106	
1,89745	0	0	0	0	0	0	0	0	0	-3,66686	0,0374634	-0,236022	-0,0174329	-0,0345144	0,155238	0	0	0	-0,014458	-0,0338384	0,155692	0,0228638	-0,00279253	-0,017106	
1,90621	0	0	0	0	0	0	0	0	0	-3,66578	0,0383896	-0,229464	0,0252089	0,131518	0,156677	0	0	0	0,0310568	0,131436	0,155692	0,0228638	-0,00279253	-0,0173192	
1,90744	0	0	0	0	0	0	0	0	0	-3,66578	0,0383896	-0,229464	0,0252089	0,131518	0,156677	0	0	0	0,0310568	0,131436	0,155692	0,0228638	-0,00279253	-0,0173192	
1,91741	0	0	0	0	0	0	0	0	0	-3,66578	0,0383896	-0,229464	0,0252089	0,131518	0,156677	0	0	0	0,0310568	0,131436	0,155692	0,0228638	-0,00279253	-0,0173192	
1,92737	0	0	0	0	0	0	0	0	0	-3,66578	0,0383896	-0,229464	0,0252089	0,131518	0,156677	0	0	0	0,0310568	0,131436	0,155692	0,0228638	-0,00279253	-0,0173192	
1,9374	0	0	0	0	0	0	0	0	0	-3,66578	0,0383896	-0,229464	0,0252089	0,131518	0,156677	0	0	0	0,0310568	0,131436	0,155692	0,0228638	-0,00279253	-0,0173192	
1,93971	0	0	0	0	0	0	0	0	0	-3,66727	0,0422277	-0,229464	-0,046831	0,0803751	-0,227835	0	0	0	-0,0505533	0,0806845	-0,226928	0,0228638	-0,00279253	-0,0184417	
1,94743	0	0	0	0	0	0	0	0	0	-3,66727	0,0422277	-0,229464	-0,046831	0,0803751	-0,227835	0	0	0	-0,0505533	0,0806845	-0,226928	0,0228638	-0,00279253	-0,0184417	
1,95741	0	0	0	0	0	0	0	0	0	-3,66727	0,0422277	-0,229464	-0,046831	0,0803751	-0,227835	0	0	0	-0,0505533	0,0806845	-0,226928	0,0228638	-0,00279253	-0,0184417	
1,96743	0	0	0	0	0	0	0	0	0	-3,66727	0,0422277	-0,229464	-0,046831	0,0803751	-0,227835	0	0	0	-0,0505533	0,0806845	-0,226928	0,0228638	-0,00279253	-0,0184417	
1,97147	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0259711	0,113375	-0,226078	0	0	0	0,0229496	0,112323	-0,226928	0,0228638	-0,00279253	-0,0192034	
1,97745	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0259711	0,113375	-0,226078	0	0	0	0,0229496	0,112323	-0,226928	0,0228638	-0,00279253	-0,0192034	
1,98742	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0259711	0,113375	-0,226078	0	0	0	0,0229496	0,112323	-0,226928	0,0228638	-0,00279253	-0,0192034	
1,99745	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0259711	0,113375	-0,226078	0	0	0	0,0229496	0,112323	-0,226928	0,0228638	-0,00279253	-0,0192034	
2,00728	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0203593	0,0809827	0,0458104	0	0	0	0,0229496	0,0806845	0,0451068	0,0228638	-0,00279253	-0,0192034	
2,00749	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0203593	0,0809827	0,0458104	0	0	0	0,0229496	0,0806845	0,0451068	0,0228638	-0,00279253	-0,0192034	
2,0174	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0203593	0,0809827	0,0458104	0	0	0	0,0229496	0,0806845	0,0451068	0,0228638	-0,00279253	-0,0192034	
2,02738	0	0	0	0	0	0	0	0	0	-3,66654	0,0449313	-0,234069	0,0203593	0,0809827	0,0458104	0	0	0	0,0229496	0,0806845	0,0451068	0,0228638	-0,00279253	-0,0192034	
