time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.128681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.160128	0	0	0	0	0	0	0	0	0	0	0	0	-3.66855	0	0	-0.895166	0	0	-0.427862	-0.00181166	0	-5.52569	-0.023397	0	0	0	0	0	0	-0.00423419	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.193623	0	0	0	0	0	0	0	0	0	0	0	0	-3.66855	0.00796814	-0.601379	-1.6976	0.000531137	-0.0279172	-0.429233	0.310827	-6.14436	-7.54742	-0.0298869	-0.149732	0	0	0	0	0	-0.00438548	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.223206	0	0	0	0	0	0	0	0	0	0	0	0	-3.65186	0.0184416	-0.495608	-2.29863	0.00310836	-0.0501352	0.879043	1.8992	3.5754	-8.60919	-0.0764501	-0.198669	0	0	0	0	0	-0.0110229	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.262648	0	0	0	0	0	0	0	0	0	0	0	0	-3.60972	0.0184416	-0.601379	-2.83281	0.00484124	-0.0947071	0.898544	0.31665	-3.77766	-8.74061	-0.018454	-0.367837	0	0	0	0	0	-0.00438548	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.293804	0	0	0	0	0	0	0	0	0	0	0	0	-3.58485	-0.113704	-0.64458	-3.174	4.91981e-05	-0.146734	0.859659	1.49751	-2.65535	-8.47789	0.352683	-0.515982	0	0	0	0	0	0.0406746	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.322747	0	0	0	0	0	0	0	0	0	0	0	0	-3.58485	-0.115976	-0.673274	-3.41051	-0.00799345	-0.205158	0.793313	-0.117168	-2.65535	-7.90984	0.35917	-0.673801	0	0	0	0	0	0.0484061	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.359435	0	0	0	0	0	0	0	0	0	0	0	0	-3.55876	-0.113704	-0.72734	-3.61351	-0.0149849	-0.278411	0.964643	1.49324	-2.3725	-6.8338	0.245184	-0.844045	0	0	0	0	0	0.0406746	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.387419	0	0	0	0	0	0	0	0	0	0	0	0	-3.5256	-0.0837735	-0.707122	-3.68992	-0.0221189	-0.338165	0.898681	-0.11913	1.87135	-5.82225	0.20544	-0.940817	0	0	0	0	0	0.0449309	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.426483	0	0	0	0	0	0	0	0	0	0	0	0	-3.5256	-0.0417379	-0.707122	-3.77576	-0.0220886	-0.407738	-0.0840503	2.02418	1.90626	-4.66608	0.115023	-1.02754	0	0	0	0	0	0.0311527	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.455304	0	0	0	0	0	0	0	0	0	0	0	0	-3.5256	-0.0837735	-0.689582	-3.78015	-0.0327351	-0.462275	-0.21441	-1.49471	1.90626	-3.74334	0.0906692	-1.08989	0	0	0	0	0	0.0449309	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.491275	0	0	0	0	0	0	0	0	0	0	0	0	-3.49181	0.029052	-0.689582	-3.76709	-0.0187996	-0.527613	1.12209	3.92931	-1.93002	-2.59413	0.107376	-1.18291	0	0	0	0	0	0.0357839	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.523367	0	0	0	0	0	0	0	0	0	0	0	0	-3.45651	0.029052	-0.689582	-3.71899	-0.00340458	-0.583876	1.12209	3.92931	-1.93002	-1.69842	0.147784	-1.24139	0	0	0	0	0	0.0357839	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.550418	0	0	0	0	0	0	0	0	0	0	0	0	-3.44295	0.029052	-0.745039	-3.66415	0.0115999	-0.636303	1.07169	3.93111	-1.93002	-1.04247	0.186923	-1.30076	0	0	0	0	0	0.0357839	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.590805	0	0	0	0	0	0	0	0	0	0	0	0	-3.43943	-0.00464084	-0.70727	-3.62409	0.0143893	-0.686808	0.0959316	0.174385	0.935149	-0.546062	0.158613	-1.27111	0	0	0	0	0	0.0497773	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.617745	0	0	0	0	0	0	0	0	0	0	0	0	-3.43943	-0.011868	-0.745039	-3.58159	0.00329646	-0.72785	-0.150556	-4.19677	-2.83145	-0.230822	0.0614611	-1.30809	0	0	0	0	0	0.0566096	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
