time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.134745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.158638	0	0	0	0	0	0	0	0	0	0	0	0	-2.41051	-0.0908861	-0.210535	-0.00884987	-1.77392e-05	-3.70859e-05	-2.29495	-0.747394	0	-0.125297	-0.00195813	-2.45864e-05	0	0	0	0	0	0	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.195763	0	0	0	0	0	0	0	0	0	0	0	0	-2.41051	-0.166863	-0.320237	-0.014763	-9.21974e-05	-0.000145477	-2.32622	-0.643526	-2.63344	0.0467692	-0.00527564	-0.0101275	0	0	0	0	0	0.0449453	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.226841	0	0	0	0	0	0	0	0	0	0	0	0	-2.40418	-0.339934	-0.356758	-0.0429669	-0.00104207	-0.000777504	0.439708	-5.6247	-0.959495	-0.134791	-0.0268958	-0.012291	0	0	0	0	0	0.086699	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.260838	0	0	0	0	0	0	0	0	0	0	0	0	-2.39126	-0.166863	-0.386595	-0.156162	-0.00112765	-0.00252683	1.42348	5.69383	-0.959495	-1.27304	0.125477	-0.0296942	0	0	0	0	0	0.086699	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.288506	0	0	0	0	0	0	0	0	0	0	0	0	-2.39126	-0.145962	-0.386595	-0.416493	-0.00188205	-0.00650372	-0.380189	-0.071494	-0.643544	-3.24223	0.270302	-0.0584594	0	0	0	0	0	0.0856492	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.32779	0	0	0	0	0	0	0	0	0	0	0	0	-2.40158	-0.143088	-0.363033	-0.809663	-0.00109656	-0.0124549	-0.0552914	4.40025	1.63986	-5.23571	0.454237	-0.0799728	0	0	0	0	0	0.0822976	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.359228	0	0	0	0	0	0	0	0	0	0	0	0	-2.40158	-0.145962	-0.363033	-1.25378	-0.00396116	-0.0220824	-0.380189	-0.071494	1.63986	-6.68301	0.560977	-0.121651	0	0	0	0	0	0.0856492	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.389216	0	0	0	0	0	0	0	0	0	0	0	0	-2.40047	-0.137474	-0.340164	-1.66586	-0.00649537	-0.0348083	-0.217775	2.09701	2.55167	-7.35214	0.690624	-0.161456	0	0	0	0	0	0.0955395	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.425031	0	0	0	0	0	0	0	0	0	0	0	0	-2.38945	-0.199439	-0.380873	-1.99215	-0.0198534	-0.0591366	0.065677	-2.05047	-1.13746	-7.21232	0.758516	-0.271612	0	0	0	0	0	0.118539	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
