time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.124858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.15907	0	0	0	0	0	0	0	0	0	0	0	0	-3.17918	-0.157509	0.280928	-0.756305	-0.00352231	0.00779462	-0.249308	0	0.929232	-4.26731	-0.0199749	0.0430866	0	0	0	0	0	0	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.19164	0	0	0	0	0	0	0	0	0	0	0	0	-3.17918	-0.157509	0.280928	-1.42024	-0.00723353	0.0188822	-0.332376	1.98735	0.929232	-5.70839	-0.263397	0.0819464	0	0	0	0	0	-0.0416654	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.224715	0	0	0	0	0	0	0	0	0	0	0	0	-3.16904	-0.157509	-0.497933	-1.9481	-0.0120471	-0.00235616	0.489655	2.02162	-2.48564	-6.5147	-0.307103	-0.0234978	0	0	0	0	0	-0.0416654	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.258281	0	0	0	0	0	0	0	0	0	0	0	0	-3.15544	-0.235822	-0.505693	-2.36559	-0.0245617	-0.0308914	0.593218	-1.59101	-2.48564	-6.85217	-0.170759	-0.125485	0	0	0	0	0	-0.0124043	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.289435	0	0	0	0	0	0	0	0	0	0	0	0	-3.15544	-0.244389	-0.505693	-2.68204	-0.0399844	-0.0604773	-0.375728	-1.60277	2.21746	-6.93012	-0.214374	-0.194992	0	0	0	0	0	-0.0117383	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.326157	0	0	0	0	0	0	0	0	0	0	0	0	-3.18031	-0.244389	-0.409803	-2.96292	-0.0553094	-0.0891955	-0.728362	1.43852	2.21746	-6.61872	-0.230326	-0.25497	0	0	0	0	0	-0.0117383	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.353467	0	0	0	0	0	0	0	0	0	0	0	0	-3.19891	-0.174051	-0.349857	-3.12506	-0.0653341	-0.113192	-0.760656	1.42171	2.05463	-6.18993	-0.37623	-0.301553	0	0	0	0	0	-0.0343186	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.38927	0	0	0	0	0	0	0	0	0	0	0	0	-3.19891	0.00205578	-0.349857	-3.27117	-0.0551899	-0.141603	-0.296419	6.46544	1.63286	-5.28358	-0.529806	-0.349097	0	0	0	0	0	-0.0884044	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.422808	0	0	0	0	0	0	0	0	0	0	0	0	-3.18393	-0.151265	-0.418584	-3.34473	-0.0765704	-0.182749	0.655851	-6.20092	-2.15738	-4.38425	-0.364892	-0.459793	0	0	0	0	0	-0.0401872	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.455806	0	0	0	0	0	0	0	0	0	0	0	0	-3.17031	-0.151265	-0.459824	-3.37441	-0.0968655	-0.229389	0.5712	-4.09564	-2.15738	-3.48519	-0.394975	-0.566157	0	0	0	0	0	-0.0401872	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.489755	0	0	0	0	0	0	0	0	0	0	0	0	-3.17031	-0.151265	-0.459824	-3.38252	-0.118235	-0.270953	0.252489	-4.10845	0.942018	-2.69732	-0.427124	-0.618828	0	0	0	0	0	-0.0401872	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.520705	0	0	0	0	0	0	0	0	0	0	0	0	-3.17963	-0.203092	-0.434131	-3.37159	-0.140552	-0.305283	0.139654	-2.07018	0.942018	-2.06039	-0.415715	-0.655638	0	0	0	0	0	-0.0253083	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.555693	0	0	0	0	0	0	0	0	0	0	0	0	-3.18778	-0.138948	-0.418403	-3.36186	-0.146158	-0.33815	-0.322493	1.96057	0.449502	-1.52634	-0.385645	-0.679192	0	0	0	0	0	-0.0455175	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.585726	0	0	0	0	0	0	0	0	0	0	0	0	-3.17963	-0.203092	-0.434131	-3.33476	-0.165943	-0.370152	0.389772	-2.06385	-1.31556	-1.04082	-0.392337	-0.72007	0	0	0	0	0	-0.0253083	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.623711	0	0	0	0	0	0	0	0	0	0	0	0	-3.17733	-0.13405	-0.443378	-3.31316	-0.167719	-0.401748	-0.189854	1.96646	0.449502	-0.666007	-0.334933	-0.720224	0	0	0	0	0	-0.0470196	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.652437	0	0	0	0	0	0	0	0	0	0	0	0	-3.17615	-0.219718	-0.443378	-3.28585	-0.188722	-0.422196	0.0950041	-2.85138	0.91714	-0.398591	-0.374188	-0.708919	0	0	0	0	0	-0.0189515	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.687521	0	0	0	0	0	0	0	0	0	0	0	0	-3.17733	-0.0722218	-0.391498	-3.26435	-0.16624	-0.433513	-0.531408	6.21908	1.80616	-0.193913	-0.208973	-0.651108	0	0	0	0	0	-0.0696652	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.718938	0	0	0	0	0	0	0	0	0	0	0	0	-3.17615	-0.291205	-0.391498	-3.24353	-0.20837	-0.439444	0.022432	-7.57765	1.80616	-0.054332	-0.3808	-0.595234	0	0	0	0	0	0.00244409	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.752326	0	0	0	0	0	0	0	0	0	0	0	0	-3.19646	-0.0722218	-0.369591	-3.23564	-0.181896	-0.435356	-1.00581	6.18654	4.26784	-0.0479383	-0.195973	-0.491212	0	0	0	0	0	-0.0686908	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.78598	0	0	0	0	0	0	0	0	0	0	0	0	-3.19348	-0.191778	-0.369591	-3.22402	-0.19757	-0.429134	0.263828	-3.61563	4.26784	0.0509133	-0.263	-0.397326	0	0	0	0	0	-0.0318309	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.816274	0	0	0	0	0	0	0	0	0	0	0	0	-3.19411	-0.1865	0.287493	-3.2155	-0.201505	-0.318314	-0.0266791	0.173398	4.26784	0.0786644	-0.24134	-0.0270832	0	0	0	0	0	-0.0336178	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.855767	0	0	0	0	0	0	0	0	0	0	0	0	-3.19348	-0.188925	0.290409	-3.20757	-0.207119	-0.220963	0.028078	-0.0605	0.0962327	0.10129	-0.227737	0.233304	0	0	0	0	0	-0.0329512	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.881543	0	0	0	0	0	0	0	0	0	0	0	0	-3.1934	-0.1865	0.293537	-3.20273	-0.207964	-0.135848	-0.018081	0.173687	0.0962327	0.105234	-0.209961	0.447266	0	0	0	0	0	-0.0336178	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.916568	0	0	0	0	0	0	0	0	0	0	0	0	-3.1934	-0.182323	0.293537	-3.19836	-0.20942	-0.0553427	-0.00493087	0.111888	0.0791973	0.102352	-0.190528	0.623026	0	0	0	0	0	-0.0351643	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.949895	0	0	0	0	0	0	0	0	0	0	0	0	-3.19343	-0.182323	0.298627	-3.19543	-0.209812	0.0177083	-0.0161627	0.111493	0.211789	0.0926728	-0.171672	0.763402	0	0	0	0	0	-0.0351643	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
0.983747	0	0	0	0	0	0	0	0	0	0	0	0	-3.19343	-0.182627	0.288686	-3.19334	-0.2101	0.0806775	0.00016473	-0.0331575	-0.293656	0.0821738	-0.155795	0.856108	0	0	0	0	0	-0.0349553	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.01822	0	0	0	0	0	0	0	0	0	0	0	0	-3.1928	-0.183749	0.295484	-3.19167	-0.210162	0.138834	0.0207083	-0.043933	0.197186	0.0735048	-0.140478	0.930656	0	0	0	0	0	-0.0343734	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.04679	0	0	0	0	0	0	0	0	0	0	0	0	-3.1928	-0.183749	0.289924	-3.19086	-0.209167	0.18283	0.020313	-0.0324647	-0.194667	0.0644024	-0.126065	0.969752	0	0	0	0	0	-0.034343	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
