time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.123482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.151863	0	0	0	0	0	0	0	0	0	0	0	0	-3.19154	0	-0.663049	0	0	-5.902	0	0	0	0	0	-0.119106	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.18596	0	0	0	0	0	0	0	0	0	0	0	0	-3.2523	-0.0292941	-0.672586	-1.73816	-0.470626	-5.902	0	0	0	0	0	-0.119106	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.217955	0	0	0	0	0	0	0	0	0	0	0	0	-3.24873	-0.0666667	-0.686321	-0.0378448	1.38214	-0.42932	0	0	0	0	0	-0.107982	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.253583	0	0	0	0	0	0	0	0	0	0	0	0	-3.24873	-0.0666667	-0.686321	0.0499572	0.572188	-0.42932	0	0	0	0	0	-0.107982	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.282815	0	0	0	0	0	0	0	0	0	0	0	0	-3.22665	-0.0465896	-0.686321	0.459324	1.43957	-0.42932	0	0	0	0	0	-0.113689	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.322834	0	0	0	0	0	0	0	0	0	0	0	0	-3.20641	-0.0465896	-0.501473	0.551748	0.630132	8.48478	0	0	0	0	0	-0.113689	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.348567	0	0	0	0	0	0	0	0	0	0	0	0	-3.20641	-0.114134	-0.501473	-0.548584	5.49599	8.48478	0	0	0	0	0	-0.0935195	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.385573	0	0	0	0	0	0	0	0	0	0	0	0	-3.22637	-0.192842	-0.705842	0.114862	-2.12342	0.137242	0	0	0	0	0	-0.0695374	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
0.41408	0	0	0	0	0	0	0	0	0	0	0	0	-3.22637	-0.139859	-0.710922	-0.0850303	1.8597	-2.535	0	0	0	0	0	-0.0852712	-760	760	-500	-5	5	-10	0	0	0	1	0.2	170	-1	-1	2555	
