time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.130933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.158027	0	0	0	0	0	0	0	0	0	0	0	0	-3.16043	-0.036581	-0.646099	0.0242999	-0.307184	0	0	0	0	0	0	-0.0789409	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.192624	0	0	0	0	0	0	0	0	0	0	0	0	-3.16043	-0.0422127	-0.649166	0.0858635	-0.301763	-0.51883	0	0	0	0	0	-0.0880358	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.222466	0	0	0	0	0	0	0	0	0	0	0	0	-3.1529	-0.0659655	-0.646099	0.144354	-1.07667	0.113209	0	0	0	0	0	-0.0789409	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.262806	0	0	0	0	0	0	0	0	0	0	0	0	-3.15155	-0.325078	-0.664049	0.257287	-0.503684	-0.51883	0	0	0	0	0	-0.00151207	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.288879	0	0	0	0	0	0	0	0	0	0	0	0	-3.1529	-0.325078	-0.601984	-0.0444072	-0.50414	2.07986	0	0	0	0	0	-0.00151207	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.322305	0	0	0	0	0	0	0	0	0	0	0	0	-3.14464	-0.142099	-0.652115	0.663506	2.29489	-2.20895	0	0	0	0	0	-0.0606607	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.355192	0	0	0	0	0	0	0	0	0	0	0	0	-3.14464	-0.0668805	-0.652115	0.128955	2.27012	-1.6648	0	0	0	0	0	-0.0866656	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.389776	0	0	0	0	0	0	0	0	0	0	0	0	-3.14464	-0.0403466	-0.652115	0.238038	0.925063	-1.6648	0	0	0	0	0	-0.0952815	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.422861	0	0	0	0	0	0	0	0	0	0	0	0	-3.16494	-0.0403466	-0.643766	-0.883945	-0.171989	1.82518	0	0	0	0	0	-0.0952815	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.454699	0	0	0	0	0	0	0	0	0	0	0	0	-3.18187	-0.0752388	-0.551679	-0.885402	-0.16432	1.82518	0	0	0	0	0	-0.0866128	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.48572	0	0	0	0	0	0	0	0	0	0	0	0	-3.18187	-0.133554	-0.54177	0.450283	-2.79557	0.319401	0	0	0	0	0	-0.0672241	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.524185	0	0	0	0	0	0	0	0	0	0	0	0	-3.17376	-0.0752388	-0.551679	0.172658	1.84034	-1.33253	0	0	0	0	0	-0.0483913	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.551914	0	0	0	0	0	0	0	0	0	0	0	0	-3.17007	0.0330618	-0.801126	0.458164	-4.055	0.319401	0	0	0	0	0	-0.0483913	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.588977	0	0	0	0	0	0	0	0	0	0	0	0	-3.17007	0.0330618	-0.801126	0.365382	-3.19932	4.31029	0	0	0	0	0	-0.083913	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.616498	0	0	0	0	0	0	0	0	0	0	0	0	-3.15438	0.0330618	-0.801126	1.70928	-3.08629	4.31029	0	0	0	0	0	-0.083913	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.65632	0	0	0	0	0	0	0	0	0	0	0	0	-3.18737	0.0182562	-0.544484	-0.555745	-3.2768	8.0349	0	0	0	0	0	-0.083913	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.68476	0	0	0	0	0	0	0	0	0	0	0	0	-3.18737	0.294081	-0.856607	-0.892717	9.67085	-10.9763	0	0	0	0	0	-0.0421074	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.716688	0	0	0	0	0	0	0	0	0	0	0	0	-3.18737	0.0182562	-0.775712	0.416868	-7.93253	2.53342	0	0	0	0	0	-0.113577	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
