time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.127313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.153427	0	0	0	0	0	0	0	0	0	0	0	0	-3.14066	0	-0.687722	0	0	0	0	0	0	0	0	-0.0740773	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.191867	0	0	0	0	0	0	0	0	0	0	0	0	-3.20551	0.000546478	-0.712665	-1.20398	-5.40447	-0.649194	0	0	0	0	0	-0.0905596	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.217826	0	0	0	0	0	0	0	0	0	0	0	0	-3.20551	0.000546478	-0.687722	-0.632677	-2.5248	4.84006	0	0	0	0	0	-0.0905596	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.257396	0	0	0	0	0	0	0	0	0	0	0	0	-3.20551	-0.0633048	-0.712665	-0.677853	-2.51304	-0.649194	0	0	0	0	0	-0.0726254	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.285758	0	0	0	0	0	0	0	0	0	0	0	0	-3.22781	-0.0633048	-0.828375	-0.769282	-1.90721	-6.10366	0	0	0	0	0	-0.0472024	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.318841	0	0	0	0	0	0	0	0	0	0	0	0	-3.21849	-0.13724	-0.828375	1.21105	-1.81762	-6.10366	0	0	0	0	0	-0.0436946	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.354816	0	0	0	0	0	0	0	0	0	0	0	0	-3.21849	-0.144104	-0.648949	0.0465091	-0.108308	0.0724203	0	0	0	0	0	-0.041632	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.38385	0	0	0	0	0	0	0	0	0	0	0	0	-3.21849	-0.148067	-0.646344	0.0465091	-0.108308	0.12088	0	0	0	0	0	-0.041632	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.419283	0	0	0	0	0	0	0	0	0	0	0	0	-3.21698	-0.148067	-0.646344	0.0431426	-0.0274909	0.0724203	0	0	0	0	0	-0.041632	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.451352	0	0	0	0	0	0	0	0	0	0	0	0	-3.20428	-0.1291	-0.704395	-0.204727	0.551044	0.12088	0	0	0	0	0	-0.0454424	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.485427	0	0	0	0	0	0	0	0	0	0	0	0	-3.19786	-0.1291	-0.704395	0.162639	0.567749	0.602306	0	0	0	0	0	-0.0454424	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.519748	0	0	0	0	0	0	0	0	0	0	0	0	-3.19853	-0.130972	-0.704395	-0.0644208	1.03542	0.602306	0	0	0	0	0	-0.0433443	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.54747	0	0	0	0	0	0	0	0	0	0	0	0	-3.19853	-0.130972	-0.711114	-0.0644208	1.03542	-0.619243	0	0	0	0	0	-0.0433443	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.586784	0	0	0	0	0	0	0	0	0	0	0	0	-3.20102	-0.0780164	-0.711114	-0.156733	1.11728	-0.619243	0	0	0	0	0	-0.0597279	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.615531	0	0	0	0	0	0	0	0	0	0	0	0	-3.2328	-0.0663636	-0.61726	-0.165633	1.116	-0.619243	0	0	0	0	0	-0.0676985	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.652513	0	0	0	0	0	0	0	0	0	0	0	0	-3.24859	-0.0338021	-0.61726	-1.25352	1.04224	-2.43549	0	0	0	0	0	-0.0676985	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.680616	0	0	0	0	0	0	0	0	0	0	0	0	-3.23748	-0.0239598	-0.663907	0.624667	-1.0929	-2.43549	0	0	0	0	0	-0.0676985	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.716353	0	0	0	0	0	0	0	0	0	0	0	0	-3.23748	-0.0239598	-0.680038	0.884972	-2.82961	-0.451387	0	0	0	0	0	-0.0531189	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.749288	0	0	0	0	0	0	0	0	0	0	0	0	-3.21127	-0.0239598	-0.675483	1.1194	-2.78909	0.138285	0	0	0	0	0	-0.0833606	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.784329	0	0	0	0	0	0	0	0	0	0	0	0	-3.21127	-0.126618	-0.675483	0.893404	-2.82696	0.138285	0	0	0	0	0	-0.0561002	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.812565	0	0	0	0	0	0	0	0	0	0	0	0	-3.24078	-0.109227	0.161788	-0.192168	0.634079	0.473595	0	0	0	0	0	-0.0624125	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.848236	0	0	0	0	0	0	0	0	0	0	0	0	-3.24508	-0.109227	0.175158	-0.157104	0.0730022	0.473595	0	0	0	0	0	-0.0624125	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.882977	0	0	0	0	0	0	0	0	0	0	0	0	-3.24937	-0.106278	0.181121	-0.133617	0.206305	0.217976	0	0	0	0	0	-0.0635552	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.911466	0	0	0	0	0	0	0	0	0	0	0	0	-3.25041	-0.0988345	0.181121	-0.134166	0.205949	-0.052214	0	0	0	0	0	-0.0662167	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.9445	0	0	0	0	0	0	0	0	0	0	0	0	-3.25667	-0.0773949	0.181121	-0.0850976	0.748647	-0.052214	0	0	0	0	0	-0.0734957	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
0.978804	0	0	0	0	0	0	0	0	0	0	0	0	-3.25713	-0.0250526	0.183961	-0.0938485	0.747476	0.241577	0	0	0	0	0	-0.0896071	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.01499	0	0	0	0	0	0	0	0	0	0	0	0	-3.25758	-0.0133553	0.192247	-0.0583442	0.337072	0.241577	0	0	0	0	0	-0.0936074	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.04215	0	0	0	0	0	0	0	0	0	0	0	0	-3.25758	-0.0133553	0.195866	-0.0444141	0.188692	0.119055	0	0	0	0	0	-0.0936074	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.0812	0	0	0	0	0	0	0	0	0	0	0	0	-3.2546	-0.0547367	0.195866	0.164649	0.20639	-0.0253677	0	0	0	0	0	-0.0830651	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.10766	0	0	0	0	0	0	0	0	0	0	0	0	-3.25245	-0.0547367	0.195866	0.163096	0.225033	-0.0253677	0	0	0	0	0	-0.0830651	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.14842	0	0	0	0	0	0	0	0	0	0	0	0	-3.24761	-0.0272045	0.180617	0.0717158	0.517876	-0.444413	0	0	0	0	0	-0.0916513	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.17474	0	0	0	0	0	0	0	0	0	0	0	0	-3.24761	-0.0272045	0.181192	0.0447135	0.515394	0.0218595	0	0	0	0	0	-0.0916513	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.21462	0	0	0	0	0	0	0	0	0	0	0	0	-3.2452	-0.0388866	0.180617	0.227608	-1.21686	-0.675387	0	0	0	0	0	-0.0887867	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.24173	0	0	0	0	0	0	0	0	0	0	0	0	-3.24048	-0.0874401	0.17604	0.184386	-1.22182	0.0218595	0	0	0	0	0	-0.0755035	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.28089	0	0	0	0	0	0	0	0	0	0	0	0	-3.24048	-0.0874401	0.17604	-0.0280368	0.181511	0.00963835	0	0	0	0	0	-0.0755035	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.3057	0	0	0	0	0	0	0	0	0	0	0	0	-3.24104	-0.0802699	0.176418	-0.280433	0.20722	0.281399	0	0	0	0	0	-0.0779829	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.34556	0	0	0	0	0	0	0	0	0	0	0	0	-3.25127	-0.0651704	0.1834	-0.166338	0.527851	0.281399	0	0	0	0	0	-0.0827318	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.373	0	0	0	0	0	0	0	0	0	0	0	0	-3.25127	-0.0436521	0.1834	-0.169879	0.526722	0.281399	0	0	0	0	0	-0.0894482	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.41397	0	0	0	0	0	0	0	0	0	0	0	0	-3.25021	-0.0436521	0.181786	-0.0790041	0.19311	0.0913338	0	0	0	0	0	-0.0894482	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.43758	0	0	0	0	0	0	0	0	0	0	0	0	-3.25021	-0.0381829	0.181786	-0.0793328	0.192975	0.0913338	0	0	0	0	0	-0.0911512	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.47051	0	0	0	0	0	0	0	0	0	0	0	0	-3.26167	-0.0213045	0.197987	-0.175366	1.18028	0.686017	0	0	0	0	0	-0.0959891	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.51478	0	0	0	0	0	0	0	0	0	0	0	0	-3.26295	0.0179248	0.227602	-0.178882	1.17928	0.686017	0	0	0	0	0	-0.107324	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.53934	0	0	0	0	0	0	0	0	0	0	0	0	-3.26295	0.0179248	0.227602	-0.107905	1.09048	0.177379	0	0	0	0	0	-0.107324	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.57677	0	0	0	0	0	0	0	0	0	0	0	0	-3.25779	-0.0231798	0.222544	0.0575367	-0.507447	0.177379	0	0	0	0	0	-0.0942478	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.60556	0	0	0	0	0	0	0	0	0	0	0	0	-3.25779	-0.0231798	0.221676	-0.0400678	-0.516674	-0.0301496	0	0	0	0	0	-0.0942478	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.63405	0	0	0	0	0	0	0	0	0	0	0	0	-3.25779	-0.0231798	0.221676	-0.0400678	-0.516674	-0.0301496	0	0	0	0	0	-0.0942478	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.64379	0	0	0	0	0	0	0	0	0	0	0	0	-3.25779	-0.0231798	0.221676	-0.0400678	-0.516674	-0.0301496	0	0	0	0	0	-0.0942478	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.64638	0	0	0	0	0	0	0	0	0	0	0	0	-3.26033	-0.0422914	0.222544	-0.0795208	-0.519583	0.569903	0	0	0	0	0	-0.0877926	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.65378	0	0	0	0	0	0	0	0	0	0	0	0	-3.26033	-0.0422914	0.222544	-0.0795208	-0.519583	0.569903	0	0	0	-0.134216	0.0219911	-0.0877926	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.66381	0	0	0	0	0	0	0	0	0	0	0	0	-3.26033	-0.0422914	0.222544	-0.0795208	-0.519583	0.569903	0	0	0	-0.134216	0.0216421	-0.0877926	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.67307	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	-0.0300081	-0.904692	-0.00679493	0	0	0	-0.134216	0.0216421	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.67378	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	-0.0300081	-0.904692	-0.00679493	0	0	0	-0.13439	0.021293	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.68387	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	-0.0300081	-0.904692	-0.00679493	0	0	0	-0.134565	0.0211185	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.69392	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	-0.0300081	-0.904692	-0.00679493	0	0	0	-0.134739	0.020944	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.70383	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	-0.0300081	-0.904692	-0.00679493	0	0	0	-0.134739	0.0205949	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.70828	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	0.257457	-0.886447	-0.136449	0	0	0	-0.134739	0.0205949	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.71378	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	0.257457	-0.886447	-0.136449	0	0	0	-0.134914	0.0202458	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.72379	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	0.257457	-0.886447	-0.136449	0	0	0	-0.134914	0.0202458	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.73379	0	0	0	0	0	0	0	0	0	0	0	0	-3.2674	-0.0981428	0.267081	0.257457	-0.886447	-0.136449	0	0	0	-0.135088	0.0200713	-0.0690186	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.73866	0	0	0	0	0	0	0	0	0	0	0	0	-3.24212	-0.0870674	0.212008	-0.0709542	0.978227	-1.58905	0	0	0	-0.135088	0.0200713	-0.0730207	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.74379	0	0	0	0	0	0	0	0	0	0	0	0	-3.24212	-0.0870674	0.212008	-0.0709542	0.978227	-1.58905	0	0	0	-0.135263	0.0197222	-0.0730207	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.7538	0	0	0	0	0	0	0	0	0	0	0	0	-3.24212	-0.0870674	0.212008	-0.0709542	0.978227	-1.58905	0	0	0	-0.135438	0.0195477	-0.0730207	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.76375	0	0	0	0	0	0	0	0	0	0	0	0	-3.24212	-0.0870674	0.212008	-0.0709542	0.978227	-1.58905	0	0	0	-0.135612	0.0195477	-0.0730207	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.77295	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0273749	0.181481	-0.165563	0.974725	-1.57561	0	0	0	-0.135612	0.0195477	-0.0911545	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.77378	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0273749	0.181481	-0.165563	0.974725	-1.57561	0	0	0	-0.135787	0.0193732	-0.0911545	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.7838	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0273749	0.181481	-0.165563	0.974725	-1.57561	0	0	0	-0.135787	0.0193732	-0.0911545	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.79392	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0273749	0.181481	-0.165563	0.974725	-1.57561	0	0	0	-0.135961	0.0191986	-0.0911545	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.80383	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0273749	0.181481	-0.165563	0.974725	-1.57561	0	0	0	-0.135961	0.0191986	-0.0911545	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.81011	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0265013	0.181481	0.0983214	0.355309	0.812851	0	0	0	-0.135961	0.0191986	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.81376	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0265013	0.181481	0.0983214	0.355309	0.812851	0	0	0	-0.136136	0.0191986	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.82378	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0265013	0.181481	0.0983214	0.355309	0.812851	0	0	0	-0.13631	0.0191986	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.83384	0	0	0	0	0	0	0	0	0	0	0	0	-3.23794	-0.0265013	0.181481	0.0983214	0.355309	0.812851	0	0	0	-0.13631	0.0191986	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.83661	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.131614	-0.00817018	0.815268	0	0	0	-0.13631	0.0191986	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.84378	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.131614	-0.00817018	0.815268	0	0	0	-0.136485	0.0191986	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.85385	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.131614	-0.00817018	0.815268	0	0	0	-0.136485	0.0195477	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.86378	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.131614	-0.00817018	0.815268	0	0	0	-0.136659	0.0198968	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.87378	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.131614	-0.00817018	0.815268	0	0	0	-0.136659	0.0200713	-0.0914059	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.87464	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.0736278	-0.443015	0.0740847	0	0	0	-0.136659	0.0200713	-0.0909529	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.88379	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.0736278	-0.443015	0.0740847	0	0	0	-0.136659	0.0204204	-0.0909529	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.89379	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.0736278	-0.443015	0.0740847	0	0	0	-0.136659	0.0207694	-0.0909529	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.90384	0	0	0	0	0	0	0	0	0	0	0	0	-3.24514	-0.0266225	0.21436	0.0736278	-0.443015	0.0740847	0	0	0	-0.136659	0.021293	-0.0909529	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
1.90534	0	0	0	0	0	0	0	0	0	0	0	0	-3.22254	-0.0875543	0.200959	0.00254862	-0.484053	-0.398098	0	0	0	-0.136659	0.021293	-0.0727616	-800	800	-500	-0	0	-10	0	0	0	0.3	0.2	177	-1	-1	2560	
