time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	gravity
0.127963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.156701	0	0	0	0	0	0	0	0	0	-4.00066	0	-0.0223963	0	0	0	0	0	0	0	0	0	0	0	-0.0239559	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.190692	0	0	0	0	0	0	0	0	0	-4.01311	-0.104398	-0.0223963	-0.344604	-0.900339	10.1174	0	0	0	-0.366071	-0.891827	10.1174	0	0	-0.0239559	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.220461	0	0	0	0	0	0	0	0	0	-4.00066	0.527232	0.029999	-3.49931	21.7011	10.1174	0	0	0	0.49408	21.9759	10.1174	0	0	-0.182353	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.26129	0	0	0	0	0	0	0	0	0	-4.01169	0.312267	0.029999	0.388163	-5.78016	-6.53087	0	0	0	-0.366071	-5.7816	-6.53087	0	0	-0.130286	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.28762	0	0	0	0	0	0	0	0	0	-4.01169	0.393485	-0.0870066	-0.592233	3.03021	-6.53087	0	0	0	-0.132416	3.08471	-6.53087	0	0	-0.150109	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.323944	0	0	0	0	0	0	0	0	0	-4.01518	0.392537	-0.0870066	-0.215384	-0.0586332	0.84663	0	0	0	-0.221693	-0.0260842	0.84663	0	0	-0.148665	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.353002	0	0	0	0	0	0	0	0	0	-4.02323	0.392537	-0.0870066	-0.215384	-0.0586332	0.84663	0	0	0	-0.221693	-0.0260842	0.84663	0	0	-0.148665	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.394947	0	0	0	0	0	0	0	0	0	-4.02323	0.387268	-0.117119	-0.215961	-0.0564703	-0.753766	0	0	0	-0.221693	-0.0260842	-0.753766	0	0	-0.138637	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.420098	0	0	0	0	0	0	0	0	0	-4.02975	0.326732	-0.117119	0.0417062	-2.42299	-0.753766	0	0	0	-0.254329	-2.40996	-0.753766	0	0	-0.122354	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.454217	0	0	0	0	0	0	0	0	0	-4.02975	0.326732	-0.148735	0.0600667	-1.55463	-0.753766	0	0	0	-0.130123	-1.55034	-0.753766	0	0	-0.122354	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.489623	0	0	0	0	0	0	0	0	0	-4.02975	0.326732	-0.200118	0.0600667	-1.55463	-2.0793	0	0	0	-0.130123	-1.55034	-2.0793	0	0	-0.122354	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.523242	0	0	0	0	0	0	0	0	0	-4.03419	0.273806	-0.200118	0.0341812	-1.55541	-2.0793	0	0	0	-0.130123	-1.55034	-2.0793	0	0	-0.105708	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.55583	0	0	0	0	0	0	0	0	0	-4.01941	0.264799	-0.2737	0.280772	2.2609	-2.0793	0	0	0	0.531038	2.21551	-2.0793	0	0	-0.111699	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.590262	0	0	0	0	0	0	0	0	0	-4.04527	0.163954	0.00844495	-0.518216	-4.32599	9.42787	0	0	0	-0.88778	-4.26551	9.42787	0	0	-0.0859769	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.620836	0	0	0	0	0	0	0	0	0	-4.01941	0.264799	-0.316251	0.4438	3.1644	-11.1289	0	0	0	0.793761	3.09521	-11.1289	0	0	-0.111699	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.656064	0	0	0	0	0	0	0	0	0	-4.02709	0.211238	-0.280577	-0.176979	-4.31065	1.96214	0	0	0	-0.646867	-4.26551	1.96214	0	0	-0.10947	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.686633	0	0	0	0	0	0	0	0	0	-4.00603	0.319288	-0.349713	0.200714	3.59601	-4.78778	0	0	0	0.68898	3.5351	-4.78778	0	0	-0.136726	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.721703	0	0	0	0	0	0	0	0	0	-4.02709	0.319288	-0.280577	-0.662648	0.070406	1.96214	0	0	0	-0.646867	0.160068	1.96214	0	0	-0.136726	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.751886	0	0	0	0	0	0	0	0	0	-4.00603	0.324902	-0.377664	0.331025	2.61543	-3.74602	0	0	0	0.68898	2.54467	-3.74602	0	0	-0.138518	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.78776	0	0	0	0	0	0	0	0	0	-4.0262	0.324902	-0.264624	-0.609506	0.0766447	4.62724	0	0	0	-0.593085	0.160068	4.62724	0	0	-0.138518	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.817954	0	0	0	0	0	0	0	0	0	-4.0262	0.0951072	0.0106897	-0.133038	0.721374	0.045482	0	0	0	-0.0768232	0.729505	0.045482	0	0	-0.0774525	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.852652	0	0	0	0	0	0	0	0	0	-4.02852	0.0870356	0.0120627	-0.0590618	-0.237723	0.425547	0	0	0	-0.0768232	-0.232592	0.425547	0	0	-0.0754939	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
