time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dx	dy	dz	dxd	dyd	dzd	dxk	dyk	dzk	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.129033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.155222	0	0	0	0	0	0	0	0	0	0	0	0	-4.23177	0	-0.783411	-0.0153415	0	-0.000137999	-0.3689	0.00639751	0	-0.06472	0.00112238	-9.14873e-05	0	0	0	0	0	0.0173404	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.196131	0	0	0	0	0	0	0	0	0	0	0	0	-4.24144	0.0118399	-0.783411	-0.0217481	1.6177e-05	-0.00017327	-0.354618	0.535888	1.25771	0.331985	-0.00671527	0.00886874	0	0	0	0	0	0.0269977	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.221243	0	0	0	0	0	0	0	0	0	0	0	0	-4.24396	-0.033552	-0.726408	-0.0689054	-0.000155739	-0.000407459	-0.129366	-1.80436	1.25771	-0.310484	0.00133583	0.00588229	0	0	0	0	0	0.0375412	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.256092	0	0	0	0	0	0	0	0	0	0	0	0	-4.24396	-0.033552	-0.718442	-0.277163	-0.000970738	-0.00211747	-0.0736529	-1.80645	1.39341	-2.47879	0.0723159	-0.0127099	0	0	0	0	0	0.0375412	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.287155	0	0	0	0	0	0	0	0	0	0	0	0	-4.2441	-0.0844715	-0.718442	-0.740642	-0.00296694	-0.00764001	-0.0928891	-1.80556	0.317298	-5.80927	0.241704	-0.0628164	0	0	0	0	0	0.0481924	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.327198	0	0	0	0	0	0	0	0	0	0	0	0	-4.23103	-0.400515	-0.725286	-1.42717	-0.016725	-0.0223927	-0.696196	-10.5128	-4.52429	-9.16066	0.742076	-0.185177	0	0	0	0	0	0.101739	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.352911	0	0	0	0	0	0	0	0	0	0	0	0	-4.22943	-0.297762	-0.725286	-2.20792	-0.0193444	-0.0485644	0.129656	10.197	-4.52429	-11.7632	0.809004	-0.331094	0	0	0	0	0	0.0758331	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.387799	0	0	0	0	0	0	0	0	0	0	0	0	-4.22943	-0.297762	-0.724881	-2.93184	-0.0233299	-0.088298	0.0674683	7.13185	-4.52429	-12.9287	0.914226	-0.510012	0	0	0	0	0	0.0758331	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.422867	0	0	0	0	0	0	0	0	0	0	0	0	-4.24118	-0.0495537	-0.724881	-3.52261	-0.0159581	-0.139846	-0.21471	7.12894	-2.38647	-12.9243	0.482189	-0.687281	0	0	0	0	0	0.0362643	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
