time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dx	dy	dz	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.158104	0	0	0	0	0	0	0	0	0	0	0	0	-4.36217	0.00931714	-0.593436	-0.0158327	1.8335e-06	-0.000104534	-0.729522	0.0595343	0	-0.0814105	-0.00229864	-6.93018e-05	0	0	0	0	0	-0.0308622	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.202835	0	0	0	0	0	0	0	0	0	0	0	0	-4.38086	0.0596334	-0.617901	-0.0228781	1.9584e-05	-0.000173228	-0.77741	0.0483505	-0.54684	0.31427	0.0141814	0.000557195	0	0	0	0	0	-0.0433781	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.228979	0	0	0	0	0	0	0	0	0	0	0	0	-4.38805	0.239361	-0.617901	-0.0733525	0.00120039	-0.00070433	-1.17472	8.90311	-0.54684	-0.394883	0.0368149	-0.00699416	0	0	0	0	0	-0.0501055	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.265728	0	0	0	0	0	0	0	0	0	0	0	0	-4.38805	0.23385	-0.84784	-0.286856	0.00241651	-0.00362296	1.25116	-3.95955	-0.54684	-2.48329	-0.111977	-0.040741	0	0	0	0	0	-0.0501055	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.294089	0	0	0	0	0	0	0	0	0	0	0	0	-4.32092	0.270154	-0.890681	-0.752189	0.00538311	-0.0124039	0.943203	1.36212	-2.72323	-5.75924	-0.421923	-0.122344	0	0	0	0	0	-0.0817479	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.330845	0	0	0	0	0	0	0	0	0	0	0	0	-4.32092	0.270154	-0.8721	-1.4493	0.0114534	-0.0277004	0.481169	1.32426	1.1652	-9.24065	-0.667228	-0.198102	0	0	0	0	0	-0.0817479	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.362446	0	0	0	0	0	0	0	0	0	0	0	0	-4.37955	0.270154	-0.8721	-2.24972	0.0215242	-0.0529989	0.53076	1.30518	1.43988	-11.8861	-0.382144	-0.317755	0	0	0	0	0	-0.0440325	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.397618	0	0	0	0	0	0	0	0	0	0	0	0	-4.37955	0.0712646	-0.8721	-2.98692	0.0264753	-0.0912948	1.63978	-0.986357	1.43988	-12.9689	-0.316196	-0.473306	0	0	0	0	0	-0.0343992	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.427249	0	0	0	0	0	0	0	0	0	0	0	0	-4.32309	0.0712646	-0.832481	-3.57005	0.0312454	-0.141594	1.6492	-0.970515	1.8551	-12.7644	-0.436392	-0.640967	0	0	0	0	0	-0.0440325	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.459731	0	0	0	0	0	0	0	0	0	0	0	0	-4.32009	0.247009	-0.887439	-4.00629	0.0628238	-0.219527	0.185383	7.19172	-4.95413	-11.8928	-0.366165	-0.934045	0	0	0	0	0	-0.0564817	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.498171	0	0	0	0	0	0	0	0	0	0	0	0	-4.32009	0.247009	-0.832481	-4.31002	0.102233	-0.296011	-0.317864	7.16345	1.8551	-10.5685	-0.155348	-1.09358	0	0	0	0	0	-0.0585069	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.523983	0	0	0	0	0	0	0	0	0	0	0	0	-4.32325	0.139443	-0.828695	-4.50966	0.0990348	-0.375035	-0.0889037	-8.73554	3.62977	-9.07952	-0.211737	-1.22937	0	0	0	0	0	-0.0564817	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.560902	0	0	0	0	0	0	0	0	0	0	0	0	-4.32325	0.139443	-0.734945	-4.62556	0.0910535	-0.444851	-0.071212	-8.7357	3.62977	-7.5129	-0.258236	-1.30457	0	0	0	0	0	-0.0585069	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.59119	0	0	0	0	0	0	0	0	0	0	0	0	-4.35518	-0.0856893	-0.705514	-4.6939	0.0512798	-0.507695	-1.12025	-8.73229	3.62977	-6.16242	-0.112019	-1.33971	0	0	0	0	0	-0.0133245	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.630473	0	0	0	0	0	0	0	0	0	0	0	0	-4.36923	-0.0945093	0.520223	-4.71439	0.0191452	-0.399469	-0.102033	-4.30068	0.797962	-4.76496	-0.209415	-0.820637	0	0	0	0	0	-0.0133245	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.656068	0	0	0	0	0	0	0	0	0	0	0	0	-4.36967	-0.0945093	0.520223	-4.70397	-0.0128822	-0.291563	-0.102033	-4.30068	-2.56761	-3.58229	-0.302147	-0.414683	0	0	0	0	0	-0.0133245	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.694534	0	0	0	0	0	0	0	0	0	0	0	0	-4.37549	-0.0251822	-0.66312	-4.67665	-0.0143984	-0.374592	-0.216533	2.64643	-6.274	-2.60377	-0.251331	-0.671356	0	0	0	0	0	-0.0215991	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.721287	0	0	0	0	0	0	0	0	0	0	0	0	-4.37126	-0.0251822	-0.723265	-4.63533	-0.0143589	-0.462261	0.170105	2.65478	-6.274	-1.75232	-0.191689	-0.889081	0	0	0	0	0	-0.0215991	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.76296	0	0	0	0	0	0	0	0	0	0	0	0	-4.37126	0.0767687	-0.830453	-4.58832	0.00317644	-0.551637	0.393469	2.67112	-2.5718	-1.06	-0.116369	-1.0541	0	0	0	0	0	-0.0454469	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.789041	0	0	0	0	0	0	0	0	0	0	0	0	-4.37126	0.0815281	-0.723265	-4.5422	-0.0121542	-0.593187	0.980172	-9.97599	6.77323	-0.542953	-0.233821	-0.993893	0	0	0	0	0	-0.046598	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.825318	0	0	0	0	0	0	0	0	0	0	0	0	-4.3741	0.0932623	0.233784	-4.50459	0.000828512	-0.482697	-0.0390373	0.322238	0.276636	-0.255604	-0.139128	-0.598397	0	0	0	0	0	-0.0498468	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.854054	0	0	0	0	0	0	0	0	0	0	0	0	-4.37493	0.0815281	0.233784	-4.47267	0.00931665	-0.379184	-0.0171914	-0.595348	0.276636	-0.047626	-0.0974339	-0.259012	0	0	0	0	0	-0.046598	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.893912	0	0	0	0	0	0	0	0	0	0	0	0	-4.37622	0.0852364	0.2304	-4.4464	0.0199926	-0.284033	-0.0556032	0.224959	0.276636	0.0854035	-0.049057	0.0218827	0	0	0	0	0	-0.0472984	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.921698	0	0	0	0	0	0	0	0	0	0	0	0	-4.38001	0.0852364	0.2304	-4.42652	0.0299999	-0.196038	-0.0927492	0.2232	0.746225	0.151744	-0.0118647	0.258944	0	0	0	0	0	-0.0472984	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.954966	0	0	0	0	0	0	0	0	0	0	0	0	-4.38229	0.0852364	0.2304	-4.41172	0.0392498	-0.116305	-0.0927492	0.2232	0.746225	0.17922	0.0177859	0.448891	0	0	0	0	0	-0.0472984	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.990253	0	0	0	0	0	0	0	0	0	0	0	0	-4.3839	0.06861	0.222603	-4.40084	0.0424328	-0.0473797	-0.015861	-0.759379	0.128671	0.186215	0.0158547	0.585341	0	0	0	0	0	-0.0427757	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.02369	0	0	0	0	0	0	0	0	0	0	0	0	-4.3839	0.0511216	0.218063	-4.39287	0.0421717	0.0105233	-0.00754827	-0.75884	-1.01314	0.178286	0.0063964	0.669799	0	0	0	0	0	-0.0379994	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.05233	0	0	0	0	0	0	0	0	0	0	0	0	-4.38403	0.0511216	0.222603	-4.38736	0.0443839	0.0643212	-0.0468595	0.275185	0.128671	0.15921	0.0164691	0.748841	0	0	0	0	0	-0.0379994	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.08754	0	0	0	0	0	0	0	0	0	0	0	0	-4.38289	0.0749543	0.238368	-4.38295	0.050452	0.113751	0.0203435	0.277898	0.0704615	0.146117	0.0346108	0.805301	0	0	0	0	0	-0.0430232	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.12308	0	0	0	0	0	0	0	0	0	0	0	0	-4.38353	0.0779731	0.240848	-4.38058	0.0559945	0.15719	-0.021775	0.0840732	0.21583	0.118695	0.0456632	0.841659	0	0	0	0	0	-0.043441	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.15147	0	0	0	0	0	0	0	0	0	0	0	0	-4.38353	0.0749543	0.240848	-4.37936	0.0597513	0.194038	-0.0101688	-0.1847	0.0704615	0.09417	0.0481127	0.855127	0	0	0	0	0	-0.0430232	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.18403	0	0	0	0	0	0	0	0	0	0	0	0	-4.38382	0.0473808	0.198836	-4.37901	0.0577865	0.218055	-0.0031952	-0.418282	0.0651918	0.0724144	0.0323694	0.833024	0	0	0	0	0	-0.0356538	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.22101	0	0	0	0	0	0	0	0	0	0	0	0	-4.38382	0.0473808	0.196713	-4.37877	0.0557774	0.236369	0.0536277	-0.416255	-0.267654	0.0610413	0.0198595	0.79509	0	0	0	0	0	-0.0356538	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.25107	0	0	0	0	0	0	0	0	0	0	0	0	-4.38382	0.0337722	0.198836	-4.37883	0.0515063	0.251679	0.0521497	-0.416443	0.0651918	0.0493322	0.00229222	0.757026	0	0	0	0	0	-0.032104	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
